,articles
1800,7.607548468513414e-05
1801,8.113345393212512e-05
1802,9.838082769419998e-05
1803,8.427954162470996e-05
1804,8.452296606265008e-05
1805,8.807303674984723e-05
1806,7.60072871344164e-05
1807,8.42962836031802e-05
1808,7.430568075506017e-05
1809,7.179858948802575e-05
1810,7.779974839650095e-05
1811,7.246055611176416e-05
1812,8.241197792813182e-05
1813,0.00010014714644057676
1814,8.900566172087565e-05
1815,8.508684550179169e-05
1816,8.777587208896875e-05
1817,9.242406667908654e-05
1818,7.887886022217572e-05
1819,9.363458229927346e-05
1820,8.333300502272323e-05
1821,8.071643969742581e-05
1822,8.681781037012115e-05
1823,8.447377331322059e-05
1824,8.25756651465781e-05
1825,7.495454337913543e-05
1826,8.097271347651258e-05
1827,8.234566485043615e-05
1828,8.903681009542197e-05
1829,8.516516390955076e-05
1830,8.080996485659853e-05
1831,7.769776129862294e-05
1832,8.533975051250309e-05
1833,9.659468196332455e-05
1834,8.463883568765596e-05
1835,6.992099224589765e-05
1836,7.429831748595461e-05
1837,7.730578363407403e-05
1838,7.040562195470557e-05
1839,7.192797784227878e-05
1840,7.679461850784719e-05
1841,8.292990969493985e-05
1842,8.701512706466019e-05
1843,8.35938481031917e-05
1844,8.38949708850123e-05
1845,7.644099241588265e-05
1846,8.808948041405529e-05
1847,7.717393600614741e-05
1848,7.456381717929617e-05
1849,7.842687045922503e-05
1850,7.49781756894663e-05
1851,9.142816998064518e-05
1852,8.308992255479097e-05
1853,7.924137753434479e-05
1854,7.640201511094347e-05
1855,8.073697244981304e-05
1856,7.944708340801299e-05
1857,8.009650628082454e-05
1858,7.913604349596426e-05
1859,7.803279004292563e-05
1860,7.433797145495191e-05
1861,7.92074206401594e-05
1862,8.039973909035325e-05
1863,7.943070522742346e-05
1864,7.631192420376465e-05
1865,7.38779126550071e-05
1866,7.525165710831061e-05
1867,7.507117697969079e-05
1868,7.993568578967825e-05
1869,6.87146166455932e-05
1870,7.189394818851724e-05
1871,7.143508992157876e-05
1872,7.19548697816208e-05
1873,6.919130828464404e-05
1874,6.986629887251183e-05
1875,7.038353942334652e-05
1876,7.262310100486502e-05
1877,7.130466110538691e-05
1878,7.093392196111381e-05
1879,6.997779564699158e-05
1880,7.018537144176662e-05
1881,6.731721805408597e-05
1882,7.208505121525377e-05
1883,7.054617890389636e-05
1884,7.29618186596781e-05
1885,6.813657091697678e-05
1886,7.327370258281007e-05
1887,7.22223412594758e-05
1888,7.731873483862728e-05
1889,7.64231153880246e-05
1890,7.375163841061294e-05
1891,7.52019404899329e-05
1892,7.52705818740651e-05
1893,7.47686208342202e-05
1894,7.42369593353942e-05
1895,7.406725490000099e-05
1896,7.231640483951196e-05
1897,7.846679363865405e-05
1898,7.606166764162481e-05
1899,7.56662993808277e-05
1900,7.344727055169642e-05
1901,7.756933337077498e-05
1902,7.63385251048021e-05
1903,7.706737233093008e-05
1904,8.198795694625005e-05
1905,8.075607183855027e-05
1906,7.466756505891681e-05
1907,7.553760224254802e-05
1908,7.963459211168811e-05
1909,8.15264429547824e-05
1910,7.636004738742486e-05
1911,8.050140604609624e-05
1912,7.817285950295627e-05
1913,8.229615195887163e-05
1914,7.83487266744487e-05
1915,8.262427581939846e-05
1916,8.06517418823205e-05
1917,8.607572090113536e-05
1918,8.442091348115355e-05
1919,8.37882689666003e-05
1920,8.009722660062835e-05
1921,8.39398562675342e-05
1922,8.182836609194055e-05
1923,7.560649100923911e-05
1924,7.766287308186293e-05
1925,7.780960731906816e-05
1926,7.842959166737273e-05
1927,7.710646605119109e-05
1928,7.649172766832635e-05
1929,8.556232205592096e-05
1930,8.243806223617867e-05
1931,8.746956882532686e-05
1932,8.123247243929654e-05
1933,8.394403994316235e-05
1934,8.274654828710482e-05
1935,7.781358726788312e-05
1936,8.126912143779919e-05
1937,8.086315938271582e-05
1938,7.744978938717395e-05
1939,7.887206447776407e-05
1940,7.340541924349964e-05
1941,7.707327313255519e-05
1942,7.183671550592408e-05
1943,7.023126090643927e-05
1944,7.027097308309749e-05
1945,7.114557229215279e-05
1946,6.855259562144056e-05
1947,6.747915176674724e-05
1948,6.985567597439513e-05
1949,6.801122071919963e-05
1950,6.483624019892886e-05
1951,6.579179171239957e-05
1952,6.087877773097716e-05
1953,6.233606836758554e-05
1954,7.542640378233045e-05
1955,5.9497655456652865e-05
