,website
1914,9.784552057467977e-10
1915,1.9170762755038595e-09
1916,2.5021358318610964e-09
1917,1.8416776992324912e-09
1918,2.5661344160710087e-09
1919,2.24423271077967e-08
1920,2.3462434217691452e-09
1921,4.026466937645523e-10
1922,1.889364220630796e-09
1923,1.136881033758641e-09
1924,5.47051897115125e-08
1925,6.255185702741528e-09
1926,1.7187411494035132e-09
1927,2.615545824369292e-08
1928,3.3817606492902996e-09
1929,3.851057694959081e-09
1930,9.550118473811153e-10
1931,4.78999195863139e-09
1932,1.0620034851527294e-09
1933,1.905917423883352e-09
1934,2.1301204355950176e-08
1935,1.1254185139364381e-08
1936,8.286892949627145e-08
1937,7.863755868697808e-09
1938,7.622260156381344e-09
1939,3.971830864202275e-08
1940,4.053100610690308e-08
1941,5.906388764742587e-07
1942,1.2198072774083357e-08
1943,3.791609692882503e-09
1944,2.5096498212917595e-09
1945,1.2204942612115133e-09
1946,3.754331956429269e-09
1947,1.447511888130748e-08
1948,2.575164437246258e-08
1949,1.3854072733465728e-07
1950,1.6805330460556434e-08
1951,1.6518599821324642e-08
1952,5.475984110603349e-09
1953,9.475185969165523e-09
1954,3.2667919924733724e-08
1955,7.685135194890336e-09
1956,1.9219314140173083e-08
1957,1.615625855322378e-08
1958,2.820581457285698e-08
1959,1.8666655776655716e-08
1960,3.541481419233605e-08
1961,2.3994044084929556e-08
1962,1.2886384403998363e-08
1963,2.3346233390952875e-08
1964,6.689184317565378e-08
1965,1.4639519818615554e-08
1966,2.5720314766886077e-08
1967,6.169410937673092e-08
1968,2.2954472100877865e-08
1969,1.680355943278755e-08
1970,3.671426185292148e-08
1971,2.1822518903036325e-08
1972,8.734510004160256e-08
1973,1.1546812572760246e-07
1974,3.2205338840185505e-08
1975,3.603392428885854e-08
1976,3.882727028781119e-08
1977,5.908569278290088e-08
1978,1.0938904893009749e-07
1979,1.0637823777415178e-07
1980,3.2137748462446325e-08
1981,7.259888690214211e-08
1982,9.888160690252334e-08
1983,3.829073946803874e-08
