,review
1800,1.5865925888647325e-05
1801,1.6895039152586833e-05
1802,2.1005907910875976e-05
1803,1.774230258888565e-05
1804,1.9082999642705545e-05
1805,1.8567603547126055e-05
1806,1.9862385670421645e-05
1807,1.984987102332525e-05
1808,1.710132164589595e-05
1809,1.888217229861766e-05
1810,1.5880101273069158e-05
1811,1.7393103917129338e-05
1812,1.5790394172654487e-05
1813,1.4593540981877595e-05
1814,1.750285446178168e-05
1815,1.6734642485971563e-05
1816,1.6230451365117915e-05
1817,1.9768483980442397e-05
1818,1.8487042325432412e-05
1819,1.670134770392906e-05
1820,1.6822048564790748e-05
1821,1.803543455025647e-05
1822,1.6485073501826264e-05
1823,1.7061489415937103e-05
1824,1.820636862248648e-05
1825,1.7273754565394484e-05
1826,1.7278465747949667e-05
1827,1.8500782971386798e-05
1828,1.8703960449784063e-05
1829,1.737610909913201e-05
1830,1.822885315050371e-05
1831,1.8311355233890936e-05
1832,6.923625915078446e-05
1833,1.8068598365061916e-05
1834,1.786141365300864e-05
1835,1.834630165831186e-05
1836,1.6963056623353623e-05
1837,1.7819982531364076e-05
1838,1.7678381482255645e-05
1839,1.673331280471757e-05
1840,1.6880678231245838e-05
1841,1.695431456028018e-05
1842,1.6287553080474027e-05
1843,1.700427310424857e-05
1844,1.7107286112150177e-05
1845,1.6133910321514122e-05
1846,1.8009717678069137e-05
1847,1.6872754713403992e-05
1848,1.8809252651408315e-05
1849,1.7503421986475587e-05
1850,1.9397446521907113e-05
1851,1.8256387193105184e-05
1852,1.7908647350850515e-05
1853,1.7442533135181293e-05
1854,1.7306909285252914e-05
1855,1.8344951968174428e-05
1856,1.8898068447015248e-05
1857,1.7242597095901147e-05
1858,1.7470429156674072e-05
1859,1.8018699847743846e-05
1860,1.8055918189929798e-05
1861,1.756123674567789e-05
1862,1.7506779840914533e-05
1863,1.7783153452910483e-05
1864,1.832512680266518e-05
1865,1.759064798534382e-05
1866,1.6894055079319514e-05
1867,1.69418581208447e-05
1868,1.8465558241587132e-05
1869,2.0382032744237222e-05
1870,1.9710972992470488e-05
1871,2.0412535377545282e-05
1872,1.8754486518446356e-05
1873,2.0103963834117167e-05
1874,2.2553027520189062e-05
1875,2.1083988031023182e-05
1876,2.090775524266064e-05
1877,2.2208900190889835e-05
1878,2.227066215709783e-05
1879,2.2351649022311904e-05
1880,2.1645955712301657e-05
1881,2.2394453480956145e-05
1882,2.250771467515733e-05
1883,2.209985177614726e-05
1884,2.356595723540522e-05
1885,2.373710049141664e-05
1886,2.6109657483175397e-05
1887,2.6157549655181356e-05
1888,2.4874254449969158e-05
1889,2.5198338335030712e-05
1890,2.7004494768334553e-05
1891,2.652932016644627e-05
1892,2.8072079658159055e-05
1893,2.7534359105629846e-05
1894,2.812041566357948e-05
1895,2.924038199125789e-05
1896,2.899717219406739e-05
1897,2.9767890737275593e-05
1898,3.0358009098563343e-05
1899,2.7774960472015664e-05
1900,2.951274291262962e-05
1901,3.210469367331825e-05
1902,3.120497422059998e-05
1903,3.120043402304873e-05
1904,3.110599936917424e-05
1905,3.175588062731549e-05
1906,3.491429743007757e-05
1907,3.2797790481708944e-05
1908,3.372210994712077e-05
1909,3.2829197152750567e-05
1910,3.287987055955455e-05
1911,3.3952419471461326e-05
1912,3.725548231159337e-05
1913,3.6613862903323025e-05
1914,3.95582610508427e-05
1915,4.0523664210923016e-05
1916,3.881012889905833e-05
1917,3.9399932575179264e-05
1918,4.077520497958176e-05
1919,3.81224526790902e-05
1920,3.92905822081957e-05
1921,4.326015914557502e-05
1922,4.11964938393794e-05
1923,4.124539555050433e-05
1924,4.158853698754683e-05
1925,4.129335502511822e-05
1926,4.4346958020469174e-05
1927,4.724513564724475e-05
1928,4.609758616425097e-05
1929,4.3497857404872775e-05
1930,4.3519095925148576e-05
1931,4.633583012036979e-05
1932,5.074146611150354e-05
1933,4.902191358269192e-05
1934,5.069980397820473e-05
1935,5.0333681429037824e-05
1936,5.481203697854653e-05
1937,5.303222860675305e-05
1938,5.237814912106842e-05
1939,5.5731969041517004e-05
1940,5.992241858621128e-05
1941,6.514294364023954e-05
1942,5.6423054047627375e-05
1943,6.129858957137913e-05
1944,6.356885569402948e-05
1945,6.307305011432618e-05
1946,6.244655378395692e-05
1947,6.74402472213842e-05
1948,6.607346585951746e-05
1949,6.85281993355602e-05
1950,6.325468712020665e-05
1951,6.989378744037822e-05
1952,6.796220259275287e-05
1953,6.989666871959344e-05
1954,7.363523036474362e-05
1955,7.437004387611523e-05
1956,7.511347212130204e-05
1957,8.225649071391672e-05
1958,7.475991878891364e-05
1959,7.791810639901087e-05
1960,7.855121657485142e-05
1961,7.977886707521975e-05
1962,8.103338041109964e-05
1963,7.671579805901274e-05
1964,7.880883640609682e-05
1965,8.050186443142593e-05
1966,8.472437912132591e-05
1967,8.795854955678806e-05
1968,8.382010855711997e-05
1969,8.846655691741034e-05
1970,9.530359966447577e-05
1971,0.00010000354814110324
1972,0.00010544834367465228
1973,0.00011111814819741994
1974,0.00012065003829775378
1975,0.00012857781257480383
1976,0.00014546429156325758
