,location
1800,1.5119853742362466e-06
1801,1.2030271818730398e-06
1802,4.920303240396606e-07
1803,3.947857010189182e-07
1804,9.003561558529327e-07
1805,6.83749703966896e-07
1806,5.675669285665208e-07
1807,6.043586040505033e-07
1808,1.7668456848696223e-06
1809,8.850170161167625e-07
1810,1.023719505610643e-06
1811,1.2274190339667257e-06
1812,1.5450979162778822e-06
1813,9.290682214668777e-07
1814,7.711231546636554e-07
1815,9.156848932434514e-07
1816,1.9498809251672355e-06
1817,1.674799477768829e-06
1818,1.3033135246587335e-06
1819,1.4297185089162667e-06
1820,1.4956929135223618e-06
1821,2.314741777809104e-06
1822,2.0042164123879047e-06
1823,1.7571188664078363e-06
1824,1.6530791526747635e-06
1825,3.1572769785270793e-06
1826,4.1335383684781846e-06
1827,4.010725206171628e-06
1828,4.782570158567978e-06
1829,5.315357157087419e-06
1830,5.738834715884877e-06
1831,6.039426352799637e-06
1832,2.3758257157169282e-05
1833,5.98817496211268e-06
1834,7.450709290424129e-06
1835,7.752177225484047e-06
1836,8.0401459854329e-06
1837,7.149156772356946e-06
1838,9.638861229177564e-06
1839,8.531378625775687e-06
1840,7.172933237598045e-06
1841,7.382684088952374e-06
1842,5.840475296281511e-06
1843,6.612184733967297e-06
1844,6.227377525647171e-06
1845,5.915639576414833e-06
1846,7.3608721322671045e-06
1847,7.475472557416651e-06
1848,8.048427844187245e-06
1849,9.281528946303297e-06
1850,9.801600754144602e-06
1851,1.0446220585436095e-05
1852,1.0596147149044555e-05
1853,8.464407073915936e-06
1854,9.47342959989328e-06
1855,1.026576865115203e-05
1856,9.63280581345316e-06
1857,1.0403181477158796e-05
1858,1.0716657016018871e-05
1859,9.774363206815906e-06
1860,1.0704233318392653e-05
1861,9.696342203824315e-06
1862,9.047465937328525e-06
1863,8.986789907794446e-06
1864,9.53642029344337e-06
1865,9.916849194269162e-06
1866,1.1423436262703035e-05
1867,1.216565851791529e-05
1868,1.248157332156552e-05
1869,1.3071789908281062e-05
1870,1.3969161045679357e-05
1871,1.3664296602655668e-05
1872,1.4582727999368217e-05
1873,1.545862869534176e-05
1874,1.753673132043332e-05
1875,1.5387440726044588e-05
1876,1.5587156667606905e-05
1877,1.5255944163072854e-05
1878,1.758767211867962e-05
1879,1.8390919649391435e-05
1880,1.8841154087567702e-05
1881,2.0933204723405652e-05
1882,2.1080681108287536e-05
1883,1.9780747607001103e-05
1884,2.4412453058175743e-05
1885,2.2199168597580865e-05
1886,2.633136864460539e-05
1887,2.579425745352637e-05
1888,2.4992090402520262e-05
1889,2.5752400688361377e-05
1890,2.703254358493723e-05
1891,2.6870879082707688e-05
1892,2.5968620320782065e-05
1893,2.6863264793064445e-05
1894,2.6328958483645692e-05
1895,2.7721955120796338e-05
1896,2.6314823116990738e-05
1897,3.112843478447758e-05
1898,2.8161410227767192e-05
1899,2.7451946152723394e-05
1900,3.049569386348594e-05
1901,3.055829802178778e-05
1902,3.010148611792829e-05
1903,3.565606675692834e-05
1904,3.2578831451246515e-05
1905,3.654602915048599e-05
1906,3.7457069993251935e-05
1907,3.679359724628739e-05
1908,3.594653753680177e-05
1909,3.686919080791995e-05
1910,3.679752990137786e-05
1911,3.893755274475552e-05
1912,3.8470774597954005e-05
1913,3.9750990254106e-05
1914,4.216349407215603e-05
1915,4.5409382437355816e-05
1916,4.3541866034502164e-05
1917,4.0742310375208035e-05
1918,3.939328598789871e-05
1919,3.929598824470304e-05
1920,3.7581736251013353e-05
1921,3.826542888418771e-05
1922,3.796767123276368e-05
1923,3.827391265076585e-05
1924,3.643306627054699e-05
1925,4.063402593601495e-05
1926,3.735684003913775e-05
1927,3.957680019084364e-05
1928,4.000542321591638e-05
1929,3.92881702282466e-05
1930,4.0130395063897595e-05
1931,3.920416929759085e-05
1932,3.7702007830375805e-05
1933,3.655016189441085e-05
1934,3.5352652048459277e-05
1935,3.788290996453725e-05
1936,3.771249612327665e-05
1937,3.948816447518766e-05
1938,3.9945309254108e-05
1939,4.251412610756233e-05
1940,4.473916123970412e-05
1941,4.628071837942116e-05
1942,4.567846917780116e-05
1943,4.4276970584178343e-05
1944,4.351694224169478e-05
1945,4.2989817302441224e-05
1946,4.6277396904770285e-05
1947,4.3061620090156794e-05
1948,4.4533528125612065e-05
1949,4.9565725930733606e-05
1950,4.388995876070112e-05
1951,4.377392906462774e-05
1952,4.381323014968075e-05
1953,4.5833490730728954e-05
1954,4.9107296945294365e-05
1955,4.8420191887998953e-05
1956,4.946173066855408e-05
1957,5.055110523244366e-05
1958,4.94388077640906e-05
1959,5.163093373994343e-05
1960,5.0670660129981115e-05
1961,4.916954640066251e-05
1962,5.0622777052922174e-05
1963,5.075767694506794e-05
1964,5.181707092560828e-05
1965,5.058132592239417e-05
1966,5.085246084490791e-05
1967,5.035366120864637e-05
1968,4.970766167389229e-05
1969,5.1463393901940435e-05
1970,5.4056272347224876e-05
1971,5.487036469276063e-05
1972,5.9872363635804504e-05
1973,5.832196256960742e-05
1974,6.04225424467586e-05
1975,6.37087068753317e-05
1976,6.60184959997423e-05
1977,6.480263255070895e-05
1978,6.579703040188178e-05
1979,6.646001565968618e-05
1980,6.70576628181152e-05
1981,7.13362023816444e-05
1982,6.430883513530716e-05
1983,6.873198435641825e-05
1984,6.664371903752908e-05
1985,6.702281825710088e-05
1986,6.557151937158778e-05
1987,6.686194683425128e-05
1988,6.416853284463286e-05
1989,6.637979095103219e-05
1990,6.679376383544877e-05
1991,6.67620261083357e-05
1992,6.619880878133699e-05
1993,6.792331987526268e-05
1994,6.969711830606684e-05
1995,6.86203857185319e-05
1996,7.071672735037282e-05
1997,7.177425868576393e-05
1998,7.127293065423146e-05
1999,7.066793477861211e-05
2000,6.856452819192782e-05
2001,7.034400914562866e-05
2002,7.23442790331319e-05
2003,7.106584962457418e-05
2004,6.990438851062208e-05
2005,6.924205081304535e-05
2006,6.67142157908529e-05
2007,6.632253644056618e-05
2008,6.238374044187367e-05
2009,6.198209302965552e-05
2010,6.382138963090256e-05
2011,6.298758671618998e-05
2012,6.279851368162781e-05
2013,5.944842268945649e-05
2014,5.485440124175511e-05
2015,5.558182965614833e-05
2016,5.8040692238137126e-05
2017,5.080011032987386e-05
2018,4.763348260894418e-05
2019,5.078495087218471e-05
