,united
1800,6.880128785269335e-05
1801,7.176847429946065e-05
1802,8.121022983686998e-05
1803,7.770361844450235e-05
1804,7.520087092416361e-05
1805,7.555282354587689e-05
1806,7.494586316170171e-05
1807,6.86427520122379e-05
1808,6.408996705431491e-05
1809,6.530665268655866e-05
1810,6.734141061315313e-05
1811,5.569351924350485e-05
1812,6.499163282569498e-05
1813,6.970452523091808e-05
1814,7.319927681237459e-05
1815,7.069989806041121e-05
1816,6.100846076151356e-05
1817,6.523234333144501e-05
1818,6.844153540441766e-05
1819,7.216084486572072e-05
1820,6.332286284305155e-05
1821,5.786102337879129e-05
1822,6.567096716025844e-05
1823,6.243498501135036e-05
1824,6.344422581605613e-05
1825,6.278832734096795e-05
1826,5.900517862755805e-05
1827,6.150904664536938e-05
1828,6.53623792459257e-05
1829,6.740666140103713e-05
1830,6.39536083326675e-05
1831,6.526750803459436e-05
1832,5.09378187416587e-05
1833,6.16856777924113e-05
1834,5.8190700656268746e-05
1835,6.220814975677058e-05
1836,6.396032404154539e-05
1837,5.80712003284134e-05
1838,5.722908827010542e-05
1839,5.825843254569918e-05
1840,6.0369296988938004e-05
1841,5.822639286634512e-05
1842,5.988635530229658e-05
1843,5.652923209709115e-05
1844,5.609342406387441e-05
1845,6.0100188420619816e-05
1846,5.415629857452586e-05
1847,5.57226812816225e-05
1848,5.603907266049646e-05
1849,5.599049472948536e-05
1850,5.286305531626567e-05
1851,5.389749276218936e-05
1852,5.066009907750413e-05
1853,5.069971302873455e-05
1854,5.7082055718638e-05
1855,5.365381366573274e-05
1856,5.2337061788421124e-05
1857,4.728236672235653e-05
1858,4.756784619530663e-05
1859,4.79067639389541e-05
1860,4.666411041398533e-05
1861,4.8124453314812854e-05
1862,4.638761674868874e-05
1863,4.479860217543319e-05
1864,4.418749813339673e-05
1865,4.268114207661711e-05
1866,4.36179107055068e-05
1867,4.3889074731851e-05
1868,4.2338033381383866e-05
1869,4.0006907511269674e-05
1870,4.250005804351531e-05
1871,4.08834166591987e-05
1872,3.818676123046316e-05
1873,3.966421718359925e-05
1874,3.795951488427818e-05
1875,3.928301157429814e-05
1876,3.9074522646842524e-05
1877,3.820286656264216e-05
1878,3.789662878261879e-05
1879,3.626907346188091e-05
1880,3.8560152461286634e-05
1881,3.846589243039489e-05
1882,3.7167359550949186e-05
1883,3.732940967893228e-05
1884,3.5137149097863585e-05
1885,3.458270657574758e-05
1886,3.356056549819186e-05
1887,3.331363768666051e-05
1888,3.417119296500459e-05
1889,3.265123814344406e-05
1890,3.3927826734725386e-05
1891,3.224944157409482e-05
1892,3.056391506106593e-05
1893,3.156960156047717e-05
1894,3.1321200367528945e-05
1895,3.050618397537619e-05
1896,3.0486056857625954e-05
1897,2.8964677767362446e-05
1898,2.9836201065336354e-05
1899,2.8703030693577603e-05
1900,2.9519374947994947e-05
1901,2.7928279450861737e-05
1902,2.792166378640104e-05
1903,2.706963823584374e-05
1904,2.6528927264735103e-05
1905,2.6189776690443978e-05
1906,2.4546729036956094e-05
1907,2.505065276636742e-05
1908,2.374175892327912e-05
1909,2.380413206992671e-05
1910,2.408692307653837e-05
1911,2.3040558517095633e-05
1912,2.2794298274675384e-05
1913,2.1782965632155538e-05
1914,2.1072990421089344e-05
1915,2.1285601178533398e-05
1916,1.9990264263469726e-05
1917,2.0663315808633342e-05
1918,2.2818067009211518e-05
1919,2.1003173969802447e-05
1920,2.062914973066654e-05
1921,1.910961145767942e-05
1922,1.9850258468068205e-05
1923,1.8854523659683764e-05
1924,1.904409691633191e-05
1925,1.8689986973186024e-05
1926,1.9426930521149188e-05
1927,1.8440452549839392e-05
1928,1.840515324147418e-05
1929,1.7782098439056426e-05
1930,1.8461016225046478e-05
1931,1.7808552001952194e-05
1932,1.815618816181086e-05
1933,1.8002343495027162e-05
1934,1.9362059902050532e-05
1935,1.847357998485677e-05
1936,1.8530692614149302e-05
1937,1.842572419263888e-05
1938,1.874391637102235e-05
1939,1.7834547179518268e-05
1940,1.7347583707305603e-05
1941,1.7229021977982484e-05
1942,1.9160557712893933e-05
1943,1.8813063434208743e-05
1944,1.781986611604225e-05
1945,1.6888152458705008e-05
1946,1.656366112001706e-05
1947,1.662527211010456e-05
1948,1.5849480405449867e-05
1949,1.45380890899105e-05
1950,1.689700729912147e-05
1951,1.579824493092019e-05
1952,1.7763974028639495e-05
1953,1.5659996279282495e-05
1954,1.4971522432460915e-05
1955,1.4697930964757688e-05
1956,1.5100231394171715e-05
1957,1.3601639693661127e-05
1958,1.4081701920076739e-05
1959,1.4186846783559304e-05
1960,1.4572794498235453e-05
1961,1.4585462849936448e-05
1962,1.4522481251333375e-05
1963,1.5129990060813725e-05
1964,1.5165933291427791e-05
1965,1.6267720639007166e-05
1966,1.5642805010429583e-05
1967,1.5624913430656306e-05
1968,1.6085716197267175e-05
1969,1.6514883100171573e-05
1970,1.5749117665109225e-05
1971,1.5276878912118264e-05
1972,1.3877690435037948e-05
1973,1.2667240298469551e-05
1974,1.241215068148449e-05
1975,1.1773780897783581e-05
1976,1.1509050636959728e-05
1977,1.0631660188664682e-05
1978,1.046433681040071e-05
1979,1.1078413081122562e-05
1980,1.0819802810146939e-05
1981,1.0626568837324157e-05
1982,1.0692697287595365e-05
1983,1.0373827535659075e-05
1984,1.0811981155711692e-05
1985,1.0578478395473212e-05
1986,1.0580830348771997e-05
1987,1.0136159289686475e-05
1988,1.0971950359817129e-05
1989,1.0447186468809377e-05
1990,1.1521062333486043e-05
1991,1.0304358511348255e-05
1992,9.769190910446923e-06
1993,9.750446224643383e-06
1994,9.943172699422576e-06
1995,9.386541023559403e-06
1996,9.56028452492319e-06
1997,9.498601684754249e-06
1998,9.985781616705935e-06
1999,9.687627425591927e-06
2000,1.005540161713725e-05
2001,9.941341886587907e-06
2002,9.789633622858673e-06
2003,1.0027302778325975e-05
2004,1.0268380719935521e-05
2005,9.964454875444062e-06
2006,1.0779733202070929e-05
2007,1.0780346201499924e-05
2008,1.1543672371772118e-05
2009,1.116049588745227e-05
2010,1.1103400538559072e-05
2011,1.0096178812091239e-05
2012,8.92979915079195e-06
2013,1.0340518201701343e-05
2014,1.0716007636801805e-05
2015,1.1242781511100475e-05
2016,1.1147662917210255e-05
2017,1.0660774933057837e-05
2018,1.2993500604352448e-05
2019,1.1347729923727456e-05
