,compare
1800,1.7866032067104243e-05
1801,1.989248085010331e-05
1802,1.802849510568194e-05
1803,1.6246727682300843e-05
1804,2.1049481802037917e-05
1805,1.868915933300741e-05
1806,1.8292363165528513e-05
1807,1.7654532712185755e-05
1808,1.65759938681731e-05
1809,1.849305408541113e-05
1810,1.7108855900005437e-05
1811,1.546218481962569e-05
1812,1.5391455235658213e-05
1813,1.441352469555568e-05
1814,1.6242807760136202e-05
1815,1.685328061284963e-05
1816,1.560176315251738e-05
1817,1.5364274077001028e-05
1818,1.6296826288453303e-05
1819,1.5275623809429817e-05
1820,1.4263657249102835e-05
1821,1.619066097191535e-05
1822,1.7698124793241732e-05
1823,1.7991122149396688e-05
1824,1.6085350580397062e-05
1825,1.6491205315105617e-05
1826,1.623426578589715e-05
1827,1.5859826817177236e-05
1828,1.5460924259969033e-05
1829,1.6026531739044003e-05
1830,1.7114025467890315e-05
1831,1.6932790458668023e-05
1832,1.4960761291149538e-05
1833,1.7113265130319633e-05
1834,1.6060836060205474e-05
1835,1.6949170458246954e-05
1836,1.720842919894494e-05
1837,1.6967038391157985e-05
1838,1.6662004782119766e-05
1839,1.6299309208989143e-05
1840,1.5478834029636346e-05
1841,1.5918880308163352e-05
1842,1.7004218534566462e-05
1843,1.569686173752416e-05
1844,1.5611794879077934e-05
1845,1.6033443898777477e-05
1846,1.641461676626932e-05
1847,1.617948328203056e-05
1848,1.7119495169026777e-05
1849,1.821836849558167e-05
1850,1.7916005162987858e-05
1851,1.7625892724026926e-05
1852,1.6825633792905137e-05
1853,1.7641574231674895e-05
1854,1.7764183212420903e-05
1855,1.7507196389487945e-05
1856,1.753532160364557e-05
1857,1.691665966063738e-05
1858,1.758619509928394e-05
1859,1.7578267943463288e-05
1860,1.888074621092528e-05
1861,1.758260805218015e-05
1862,1.9486193195916712e-05
1863,1.748683826008346e-05
1864,1.748172326188069e-05
1865,1.775758028088603e-05
1866,1.739296203595586e-05
1867,1.6983065506792627e-05
1868,1.7725647921906784e-05
1869,1.9209595848224126e-05
1870,1.83685351657914e-05
1871,1.872179018391762e-05
1872,1.9017455997527577e-05
1873,1.9418634110479616e-05
1874,2.0090183170395903e-05
1875,1.9514800442266278e-05
1876,1.8938710127258673e-05
1877,1.8692362573347054e-05
1878,1.961929774552118e-05
1879,1.8533131878939457e-05
1880,1.9086304746451788e-05
1881,1.8652308426680975e-05
1882,1.8457571059116162e-05
1883,1.7740885596140288e-05
1884,1.8293651010026224e-05
1885,1.851053639256861e-05
1886,1.786342545528896e-05
1887,1.786096254363656e-05
1888,1.9092034563072957e-05
1889,1.9346793123986572e-05
1890,1.8953807739308104e-05
1891,1.9116338080493733e-05
1892,1.9062854335061274e-05
1893,1.8145761714549735e-05
1894,1.91760336747393e-05
1895,1.8031107174465433e-05
1896,1.8471824660082348e-05
1897,1.7720938558341004e-05
1898,1.7220363588421606e-05
1899,1.7570118870935403e-05
1900,1.753994911268819e-05
1901,1.868653271230869e-05
1902,1.802366205083672e-05
1903,1.7876165657071397e-05
1904,1.8735814592218958e-05
1905,1.817574775486719e-05
1906,1.8035492757917382e-05
1907,1.841483208409045e-05
1908,1.7373937225784175e-05
1909,1.773724397935439e-05
1910,1.7496366126579233e-05
1911,1.7448735889047384e-05
1912,1.749082912283484e-05
1913,1.7573582226759754e-05
1914,1.753039578034077e-05
1915,1.6427629816462286e-05
1916,1.699881067906972e-05
1917,1.60838826559484e-05
1918,1.5583909771521576e-05
1919,1.6227171727223322e-05
1920,1.7217515051015653e-05
1921,1.759253973432351e-05
1922,1.759505357767921e-05
1923,1.8174017895944417e-05
1924,1.852439709182363e-05
1925,1.953325408976525e-05
1926,1.8993636331288144e-05
1927,1.8809878383763134e-05
1928,1.9248982425779104e-05
1929,1.8904842363554053e-05
1930,1.9425260688876733e-05
1931,1.8894763343269005e-05
1932,1.9316958059789613e-05
1933,1.819617500586901e-05
1934,1.8092066966346465e-05
1935,1.809590139600914e-05
1936,1.7815846149460413e-05
1937,1.707095725578256e-05
1938,1.7077907614293508e-05
1939,1.662819522607606e-05
1940,1.6678193787811324e-05
1941,1.561119825055357e-05
1942,1.541540041216649e-05
1943,1.5566001820843667e-05
1944,1.5779905879753642e-05
1945,1.5298721336876042e-05
1946,1.6118998246383853e-05
1947,1.6783966202638112e-05
1948,1.774538031895645e-05
1949,1.7494126950623468e-05
1950,1.823320417315699e-05
1951,1.7618762285565026e-05
1952,1.859929943748284e-05
1953,1.8278462448506616e-05
1954,1.8621989511302672e-05
1955,1.8993043340742588e-05
1956,1.931925544340629e-05
1957,1.9495117157930508e-05
1958,2.0106179363210686e-05
1959,2.0186573237879202e-05
1960,2.0413741367519833e-05
1961,2.0942718037986197e-05
1962,2.1226484022918157e-05
1963,2.0901770767522976e-05
1964,2.1355437638703734e-05
1965,2.1096333512105048e-05
1966,2.137635601684451e-05
1967,2.1105239284224808e-05
1968,2.1085041225887835e-05
1969,2.148744351870846e-05
1970,2.113385562552139e-05
1971,2.097987089655362e-05
1972,2.154464164050296e-05
1973,2.1443738660309464e-05
1974,2.1588981326203793e-05
1975,2.18893910641782e-05
1976,2.1939604266663082e-05
1977,2.2191525204107165e-05
1978,2.2045271180104464e-05
1979,2.2090051061240956e-05
1980,2.258783752040472e-05
1981,2.2139347493066452e-05
1982,2.242655318696052e-05
1983,2.2538049961440265e-05
1984,2.2805201297160238e-05
1985,2.248141390737146e-05
1986,2.3207157937576994e-05
1987,2.2806281776865944e-05
1988,2.309653427801095e-05
1989,2.2675998479826376e-05
1990,2.3311342374654487e-05
1991,2.3891765522421338e-05
1992,2.3172802684712224e-05
1993,2.3206002879305743e-05
1994,2.3540256734122522e-05
1995,2.327273068658542e-05
1996,2.3910068193799816e-05
1997,2.4163075067917816e-05
1998,2.482348463672679e-05
1999,2.3999400582397357e-05
2000,2.4070121071417816e-05
2001,2.361263796046842e-05
2002,2.417450195935089e-05
2003,2.4911219952628016e-05
2004,2.510043850634247e-05
2005,2.5121884391410276e-05
2006,2.462704105710145e-05
2007,2.4368353479076177e-05
2008,2.3740272808936425e-05
2009,2.3162307115853764e-05
2010,2.3390823116642423e-05
2011,2.2982914742897265e-05
2012,2.5339046260342002e-05
2013,2.4805362045299262e-05
2014,2.1222769646556117e-05
2015,2.156091977667529e-05
2016,2.271469566039741e-05
2017,2.0583234800142236e-05
2018,2.0924697309965268e-05
2019,2.231348662462551e-05
