,order
1800,0.00040071579860523343
1801,0.00038617983227595687
1802,0.0004507418198045343
1803,0.0003853050584439188
1804,0.00041470665019005537
1805,0.00041964606498368084
1806,0.00038967523141764104
1807,0.00041074605542235076
1808,0.0003871664230246097
1809,0.0004285635950509459
1810,0.00038974275230430067
1811,0.0004042047366965562
1812,0.0004247132164891809
1813,0.0004355850105639547
1814,0.0004245114978402853
1815,0.00041194792720489204
1816,0.0004281604487914592
1817,0.0004227808094583452
1818,0.0004144253034610301
1819,0.0004214820801280439
1820,0.0003899668517988175
1821,0.00038778255111537874
1822,0.0003904792247340083
1823,0.00039053024374879897
1824,0.0003836718387901783
1825,0.00038742279866710305
1826,0.0004143351106904447
1827,0.0004016564635094255
1828,0.00040146909304894507
1829,0.0003944495983887464
1830,0.00038644683081656694
1831,0.00038259688881225884
1832,0.0004988742293789983
1833,0.00037335429806262255
1834,0.00039858889067545533
1835,0.0003766248992178589
1836,0.00041021083598025143
1837,0.0004063489905092865
1838,0.0004078197234775871
1839,0.00039385000127367675
1840,0.0004079800855834037
1841,0.0003993242571596056
1842,0.0004097493947483599
1843,0.0004107247805222869
1844,0.00039907285827212036
1845,0.00043070377432741225
1846,0.00040407312917523086
1847,0.00041225706809200346
1848,0.00040656287455931306
1849,0.00040552933933213353
1850,0.00040222369716502726
1851,0.00040628708666190505
1852,0.00042951523209922016
1853,0.00041146096191368997
1854,0.0004013375146314502
1855,0.00039162501343525946
1856,0.00039217021549120545
1857,0.00038514184416271746
1858,0.00039265374653041363
1859,0.0003768417809624225
1860,0.0003921569150406867
1861,0.000396719784475863
1862,0.00040572253055870533
1863,0.0004121934180147946
1864,0.0004092459857929498
1865,0.00040571950376033783
1866,0.000401294935727492
1867,0.00039868569001555443
1868,0.00041412896825931966
1869,0.00038846515235491097
1870,0.000407442101277411
1871,0.00040586796239949763
1872,0.0004162919067312032
1873,0.00039921939605847
1874,0.00040560399065725505
1875,0.0003994972794316709
1876,0.0004101041704416275
1877,0.000432186818215996
1878,0.00041053161839954555
1879,0.0004326178168412298
1880,0.00041513831820338964
1881,0.00041373021667823195
1882,0.0004159986274316907
1883,0.0004013296274933964
1884,0.00042376809869892895
1885,0.00040533929131925106
1886,0.00043680137605406344
