,it
1800,0.006875612773001194
1801,0.006894852966070175
1802,0.006680930498987436
1803,0.006270041223615408
1804,0.006652715615928173
1805,0.006604143884032965
1806,0.006652390584349632
1807,0.006657958496361971
1808,0.006834917236119509
1809,0.007282658480107784
1810,0.006473814602941275
1811,0.006911015138030052
1812,0.007128408178687096
1813,0.00666766008362174
1814,0.006783423013985157
1815,0.006768473424017429
1816,0.00710217235609889
1817,0.0068488954566419125
1818,0.006673658732324839
1819,0.0065711140632629395
1820,0.006628828588873148
1821,0.006508673075586557
1822,0.00659965118393302
1823,0.00675407936796546
1824,0.0066226329654455185
1825,0.006678406149148941
1826,0.0066132377833127975
1827,0.006366500165313482
1828,0.006585912778973579
1829,0.006599557586014271
1830,0.006838097702711821
1831,0.006599847227334976
1832,0.00628775404766202
1833,0.006675925105810165
1834,0.006528379861265421
1835,0.006516227964311838
1836,0.006661277264356613
1837,0.006462411023676395
1838,0.006541748996824026
1839,0.006453745532780886
1840,0.006381462328135967
1841,0.00636773556470871
1842,0.006327223498374224
1843,0.006460113450884819
1844,0.006419945973902941
1845,0.006320234388113022
1846,0.0063545540906488895
1847,0.00629823375493288
1848,0.00630895234644413
1849,0.006299751345068216
1850,0.006330243777483702
1851,0.006267559714615345
1852,0.006277264561504126
1853,0.006426982581615448
1854,0.006215387489646673
1855,0.006206631660461426
1856,0.006164864636957645
1857,0.006006159354001284
1858,0.006113049108535051
1859,0.0059605748392641544
1860,0.0060980916023254395
1861,0.006007680203765631
1862,0.006051625125110149
1863,0.00595345813781023
1864,0.006016411818563938
1865,0.006000966299325228
1866,0.005998505279421806
1867,0.005956211593002081
1868,0.005999027285724878
1869,0.005952587351202965
1870,0.005964464507997036
1871,0.005924377590417862
1872,0.0061036571860313416
1873,0.00592375174164772
1874,0.005951257888227701
1875,0.005860892124474049
1876,0.005890233442187309
1877,0.005760703235864639
1878,0.005801444873213768
1879,0.0057670362293720245
1880,0.00568064209073782
1881,0.005656811408698559
1882,0.0058287992142140865
1883,0.005711391568183899
1884,0.005732186138629913
1885,0.00562144722789526
1886,0.005665211006999016
1887,0.005558992736041546
1888,0.005570096895098686
1889,0.005481324624270201
1890,0.005554917734116316
1891,0.0054475292563438416
1892,0.005491524003446102
1893,0.0054241674952209
1894,0.0055467514321208
1895,0.005310604348778725
1896,0.005361267831176519
1897,0.005219943821430206
1898,0.005230509210377932
1899,0.005281524732708931
1900,0.005264619830995798
1901,0.00512668676674366
1902,0.005107271485030651
1903,0.005140644498169422
1904,0.005122011993080378
1905,0.0050382367335259914
1906,0.005113499704748392
1907,0.005020858254283667
1908,0.0050537316128611565
1909,0.005014423280954361
1910,0.0049827732145786285
1911,0.004949802532792091
1912,0.004970603622496128
1913,0.004838850349187851
1914,0.0048071639612317085
1915,0.004659166093915701
1916,0.004733913112431765
1917,0.004655054770410061
1918,0.004703508224338293
1919,0.004707947373390198
1920,0.004762663505971432
1921,0.0046250163577497005
1922,0.004653175827115774
1923,0.004539922811090946
1924,0.004668026696890593
1925,0.004412833135575056
1926,0.004535290412604809
1927,0.0043289815075695515
1928,0.004413119982928038
1929,0.004319928120821714
1930,0.004293225239962339
1931,0.0041237082332372665
1932,0.004208642523735762
1933,0.004089924972504377
1934,0.004243063740432262
1935,0.004194959998130798
1936,0.004134764429181814
1937,0.004046381916850805
1938,0.004068766254931688
1939,0.004002171568572521
1940,0.003901317249983549
1941,0.0038283837493509054
1942,0.003954658284783363
1943,0.003990768454968929
1944,0.003997563384473324
1945,0.003995534963905811
1946,0.004077973309904337
1947,0.004084107931703329
1948,0.004030262120068073
1949,0.0038187378086149693
1950,0.00391605356708169
1951,0.003959308378398418
1952,0.0040567354299128056
1953,0.0038974492345005274
1954,0.003826081519946456
1955,0.003911564126610756
1956,0.0038999596145004034
1957,0.003867408027872443
1958,0.0038155680522322655
1959,0.003690124023705721
1960,0.0037000798620283604
1961,0.0037039336748421192
1962,0.0037112419959157705
1963,0.0036829684395343065
1964,0.0036315624602138996
1965,0.003647291101515293
1966,0.0037037248257547617
1967,0.0036723457742482424
1968,0.0037374848034232855
1969,0.0037055343855172396
1970,0.0036375427152961493
1971,0.003510418813675642
1972,0.003424260765314102
1973,0.003321738913655281
1974,0.003349855076521635
1975,0.0032352253329008818
1976,0.003186222165822983
1977,0.003130856668576598
1978,0.0030792965553700924
1979,0.003068202640861273
1980,0.0030540514271706343
1981,0.002985880710184574
1982,0.003010001266375184
1983,0.0030086874030530453
1984,0.0030335797928273678
1985,0.0029605769086629152
1986,0.003033257322385907
1987,0.003021832322701812
1988,0.003035440109670162
1989,0.0029832134023308754
1990,0.0029958842787891626
1991,0.00301523064263165
1992,0.0030169147066771984
1993,0.0029616011306643486
1994,0.0030002419371157885
1995,0.002977688331156969
1996,0.0030903113074600697
1997,0.003152665449306369
1998,0.0032075901981443167
1999,0.003265551757067442
2000,0.003442020621150732
2001,0.0034355907700955868
2002,0.003546257270500064
2003,0.003630260704085231
2004,0.003713194513693452
2005,0.003728867508471012
2006,0.003861319972202182
2007,0.003977289889007807
2008,0.0042133210226893425
2009,0.004462840035557747
2010,0.004585329908877611
2011,0.004732858389616013
2012,0.004499482456594706
2013,0.004612594842910767
2014,0.005010481923818588
2015,0.004936451558023691
2016,0.004742392338812351
2017,0.005067074205726385
2018,0.005041246768087149
2019,0.005074771586805582
