,estate
1968,5.7865017879521474e-05
1969,5.4316122259479016e-05
1970,5.273988426779397e-05
1971,5.1724142394959927e-05
1972,5.384360338211991e-05
1973,5.4427353461505845e-05
1974,5.693998173228465e-05
1975,5.692580816685222e-05
1976,6.10265888099093e-05
1977,5.994745151838288e-05
1978,6.050338197383098e-05
1979,6.048494469723664e-05
1980,5.619549483526498e-05
1981,6.103252962930128e-05
1982,6.231191218830645e-05
1983,5.755213351221755e-05
1984,5.488474926096387e-05
1985,5.3262665460351855e-05
1986,5.4093987273517996e-05
1987,5.54315593035426e-05
1988,5.699234316125512e-05
1989,5.700527981389314e-05
1990,5.84970366617199e-05
1991,5.508805043064058e-05
1992,6.259516521822661e-05
1993,5.879133095731959e-05
1994,5.522471110452898e-05
1995,5.510495975613594e-05
1996,5.422650065156631e-05
1997,5.6904664234025404e-05
1998,5.5699394579278305e-05
1999,5.630445957649499e-05
2000,5.310693813953549e-05
2001,5.593075547949411e-05
2002,5.3848736570216715e-05
2003,4.802631519851275e-05
2004,4.974941475666128e-05
2005,4.79050213471055e-05
2006,4.7913286834955215e-05
2007,4.540272493613884e-05
2008,4.6178724005585536e-05
2009,4.384663770906627e-05
2010,3.777221718337387e-05
2011,3.372821447555907e-05
2012,2.829844379448332e-05
2013,2.6948668164550327e-05
2014,2.9338872991502285e-05
2015,3.167343311361037e-05
2016,3.0865783628541976e-05
2017,2.847361429303419e-05
2018,2.8774999009328894e-05
2019,2.9811772037646733e-05
