,posts
1885,1.555491326143965e-05
1886,1.5588982932968065e-05
1887,1.5663263184251264e-05
1888,1.571485699969344e-05
1889,1.6553693058085628e-05
1890,1.5403064026031643e-05
1891,1.555501512484625e-05
1892,1.560593955218792e-05
1893,1.6584182958467864e-05
1894,1.4782078324060421e-05
1895,1.6116910046548583e-05
1896,1.4812490007898305e-05
1897,1.631693885428831e-05
1898,1.659022382227704e-05
1899,1.668301956669893e-05
1900,1.7214206309290603e-05
1901,1.631359373277519e-05
1902,1.6305762983392924e-05
1903,1.6992349628708325e-05
1904,1.7218721040990204e-05
1905,1.733964563754853e-05
1906,1.6957019397523254e-05
1907,1.7915439457283355e-05
1908,1.7917502191266976e-05
1909,1.8375407307757996e-05
1910,1.7975280570681207e-05
1911,1.7158312402898446e-05
1912,1.75105087691918e-05
1913,1.7208451026817784e-05
1914,2.051752198894974e-05
1915,1.6143598259077407e-05
1916,1.745590088830795e-05
1917,1.831650843087118e-05
1918,1.7204925825353712e-05
1919,1.6777061318862252e-05
1920,1.5044601241243072e-05
1921,1.5127839105844032e-05
1922,1.4711783478560392e-05
1923,1.5543600966339e-05
1924,1.508997411292512e-05
1925,1.525994775875006e-05
1926,1.574590351083316e-05
1927,1.5531384633504786e-05
1928,1.5610206901328638e-05
1929,1.6032274288590997e-05
1930,1.6988069546641782e-05
1931,1.571915709064342e-05
1932,1.5902440281934105e-05
1933,1.535883711767383e-05
1934,1.5611945855198428e-05
1935,1.5194308616628405e-05
1936,1.464606884837849e-05
1937,1.5507011994486675e-05
1938,1.6132280507008545e-05
1939,1.609485480003059e-05
1940,1.6965996110229753e-05
1941,1.650149715715088e-05
1942,1.826033985707909e-05
1943,1.6327754565281793e-05
1944,1.636793604120612e-05
1945,1.6461503037135117e-05
1946,1.6779611542006023e-05
1947,2.1166741134948097e-05
1948,1.6457403035019524e-05
1949,1.5719855582574382e-05
1950,1.601038093212992e-05
1951,1.6617113942629658e-05
1952,1.663818329689093e-05
1953,1.5786725271027535e-05
1954,1.7106058294302784e-05
1955,1.548884029034525e-05
1956,1.6622510884189978e-05
1957,1.5250492651830427e-05
1958,1.685398819972761e-05
1959,1.709884418232832e-05
1960,1.793363298929762e-05
1961,1.8896642359322868e-05
1962,1.9217946828575805e-05
1963,1.885145320557058e-05
1964,1.837327545217704e-05
1965,1.6753037925809622e-05
1966,1.6890830011107028e-05
1967,1.6361780581064522e-05
1968,1.634963155083824e-05
1969,1.6284002413158305e-05
1970,1.5211220670607872e-05
1971,1.5154994798649568e-05
1972,1.519496800028719e-05
1973,1.45813346534851e-05
1974,1.4357817235577386e-05
1975,1.304866327700438e-05
1976,1.252427955478197e-05
1977,1.2754297131323256e-05
1978,1.3119590221322142e-05
1979,1.2268994396436028e-05
1980,1.2129135029681493e-05
1981,1.2443482773960568e-05
1982,1.1402335076127201e-05
1983,1.165695175586734e-05
1984,1.1357870789652225e-05
1985,1.1822260603366885e-05
1986,1.1651121894828975e-05
1987,1.1251634532527532e-05
1988,1.161890850198688e-05
1989,1.0868400750041474e-05
1990,1.0858199857466388e-05
1991,1.0667286915122531e-05
1992,1.089622855943162e-05
1993,1.0215955626335926e-05
1994,1.0050271157524548e-05
1995,1.0224137440673076e-05
1996,1.032644559018081e-05
1997,1.0455290066602174e-05
1998,1.040994447976118e-05
1999,9.876700460154098e-06
2000,1.0060796739708167e-05
2001,9.862919796432834e-06
2002,9.558896636008285e-06
2003,9.094021152122878e-06
2004,9.278493052988779e-06
2005,9.389106708113104e-06
2006,9.20832189876819e-06
2007,9.192626748699695e-06
2008,9.228078852174804e-06
2009,9.070483429240994e-06
2010,9.931701242749114e-06
2011,9.59013505053008e-06
2012,8.4437151599559e-06
2013,9.07123012439115e-06
2014,9.523181688564364e-06
2015,9.895380571833812e-06
2016,1.007144328468712e-05
2017,1.005659214570187e-05
2018,9.688920727057848e-06
2019,1.0226209269603714e-05
