,windows
1800,2.4779099476290867e-05
1801,1.9957289623562247e-05
1802,2.146429687854834e-05
1803,1.792672810552176e-05
1804,1.658020482864231e-05
1805,1.8768168956739828e-05
1806,2.2835354684502818e-05
1807,2.1370376998675056e-05
1808,2.1343932530726306e-05
1809,1.951381091203075e-05
1810,1.8949795048683882e-05
1811,1.6368332580896094e-05
1812,1.5505436749663204e-05
1813,2.2369338694261387e-05
1814,2.1947478671791032e-05
1815,2.386963205935899e-05
1816,1.9311424694024026e-05
1817,2.2886975784786046e-05
1818,2.0633993699448183e-05
1819,2.228710218332708e-05
1820,2.274964572279714e-05
1821,2.375398798903916e-05
1822,2.0782828869414516e-05
1823,2.2956040993449278e-05
1824,2.1277657651808113e-05
1825,2.5644250854384154e-05
1826,2.3835689717088826e-05
1827,2.395732190052513e-05
1828,2.5726256353664212e-05
1829,2.4794217097223736e-05
1830,2.105654675688129e-05
1831,2.3438689822796732e-05
1832,1.6781848898972385e-05
1833,2.3754560970701277e-05
1834,2.614575896586757e-05
1835,2.5881518013193272e-05
1836,2.3133750801207498e-05
1837,2.3244643671205267e-05
1838,2.5218803784810007e-05
1839,2.6408550183987245e-05
1840,2.5313429432571866e-05
1841,2.8160842703073286e-05
1842,2.9978455131640658e-05
1843,2.7522286472958513e-05
1844,2.5719711629790254e-05
1845,2.849562224582769e-05
1846,2.9910313969594426e-05
1847,2.843961374310311e-05
1848,2.9864862881368026e-05
1849,2.772086372715421e-05
1850,3.0182854970917106e-05
1851,3.0754490580875427e-05
1852,2.821325688273646e-05
1853,2.5988350898842327e-05
1854,2.5904788344632834e-05
1855,2.6887430067290552e-05
1856,2.635196506162174e-05
1857,2.5168006686726585e-05
1858,2.511064121790696e-05
1859,2.791830411297269e-05
1860,2.7354441044735722e-05
1861,2.7714433599612676e-05
1862,3.124708746327087e-05
1863,2.8494887374108657e-05
1864,2.727397259150166e-05
1865,2.9098420782247558e-05
1866,2.6355941372457892e-05
1867,2.952883005491458e-05
1868,2.7131794922752306e-05
1869,2.8815476980526e-05
1870,2.6789475668920204e-05
1871,2.6876263291342184e-05
1872,2.459134702803567e-05
1873,2.5934285076800734e-05
1874,2.8395006665959954e-05
1875,2.7353858968126588e-05
1876,2.7133006369695067e-05
1877,2.5490369807812385e-05
1878,2.564678288763389e-05
1879,2.5878498490783386e-05
1880,2.5780738724279217e-05
1881,2.621508429001551e-05
1882,2.666856744326651e-05
1883,2.667889384611044e-05
1884,2.443565426801797e-05
1885,2.451457294228021e-05
1886,2.364948159083724e-05
1887,2.4520273655070923e-05
1888,2.270223922096193e-05
1889,2.2753822122467682e-05
1890,2.56833136518253e-05
1891,2.542090805945918e-05
1892,2.4346600184799172e-05
1893,2.418791518721264e-05
1894,2.350833165110089e-05
1895,2.3251301172422245e-05
1896,2.4119512090692297e-05
1897,2.320517523912713e-05
1898,2.4219183615059592e-05
1899,2.598502214823384e-05
1900,2.6176765459240414e-05
1901,2.491415580152534e-05
1902,2.288768519065343e-05
