,size
1800,6.27017579972744e-05
1801,6.292197213042527e-05
1802,6.446017505368218e-05
1803,5.74859841435682e-05
1804,5.6280387070728466e-05
1805,6.211486470419914e-05
1806,5.9832858823938295e-05
1807,7.232229108922184e-05
1808,5.406329728430137e-05
1809,7.717384141869843e-05
1810,6.08959308010526e-05
1811,4.8992966185323894e-05
1812,4.357809302746318e-05
1813,6.440471770474687e-05
1814,5.805573164252564e-05
1815,6.192569708218798e-05
1816,4.695057941717096e-05
1817,5.6362485338468105e-05
1818,6.144771759863943e-05
1819,6.778250099159777e-05
1820,5.7186567573808134e-05
1821,6.011560981278308e-05
1822,6.823067815275863e-05
1823,6.159098848002031e-05
1824,7.101941446308047e-05
1825,6.212542939465493e-05
1826,5.91261159570422e-05
1827,6.30703434580937e-05
1828,6.635505269514397e-05
1829,7.550411828560755e-05
1830,7.098001515259966e-05
1831,7.197034574346617e-05
1832,6.95579728926532e-05
1833,6.806145393056795e-05
1834,7.207120506791398e-05
1835,7.508871203754097e-05
1836,7.589583401568234e-05
1837,6.94711270625703e-05
1838,8.001046808203682e-05
1839,7.433864084305242e-05
1840,7.179383828770369e-05
1841,7.520100916735828e-05
1842,8.193163375835866e-05
1843,6.836206739535555e-05
1844,6.87896681483835e-05
1845,7.923406519694254e-05
1846,7.271133654285222e-05
1847,8.096519741229713e-05
1848,7.515852485084906e-05
1849,7.998413639143109e-05
1850,7.39031529519707e-05
1851,8.152669033734128e-05
1852,8.327349496539682e-05
1853,7.397558511001989e-05
1854,7.909529085736722e-05
1855,8.37135303299874e-05
1856,8.394745964324102e-05
1857,8.771011926000938e-05
1858,8.319447806570679e-05
1859,8.928638999350369e-05
1860,8.467931911582127e-05
1861,8.395579789066687e-05
1862,8.983149018604308e-05
1863,8.568106568418443e-05
1864,8.295317820739001e-05
1865,8.470431203022599e-05
1866,8.189118670998141e-05
1867,8.552916551707312e-05
1868,8.714036812307313e-05
1869,8.883032569428906e-05
1870,8.746417734073475e-05
1871,9.096147550735623e-05
1872,8.710676047485322e-05
1873,9.781486733118072e-05
1874,9.332794434158131e-05
1875,9.284580301027745e-05
1876,9.675379988038912e-05
1877,9.571956616127864e-05
1878,0.00010126650158781558
1879,9.534970013191923e-05
1880,9.677324851509184e-05
1881,9.532729745842516e-05
1882,9.994700667448342e-05
1883,0.0001034940651152283
1884,0.00010208136518485844
1885,0.00010151891910936683
1886,9.396494715474546e-05
1887,9.45564461289905e-05
1888,9.466682240599766e-05
1889,0.00010106102126883343
1890,0.00010187980660703033
1891,9.936247079167515e-05
1892,0.00010310560173820704
1893,0.00010073237353935838
1894,0.00010535831097513437
1895,0.00010401156032457948
1896,0.0001040971401380375
1897,0.00010257523535983637
1898,0.00010400271276012063
1899,9.537310688756406e-05
1900,0.00010363412729930133
1901,9.851718641584739e-05
1902,0.00010509682761039585
1903,0.0001075794207281433
1904,0.00010668898903531954
1905,0.00011502544657560065
1906,0.00010952194134006277
1907,0.00011116494715679437
1908,0.00011191021621925756
1909,0.00011259602615609765
1910,0.000112161498691421
1911,0.0001137467406806536
1912,0.00011527621245477349
1913,0.00011823172098957002
1914,0.0001184741995530203
1915,0.00011857833305839449
1916,0.00012033341772621498
1917,0.00011678006558213383
1918,0.00011875523341586813
1919,0.00011758146138163283
1920,0.00011753916624002159
1921,0.00012116464495193213
1922,0.00012263355893082917
1923,0.0001210112459375523
1924,0.00011998835543636233
1925,0.00012247636914253235
1926,0.00012028901983285323
1927,0.00012146544031566009
1928,0.00012799949035979807
1929,0.0001275058020837605
1930,0.00013005558867007494
1931,0.00012400922423694283
1932,0.0001275549439014867
1933,0.00012859358685091138
1934,0.00012880892609246075
1935,0.000124307771329768
1936,0.00012499390868470073
1937,0.00013103360834065825
1938,0.00013388748629949987
1939,0.00013324158499017358
1940,0.00014474234194494784
1941,0.00013949081767350435
1942,0.0001414016296621412
1943,0.00013817328726872802
1944,0.00014247051149141043
1945,0.00013851895346306264
1946,0.00013587332796305418
1947,0.0001386321964673698
1948,0.00014491895854007453
1949,0.00015260909276548773
1950,0.00014695068239234388
1951,0.00014492317859549075
1952,0.00015116180293262005
1953,0.00015060073928907514
1954,0.0001531759335193783
1955,0.00015150991384871304
1956,0.00015598769823554903
1957,0.00015613774303346872
1958,0.00015940607408992946
1959,0.00015728222206234932
1960,0.00015961161989253014
1961,0.000157050191774033
1962,0.0001589708699611947
1963,0.00016174685151781887
1964,0.00015540535969194025
1965,0.00015360134420916438
1966,0.00015323255502153188
1967,0.00014972926874179393
1968,0.0001479117781855166
