,product
1800,1.1595856449275743e-05
1801,1.363430874334881e-05
1802,8.057521881710272e-06
1803,1.0909917364188004e-05
1804,1.2900771253043786e-05
1805,9.43574559642002e-06
1806,1.2552811313071288e-05
1807,1.3240365660749376e-05
1808,1.1698990419972688e-05
1809,1.5030810573080089e-05
1810,1.3611514987132978e-05
1811,1.125600920204306e-05
1812,9.574540854373481e-06
1813,1.228231212735409e-05
1814,1.113042435463285e-05
1815,1.3992600543133449e-05
1816,9.428950761503074e-06
1817,1.5691919543314725e-05
1818,1.4045771422388498e-05
1819,1.1984874618065078e-05
1820,9.686620614957064e-06
1821,1.413158042851137e-05
1822,1.142982000601478e-05
1823,1.1019395060429815e-05
1824,1.0337818821426481e-05
1825,1.3441353985399473e-05
1826,1.1594358511501923e-05
1827,1.2538209375634324e-05
1828,1.2574188076541759e-05
1829,1.200019869429525e-05
1830,1.4056485269975383e-05
1831,1.3468229553836863e-05
1832,2.9567339879577048e-05
1833,1.2630139281100128e-05
1834,1.309628896706272e-05
1835,1.276373313885415e-05
1836,1.4876522072881926e-05
1837,1.5405921658384614e-05
1838,1.3818731531500816e-05
1839,1.2598718967637978e-05
1840,1.2999315003980882e-05
1841,1.525957850390114e-05
1842,1.68429542100057e-05
1843,1.4492626178252976e-05
1844,1.3446197954181116e-05
1845,1.623778371140361e-05
1846,1.694019556452986e-05
1847,1.8004524463322014e-05
1848,1.993280056922231e-05
1849,1.7594273231225088e-05
1850,1.777770376065746e-05
1851,1.8786200598697178e-05
1852,1.9226770746172406e-05
1853,1.901891482702922e-05
1854,1.6645533833070658e-05
1855,1.7042484614648856e-05
1856,1.6736386896809563e-05
1857,1.8963852198794484e-05
1858,1.754760705807712e-05
1859,1.887833968794439e-05
1860,1.858592440839857e-05
1861,1.8672524674911983e-05
1862,1.9768112906604074e-05
1863,2.1518682842724957e-05
1864,2.0816189135075547e-05
1865,1.97229310288094e-05
1866,2.017221413552761e-05
1867,2.1705529434257187e-05
1868,2.157813469239045e-05
1869,2.157707785954699e-05
1870,2.1590023607132025e-05
1871,2.118293741659727e-05
1872,2.469608989486005e-05
1873,2.247038901259657e-05
