,he
1800,0.005221972707659006
1801,0.005030302330851555
1802,0.005119726527482271
1803,0.004847250878810883
1804,0.005486790090799332
1805,0.005254801828414202
1806,0.005542517174035311
1807,0.005135927349328995
1808,0.005404201336205006
1809,0.005245062988251448
1810,0.005725374445319176
1811,0.005471628159284592
1812,0.006082993466407061
1813,0.0052381171844899654
1814,0.005833025090396404
1815,0.005682877264916897
1816,0.006421782076358795
1817,0.005413379054516554
1818,0.005039071198552847
1819,0.004748035222291946
1820,0.005720010958611965
1821,0.005368111655116081
1822,0.005277707707136869
1823,0.005389918107539415
1824,0.005339750554412603
1825,0.005499083083122969
1826,0.005337475799024105
1827,0.005214299075305462
1828,0.005110771395266056
1829,0.004939102567732334
1830,0.0052659460343420506
1831,0.005226860288530588
1832,0.004280931316316128
1833,0.005291052162647247
1834,0.00492846267297864
1835,0.0048676664009690285
1836,0.004884521476924419
1837,0.004794331733137369
1838,0.004822548944503069
1839,0.004973515402525663
1840,0.0048269410617649555
1841,0.004762991797178984
1842,0.0047308048233389854
1843,0.0047575985081493855
1844,0.004941762890666723
1845,0.004594482481479645
1846,0.004714922979474068
1847,0.00468310434371233
1848,0.004686381667852402
1849,0.004598613828420639
1850,0.004651765804737806
1851,0.004541641566902399
1852,0.004432776011526585
1853,0.0047356244176626205
1854,0.00446949852630496
1855,0.0044534713961184025
1856,0.004430447705090046
1857,0.004530834034085274
1858,0.004358820617198944
1859,0.004287310875952244
1860,0.0043780910782516
1861,0.004149732645601034
1862,0.00408247159793973
1863,0.0041833966970443726
1864,0.00420417683199048
1865,0.004154776223003864
1866,0.004065776243805885
1867,0.004063536413013935
1868,0.004062483552843332
1869,0.004090794827789068
1870,0.004023028537631035
1871,0.003990191966295242
1872,0.004054371267557144
1873,0.0038719004951417446
1874,0.003817879594862461
1875,0.003957477863878012
1876,0.0038208209443837404
1877,0.0038103621918708086
1878,0.003736737882718444
1879,0.003918541595339775
1880,0.003963089548051357
1881,0.0039038497488945723
1882,0.0038553199265152216
1883,0.0038815971929579973
1884,0.0036894113291054964
1885,0.0037148003466427326
1886,0.0036379105877131224
1887,0.0036597021389752626
1888,0.0038235876709222794
1889,0.0035746090579777956
1890,0.003647040342912078
1891,0.0035331416875123978
1892,0.0035577253438532352
1893,0.0035395182203501463
1894,0.0035381608176976442
1895,0.0034304722212255
1896,0.0035403738729655743
1897,0.0033675499726086855
1898,0.003447227645665407
1899,0.0037298512179404497
1900,0.0035395424347370863
1901,0.0033808359876275063
1902,0.0032784026116132736
1903,0.0032389815896749496
1904,0.0032683678437024355
1905,0.0030713838059455156
1906,0.003072016639634967
1907,0.0030433214269578457
1908,0.003027554601430893
1909,0.002968825865536928
1910,0.002978147706016898
1911,0.00287007843144238
1912,0.002833625068888068
1913,0.0026675653643906116
1914,0.0026141474954783916
1915,0.0024797592777758837
1916,0.0024745475966483355
1917,0.0024304294493049383
1918,0.0024080148432403803
1919,0.002417866373434663
1920,0.0024744609836488962
1921,0.0024198356550186872
1922,0.002588551724329591
1923,0.0025663692504167557
1924,0.002595391357317567
1925,0.0025520874187350273
1926,0.0026545096188783646
1927,0.002612004056572914
1928,0.0026117071975022554
1929,0.002563100541010499
1930,0.0025075972080230713
1931,0.002345025772228837
1932,0.0024086623452603817
1933,0.002283744979649782
1934,0.0023450327571481466
1935,0.002395238261669874
1936,0.0023468253202736378
1937,0.002321084728464484
1938,0.002238880842924118
1939,0.00213776552118361
1940,0.002137943170964718
1941,0.0020447939168661833
1942,0.002109616994857788
1943,0.0021268795244395733
1944,0.0021278380881994963
1945,0.002131899120286107
1946,0.002317046979442239
1947,0.0022050063125789165
1948,0.0021800019312649965
1949,0.0020363216754049063
1950,0.0022881117183715105
1951,0.0021855952218174934
1952,0.0022888791281729937
1953,0.002125757047906518
1954,0.0021470969077199697
1955,0.002125292085111141
1956,0.00210661836899817
1957,0.002073955489322543
1958,0.0020812652073800564
1959,0.0019870982505381107
1960,0.002024905290454626
1961,0.0020275546703487635
1962,0.002023339504376054
1963,0.0020210265647619963
1964,0.0020603255834430456
1965,0.002054972108453512
1966,0.0020553984213620424
1967,0.0020778365433216095
1968,0.002139203017577529
1969,0.0020991754718124866
1970,0.002053600735962391
1971,0.0019923176150768995
1972,0.0018499711295589805
1973,0.0017862222157418728
1974,0.0017601570580154657
1975,0.0016099176136776805
1976,0.0016032126732170582
1977,0.001547650434076786
1978,0.0015210433630272746
1979,0.0015019247075542808
1980,0.001526055159047246
1981,0.0015377121744677424
1982,0.0015142977936193347
1983,0.00151320721488446
1984,0.001539497054181993
1985,0.001503863139078021
1986,0.001550985616631806
1987,0.0015775008359923959
1988,0.0015920908190310001
1989,0.0015797249507158995
1990,0.001561995828524232
1991,0.0016045321244746447
1992,0.0016283165896311402
1993,0.0016047873068600893
1994,0.001606015837751329
1995,0.001580856624059379
1996,0.001680562854744494
1997,0.0016851333202794194
1998,0.0017793442821130157
1999,0.0018554360140115023
2000,0.0020457745995372534
2001,0.0021068882197141647
2002,0.0020943370182067156
2003,0.0021735667251050472
2004,0.002348375739529729
2005,0.0023330533877015114
2006,0.002486308803781867
2007,0.0026025394909083843
2008,0.002887635724619031
2009,0.003135074395686388
2010,0.003278544172644615
2011,0.0035688395146280527
2012,0.003325406229123473
2013,0.0033551170490682125
2014,0.0040607089176774025
2015,0.0038991279434412718
2016,0.003530471585690975
2017,0.004122524056583643
2018,0.004125379025936127
2019,0.003981526475399733
