,sites
1800,1.4405529782379745e-06
1801,5.711341373171308e-07
1802,8.915420721677947e-07
1803,9.077189133677166e-07
1804,4.485528961595264e-07
1805,7.019830263743643e-07
1806,7.223579245874134e-07
1807,8.520815981682972e-07
1808,7.198260618679342e-07
1809,5.031384944231831e-07
1810,6.810150807723403e-07
1811,7.364513976426679e-07
1812,5.863773253622639e-07
1813,9.214404030899459e-07
1814,8.826899033920199e-07
1815,7.920340294731432e-07
1816,1.1786188451878843e-06
1817,9.507594995739055e-07
1818,1.3262972515803995e-06
1819,1.1448397572166868e-06
1820,1.1490568567751325e-06
1821,1.4174190710036783e-06
1822,1.2214673006383236e-06
1823,1.0121747209268506e-06
1824,1.6413807770732092e-06
1825,1.198280529024487e-06
1826,1.5535182456005714e-06
1827,1.427036977474927e-06
1828,1.7230014464075794e-06
1829,1.982475623663049e-06
1830,1.6089232985905255e-06
1831,1.987141104109469e-06
1832,3.4522940950409975e-06
1833,1.887315875137574e-06
1834,2.780522891043802e-06
1835,2.5695551357785007e-06
1836,2.813415903801797e-06
1837,2.9419920792861376e-06
1838,2.76878995464358e-06
1839,2.6612940473569324e-06
1840,2.559206222940702e-06
1841,3.2970433494483586e-06
1842,2.875147629310959e-06
1843,2.8015938369208016e-06
1844,2.8979127364436863e-06
1845,3.3179687761730747e-06
1846,3.4688271171035012e-06
1847,4.558397449727636e-06
1848,3.7312977383407997e-06
1849,3.841356829070719e-06
1850,3.370573040228919e-06
1851,3.60763647222484e-06
1852,3.794871190621052e-06
1853,3.6040103168488713e-06
1854,3.928276782971807e-06
1855,4.640743100026157e-06
1856,4.497336249187356e-06
1857,3.920813014701707e-06
1858,4.495777375268517e-06
1859,4.009798885817872e-06
1860,3.897380338457879e-06
1861,3.6870856092718896e-06
1862,4.407083451951621e-06
1863,4.894743597105844e-06
1864,3.903455763065722e-06
1865,4.587508101394633e-06
1866,4.144650574744446e-06
1867,4.774550689035095e-06
1868,4.5775364014843944e-06
1869,6.557108008564683e-06
1870,4.60355295217596e-06
1871,4.744438683701446e-06
1872,4.381524377095047e-06
1873,5.265324034553487e-06
1874,5.671559847542085e-06
1875,5.9995481933583505e-06
1876,5.391594640968833e-06
1877,6.360143743222579e-06
1878,5.923305252508726e-06
1879,5.867706931894645e-06
1880,5.135693754709791e-06
1881,5.511999916052446e-06
1882,5.456156486616237e-06
1883,5.7171855587512255e-06
1884,5.694338597095339e-06
1885,6.33049830867094e-06
1886,5.290468379826052e-06
1887,5.518385933100944e-06
1888,5.31839941686485e-06
1889,6.721938461851096e-06
1890,7.841000297048595e-06
1891,7.054978595988359e-06
1892,6.356727226375369e-06
1893,6.317320185189601e-06
1894,6.1834407460992225e-06
1895,5.912003416597145e-06
1896,5.829945166624384e-06
1897,7.056178674247349e-06
1898,6.155571099952795e-06
1899,6.54329687677091e-06
1900,7.468821422662586e-06
1901,6.898986157466425e-06
1902,9.119247806665953e-06
1903,8.723548489797395e-06
1904,7.996800377441105e-06
1905,7.778397048241459e-06
1906,8.22824858914828e-06
1907,8.498333954776172e-06
1908,8.565672033000737e-06
1909,8.90940282260999e-06
1910,9.402716386830434e-06
1911,9.976799447031226e-06
1912,9.285340638598427e-06
1913,1.0123616448254324e-05
1914,9.499822226644028e-06
1915,9.820778359426185e-06
1916,9.720797606860287e-06
1917,9.402787327417172e-06
1918,8.990953574539162e-06
1919,1.0489628039067611e-05
1920,9.685781151347328e-06
1921,9.541719919070601e-06
1922,9.604534170648549e-06
1923,1.1092386557720602e-05
1924,1.0294415005773772e-05
1925,1.1262377483944874e-05
1926,1.1850376722577494e-05
1927,1.3157734429114498e-05
1928,1.2727980902127456e-05
1929,1.3485601812135428e-05
1930,1.4326928976515774e-05
1931,1.4162888874125201e-05
1932,1.3824984307575505e-05
1933,1.5133366105146706e-05
1934,1.4046491742192302e-05
1935,1.6398671505157836e-05
1936,1.4838240531389602e-05
1937,1.5171702216321137e-05
1938,1.583283483341802e-05
1939,1.5776229702169076e-05
1940,1.5530287782894447e-05
1941,1.6743446394684725e-05
1942,1.5160983821260743e-05
1943,1.542661448183935e-05
1944,1.622565832803957e-05
1945,1.8455617464496754e-05
1946,1.8951566744362935e-05
1947,1.8376495063421316e-05
1948,2.0951985788997263e-05
1949,2.439660602249205e-05
1950,2.1950774680590257e-05
1951,2.0841565856244415e-05
1952,2.0844214304815978e-05
1953,2.3547614546259865e-05
1954,2.3857428459450603e-05
1955,2.5489507606835105e-05
1956,2.6393499865662307e-05
1957,2.869178933906369e-05
1958,2.831062192854006e-05
1959,3.237825512769632e-05
1960,3.3151030947919935e-05
1961,3.067163561354391e-05
1962,3.3537169656483456e-05
1963,3.491981260594912e-05
1964,3.4910925023723394e-05
1965,3.441037188167684e-05
1966,3.31960545736365e-05
1967,3.520794416544959e-05
1968,3.4973731089849025e-05
1969,4.002841887995601e-05
1970,3.9187179936561733e-05
1971,4.207691381452605e-05
1972,4.8401187086710706e-05
1973,4.738557618111372e-05
1974,5.343743032426573e-05
1975,5.54504877072759e-05
1976,5.9872923884540796e-05
1977,6.0846799897262827e-05
1978,6.639988714596257e-05
1979,6.793659849790856e-05
1980,7.128096331143752e-05
1981,7.158204243751243e-05
1982,7.153873593779281e-05
1983,7.14588604751043e-05
1984,7.349519000854343e-05
1985,7.515461038565263e-05
1986,7.518673373851925e-05
1987,7.728290074737743e-05
1988,7.521668885601684e-05
1989,7.41139447200112e-05
1990,7.845606160117313e-05
1991,7.507115515181795e-05
1992,7.434821600327268e-05
1993,7.700487913098186e-05
1994,7.849081157473847e-05
1995,7.779911538818851e-05
1996,8.566579344915226e-05
1997,8.29688215162605e-05
1998,8.420965605182573e-05
1999,8.328973490279168e-05
2000,8.382162923226133e-05
2001,8.06220923550427e-05
2002,7.77259556343779e-05
2003,7.437313615810126e-05
2004,7.397638546535745e-05
2005,7.029372500255704e-05
2006,6.816954555688426e-05
2007,6.683518586214632e-05
2008,6.215071334736422e-05
2009,5.856174902874045e-05
2010,5.7120720157399774e-05
2011,5.217365833232179e-05
2012,6.112820119597018e-05
2013,5.269141183816828e-05
2014,4.321109736338258e-05
2015,4.451405766303651e-05
2016,4.790152524947189e-05
2017,3.8562466215807945e-05
2018,3.694051702041179e-05
2019,3.8866561226313934e-05
