,forum
1800,1.761998760230199e-06
1801,2.2237775283429073e-06
1802,1.3877777291781968e-06
1803,1.394717287439562e-06
1804,3.6111757708567893e-06
1805,3.2333764465874992e-06
1806,2.2014717160345754e-06
1807,2.1398138869699324e-06
1808,1.4014794942340814e-06
1809,1.7790832771424903e-06
1810,2.242223899884266e-06
1811,2.0874360870948294e-06
1812,1.5159690747168497e-06
1813,2.480566308804555e-06
1814,1.9524181880115066e-06
1815,1.6041194612625986e-06
1816,1.6837411749293096e-06
1817,1.7493974837634596e-06
1818,2.217255314462818e-06
1819,1.5242343351928866e-06
1820,1.8363318758929381e-06
1821,2.099183802783955e-06
1822,2.134674559783889e-06
1823,2.2637220808974234e-06
1824,1.5288957229131483e-06
1825,2.0777765712409746e-06
1826,1.8347246850680676e-06
1827,1.6570528487136471e-06
1828,1.8524038978284807e-06
1829,1.571879238326801e-06
1830,2.111803496518405e-06
1831,2.378699946348206e-06
1832,4.850822733715177e-06
1833,1.7145287074527005e-06
1834,1.685480697233288e-06
1835,1.7762176867108792e-06
1836,2.0380377918627346e-06
1837,1.6896104853003635e-06
1838,1.5993413171599968e-06
1839,1.9062537148784031e-06
1840,1.9873014025506563e-06
1841,2.171314918086864e-06
1842,1.8688459704208071e-06
1843,1.5941835727062426e-06
1844,2.1744142486568308e-06
1845,1.8926981510958285e-06
1846,1.7901846831591683e-06
1847,1.7857736338555696e-06
1848,1.8140264046451193e-06
1849,2.2201709271030268e-06
1850,2.0579798274411587e-06
1851,1.848607439569605e-06
1852,1.9764327134907944e-06
1853,2.050889861493488e-06
1854,2.162876171496464e-06
1855,2.035811121459119e-06
1856,2.1927596662862925e-06
1857,2.228899575129617e-06
1858,2.190372924815165e-06
1859,1.8267789982928662e-06
1860,1.8673191561902058e-06
1861,1.4939471384423086e-06
1862,1.8928324152511777e-06
1863,1.5635512227163417e-06
1864,1.8240114059153711e-06
1865,1.9037262291021761e-06
1866,1.4693242746943724e-06
1867,1.3384433259489015e-06
1868,1.6587609934504144e-06
1869,1.6657544392728596e-06
1870,1.4888420309944195e-06
1871,1.5458243751709233e-06
1872,2.138390073014307e-06
1873,2.400129005764029e-06
1874,1.619552904230659e-06
1875,1.8079770143231144e-06
1876,1.6779614497863804e-06
1877,1.7241906107301475e-06
1878,1.7693536165097612e-06
1879,1.5530587234025006e-06
1880,2.0588281586242374e-06
1881,1.6766375665611122e-06
1882,1.7850734366220422e-06
1883,1.8939111896543182e-06
1884,1.3688420494872844e-06
1885,1.6615742879366735e-06
1886,1.8274241710969363e-06
1887,1.4557364238498849e-06
1888,1.5671989785914775e-06
1889,1.570068093315058e-06
1890,1.6451882629553438e-06
1891,1.5025191260065185e-06
1892,1.5011102050266345e-06
1893,1.4884490155964158e-06
1894,1.2783066267729737e-06
1895,1.4251477296056692e-06
1896,1.4649928061771789e-06
1897,1.3658017223860952e-06
1898,1.434709247405408e-06
1899,1.4591910257877316e-06
1900,1.506091848568758e-06
1901,1.4235361049941275e-06
1902,1.4001758472659276e-06
1903,1.5444945802300936e-06
1904,1.4434402828555903e-06
1905,1.4967171182433958e-06
1906,1.5477547776754363e-06
1907,1.4376963690665434e-06
1908,1.5211946902127238e-06
1909,1.5140609548325301e-06
1910,1.6806093299237546e-06
1911,1.6955602859525243e-06
1912,1.4529869076795876e-06
1913,1.5574274812024669e-06
1914,1.5849018382141367e-06
1915,1.7683515807220829e-06
1916,1.7179664837385644e-06
1917,1.661091005189519e-06
1918,1.8491787159291562e-06
1919,1.9373101167730056e-06
1920,1.8566605604064534e-06
1921,1.7463793255956261e-06
1922,2.014659003179986e-06
1923,1.85701401278493e-06
1924,1.9471506220725132e-06
1925,1.7458730781072518e-06
1926,2.0951454189344076e-06
1927,2.036023033724632e-06
1928,2.0926656816300238e-06
1929,2.250141051263199e-06
1930,2.1541884507314535e-06
1931,2.214253754573292e-06
1932,2.6197856186627178e-06
1933,2.5750850909389555e-06
1934,2.8422416562534636e-06
1935,3.3706285194057273e-06
1936,3.6608280424843542e-06
1937,4.281815108697629e-06
1938,4.1029538806469645e-06
1939,3.564388407539809e-06
1940,3.575054506654851e-06
1941,4.634664946934208e-06
1942,3.5874531931767706e-06
1943,3.4830447930289665e-06
1944,3.818142886302667e-06
1945,4.042799901071703e-06
1946,3.896095677191624e-06
1947,4.428058673511259e-06
1948,4.441370492713759e-06
1949,4.29140345659107e-06
1950,3.8943167055549566e-06
1951,3.996663508587517e-06
1952,4.225555130688008e-06
1953,3.939901034755167e-06
1954,4.309153609938221e-06
1955,4.565190010907827e-06
1956,4.379367965157144e-06
1957,4.292687663109973e-06
1958,4.339028237154707e-06
1959,4.34508820035262e-06
1960,4.70249869977124e-06
1961,4.4078228711441625e-06
1962,4.661946150008589e-06
1963,4.78249421576038e-06
1964,4.898074621451087e-06
1965,4.635729055735283e-06
1966,4.680819984059781e-06
1967,5.033672550780466e-06
1968,5.288414286042098e-06
1969,5.367290668800706e-06
1970,5.592702564172214e-06
1971,5.689353656634921e-06
1972,6.1179898693808354e-06
1973,6.378248144756071e-06
1974,6.73981321597239e-06
1975,6.967938588786637e-06
1976,7.5159659900236875e-06
1977,7.765148438920733e-06
1978,8.690497452334967e-06
1979,8.163784514181316e-06
1980,8.613141289970372e-06
1981,9.12209816306131e-06
1982,9.495479389443062e-06
1983,9.249133654520847e-06
1984,1.019959836412454e-05
1985,1.0778167052194476e-05
1986,1.1191656085429713e-05
1987,1.100475674320478e-05
1988,1.073556995834224e-05
1989,1.0899979315581731e-05
1990,1.1207045645278413e-05
1991,1.1196444575034548e-05
1992,1.1689493476296775e-05
1993,1.1915120012417901e-05
1994,1.1967656973865815e-05
1995,1.2175278243375942e-05
1996,1.2159965990576893e-05
1997,1.2271113519091159e-05
1998,1.2370340300549287e-05
1999,1.2773200069204904e-05
2000,1.1689543498505373e-05
2001,1.2976985999557655e-05
2002,1.3002151717955712e-05
2003,1.1770359378715511e-05
2004,1.0486142855370417e-05
2005,1.0451715752424207e-05
2006,1.0522976481297519e-05
2007,9.834673619479872e-06
2008,9.016407602757681e-06
2009,8.78944501891965e-06
2010,8.135360076266807e-06
2011,6.970764388825046e-06
2012,6.216376732481876e-06
2013,6.604498139495263e-06
2014,6.178060175443534e-06
2015,6.390052476490382e-06
2016,7.046141035971232e-06
2017,5.7967631619249005e-06
2018,5.634766694129212e-06
2019,5.884434813197004e-06
