,online
1907,1.5869593639195045e-08
1908,1.8250494449034704e-08
1909,2.8128669171678666e-08
1910,1.7228604320962404e-08
1911,1.6428170823701294e-08
1912,2.0258083210933364e-08
1913,1.68730149852081e-08
1914,2.0743250672694558e-08
1915,1.876716915205634e-08
1916,2.071768534506191e-08
1917,1.5551945509173493e-08
1918,3.302503159829939e-08
1919,3.087136946078317e-08
1920,1.720578524100347e-08
1921,2.254821396263651e-08
1922,2.575501945045744e-08
1923,2.9558908209992296e-08
1924,2.9910751209172304e-08
1925,2.6204157066445077e-08
1926,2.165613821603074e-08
1927,4.855000312886659e-08
1928,2.3511288915756268e-08
1929,2.663648324130463e-08
1930,1.8622731801087866e-08
1931,3.049628460871645e-08
1932,1.663805448970379e-08
1933,3.583124907891033e-08
1934,1.6679209693393204e-06
1935,3.4093559975190146e-08
1936,1.0038329634198817e-07
1937,2.2962167278706147e-08
1938,2.380011920877223e-08
1939,2.0225559893560785e-08
1940,7.493522957702226e-08
1941,1.615539702015667e-07
1942,5.907352118583731e-08
1943,3.21384057144769e-08
1944,3.5521200203447734e-08
1945,3.3650771058546525e-08
1946,4.685406196358599e-08
1947,6.71964244247647e-08
1948,4.099241479593729e-08
1949,1.4919770308097213e-07
1950,6.814851616354645e-08
1951,5.123159851905257e-08
1952,3.368920786783747e-08
1953,8.989582767071624e-08
1954,1.8870936457915377e-07
1955,4.841635004027012e-08
1956,6.479654501845289e-08
1957,6.553953824095515e-08
1958,5.265761870987262e-08
1959,7.117841249737467e-08
1960,1.5851919954457117e-07
1961,5.775233375970856e-07
1962,1.334491770421664e-07
1963,1.3414819477475248e-07
1964,2.9845267590644653e-07
1965,2.053103429489056e-07
1966,2.1359647917051916e-07
1967,2.872553181987314e-07
1968,4.791437504536589e-07
1969,3.0960404728830326e-07
1970,4.140105716032849e-07
1971,4.2144739609284443e-07
1972,5.533531748369569e-07
1973,5.422888875727949e-07
1974,6.314502343229833e-07
1975,7.286521963578707e-07
1976,1.0024023140431382e-06
