,accessories
1800,6.071752522984752e-07
1801,3.1594655069966393e-07
1802,4.962356570104021e-07
1803,4.4089205175623647e-07
1804,2.5352989041493856e-07
1805,4.710275618435844e-07
1806,2.6535596475696366e-07
1807,6.940514367670403e-07
1808,2.2503652417071862e-06
1809,3.945474418287631e-07
1810,5.916776331105211e-07
1811,5.535742388929066e-07
1812,2.5962711447391484e-07
1813,2.9748488827863184e-07
1814,4.511890949743247e-07
1815,4.5115859848010587e-07
1816,4.5488170030694164e-07
1817,4.4027478907082696e-07
1818,5.407939625001745e-07
1819,7.508019166380109e-07
1820,7.232580969684932e-07
1821,6.266220111683651e-07
1822,7.154158083721995e-07
1823,5.932726594437554e-07
1824,1.0420608305139467e-06
1825,8.620283438176557e-07
1826,1.100244844565168e-06
1827,9.75454895524308e-07
1828,1.167280288427719e-06
1829,1.191973865388718e-06
1830,9.874602255877107e-07
1831,1.189349973174103e-06
1832,1.5982478771547903e-06
1833,8.839496103973943e-07
1834,1.0755343282653484e-06
1835,1.4269346593209775e-06
1836,1.0883006780204596e-06
1837,1.1215618087589974e-06
1838,1.3753045777775696e-06
1839,1.098670509236399e-06
1840,1.2712007446680218e-06
1841,1.41317116231221e-06
1842,1.4359824263010523e-06
1843,1.7936549738806207e-06
1844,1.419075942976633e-06
1845,1.50317521274701e-06
1846,1.7213313867614488e-06
1847,1.5987816368578933e-06
1848,1.7103143363783602e-06
1849,1.5947064184729243e-06
1850,1.7779825611796696e-06
1851,2.1295927581377327e-06
1852,2.1596308670268627e-06
1853,1.7511649730295176e-06
1854,2.0130510165472515e-06
1855,2.076159262287547e-06
1856,1.951897274921066e-06
1857,2.306672513441299e-06
1858,2.511578713892959e-06
1859,2.1197038222453557e-06
1860,2.2059434741095174e-06
1861,2.5282181468355702e-06
1862,2.605949930511997e-06
1863,2.1600233139906777e-06
1864,2.359787458772189e-06
1865,2.4404046143899905e-06
1866,2.355196102143964e-06
1867,2.399967343080789e-06
1868,2.5537738110870123e-06
1869,2.362838131375611e-06
1870,2.763523070825613e-06
1871,2.0935128759447252e-06
1872,2.303542260051472e-06
1873,2.252005742775509e-06
1874,2.220849637524225e-06
1875,2.3692612103332067e-06
1876,2.4900457447074587e-06
1877,2.3971201699168887e-06
1878,2.425595312161022e-06
1879,2.3762763703416567e-06
1880,2.4617861527076457e-06
1881,2.381734702794347e-06
1882,2.371869868511567e-06
1883,2.3840213998482795e-06
1884,2.2665990400128067e-06
1885,2.2999781776888995e-06
1886,2.1258113065414364e-06
1887,2.1109885892656166e-06
1888,2.271564881084487e-06
1889,2.3941124709381256e-06
1890,2.334794089620118e-06
1891,2.6506259018788114e-06
1892,2.8113297503296053e-06
1893,3.0930557386454893e-06
1894,2.635476676005055e-06
1895,2.7238254460826283e-06
1896,3.1073991522134747e-06
1897,3.0101145966909826e-06
1898,3.059112486880622e-06
