,york
1800,2.7779258005011798e-08
1801,6.48095479505173e-08
1802,9.251851906810771e-08
1803,4.898800654018487e-08
1804,1.5276800979791005e-07
1805,6.077775083213055e-08
1806,2.948399568936111e-08
1807,6.193074142402111e-08
1808,4.362582117778402e-08
1809,4.235050710121868e-07
1810,3.51491671324311e-08
1811,3.7893475024475265e-08
1812,2.4063000481078234e-08
1813,5.3394725085809114e-08
1814,3.609512688740324e-08
1815,4.845777823447861e-08
1816,4.616709858851209e-08
1817,4.8269328090100316e-08
1818,3.78555782276635e-08
1819,1.2912727243019617e-07
1820,1.1274670441707713e-07
1821,6.642193284278619e-08
1822,6.312492217830368e-08
1823,2.5072219500543724e-07
1824,3.8694832227292864e-08
1825,4.366911454667388e-08
1826,3.14636601217444e-08
1827,7.416836922402581e-08
1828,2.6589528800968765e-08
1829,6.801798946298732e-08
1830,3.0743759538154336e-08
1831,5.7922886043115795e-08
1832,3.9353594161184446e-08
1833,4.5364963341398834e-08
1834,4.681890786173426e-08
1835,3.337858700547258e-08
1836,1.1720160841832694e-07
1837,7.732904094837068e-08
1838,1.084995062683447e-07
1839,3.9932547934995455e-08
1840,3.794628966602431e-08
1841,4.0605296902640475e-08
1842,8.699709042048198e-08
1843,3.206356780083297e-07
1844,5.0453856204057956e-08
1845,7.62017435818052e-08
1846,5.4623583878310455e-08
1847,2.1971560570932525e-08
1848,3.5505024698068155e-08
1849,1.0637463532248148e-07
1850,8.315069521813712e-08
1851,3.330479358965022e-08
1852,1.1736715066490433e-07
1853,1.3723550296163012e-07
1854,1.5015007193142083e-07
1855,4.3533511018267745e-08
1856,8.512947857752806e-08
1857,4.66637182228169e-08
1858,7.386996259128864e-08
1859,1.857741267485835e-07
1860,9.164756420432241e-08
1861,9.112876142580717e-08
1862,3.3267447463458666e-08
1863,1.5029219468942756e-07
1864,1.6211677689170756e-07
1865,7.995571849050975e-08
1866,4.7451454321389974e-08
1867,7.054849504584126e-08
1868,3.2196929566907784e-08
1869,5.0477407143034725e-08
1870,5.5355158679049055e-08
1871,9.81824328505354e-08
1872,5.735994790256882e-08
1873,9.076615015146672e-08
1874,8.833409026465233e-08
1875,6.134565921911417e-08
1876,5.898123234260311e-08
1877,6.89898840278147e-08
1878,6.374278171961123e-08
1879,8.398537687526186e-08
1880,6.508001604288438e-08
1881,1.1226690332932776e-07
1882,1.0337980427266302e-07
1883,2.725648187151819e-07
1884,1.1047958281551473e-07
1885,1.1729026283546773e-07
1886,1.155772153538237e-07
1887,1.37756742901729e-07
1888,1.2819582195788826e-07
1889,1.5642744699562172e-07
1890,1.2573455876463413e-07
1891,1.2305194729833602e-07
1892,5.968534537714731e-07
1893,1.4502019496376306e-07
1894,4.898502652395109e-07
1895,1.5053713298129878e-07
1896,1.7370052773912903e-07
1897,1.6933343260916445e-07
1898,1.8139490975954686e-07
1899,1.5709773037997365e-07
1900,1.7672067542662262e-07
1901,1.9066344236762234e-07
1902,1.8257620126860274e-07
1903,1.7494151904884347e-07
1904,1.734575505452085e-07
1905,1.9995600553102122e-07
1906,1.975975720824863e-07
1907,1.632459571965228e-07
1908,1.487788807708057e-07
1909,1.5411035292345332e-07
1910,1.4469976861164469e-07
1911,1.734084804638769e-07
1912,1.5280383536264708e-07
1913,1.590884295410433e-07
1914,1.528347013390885e-07
1915,1.5154992638599651e-07
1916,1.9316487964715634e-07
1917,2.4606859483355947e-07
1918,2.1019987173076515e-07
1919,1.8154051417695882e-07
1920,2.0646942289204162e-07
1921,1.648838150458687e-07
1922,1.8754427344447322e-07
1923,1.9245773330567317e-07
1924,2.4066346782092296e-07
1925,2.4581188995398406e-07
1926,1.8029594173185615e-07
1927,2.1078223255699413e-07
1928,2.8084718906029593e-07
1929,2.504792178115167e-07
1930,2.3525126380263828e-07
1931,2.58499909477905e-07
1932,2.276227490938254e-07
1933,1.8677991420190665e-07
1934,2.098903166825039e-07
1935,2.5520520807731373e-07
1936,2.797434319745662e-07
1937,3.0401281492231647e-07
1938,3.263571954903455e-07
1939,2.9986591698616394e-07
1940,4.7600366315236897e-07
1941,3.237169892145175e-07
1942,2.897913589094969e-07
1943,2.843707136435114e-07
1944,3.1196879035633174e-07
1945,3.3023087553374353e-07
1946,3.162649306887033e-07
1947,2.633409224017669e-07
1948,3.241291324229678e-07
1949,2.745330505149468e-07
1950,3.0481393764603126e-07
1951,5.986196924823162e-07
1952,3.871282672207599e-07
1953,2.738328817031288e-07
1954,3.3629422091507877e-07
1955,3.7602268321279553e-07
1956,2.8202973112456675e-07
1957,2.3563751483379747e-07
1958,3.5044203627876414e-07
1959,2.925385444996209e-07
1960,2.913470495968795e-07
1961,2.5643635126471054e-07
1962,4.85571604258439e-07
1963,2.4250437036243966e-07
1964,2.8285245434744866e-07
1965,3.1685632961853116e-07
1966,2.9886868446737935e-07
1967,3.024899797310354e-07
1968,4.73343447993102e-07
1969,3.3644050745351706e-07
1970,2.697538548090961e-07
1971,2.1425745444503264e-07
1972,2.1270730599098897e-07
1973,2.754414936134708e-07
1974,4.0782987298371154e-07
1975,4.2023347646136244e-07
1976,2.6809306064023986e-07
1977,2.1814939543673972e-07
1978,5.75839408156753e-07
1979,2.7373693001209176e-07
1980,3.2452385312353726e-07
1981,3.138145245884516e-07
1982,2.861194445813453e-07
1983,4.6420663579738175e-07
1984,4.80997755403223e-07
1985,4.1815656004473567e-07
1986,2.618858445657679e-07
1987,3.875526886076841e-07
1988,5.132214369041321e-07
1989,4.7025153548929666e-07
1990,3.876524203860754e-07
1991,3.6234638400856056e-07
1992,3.217112407583045e-07
1993,2.840406239101867e-07
1994,2.7765671006818593e-07
1995,2.8102482474423596e-07
1996,4.6482782067869266e-07
1997,3.7077595038681466e-07
1998,3.0197080036487023e-07
1999,4.6584673896177264e-07
2000,3.014035314663488e-07
2001,2.0994745852931374e-07
2002,2.5875382902995625e-07
2003,4.0385157262790017e-07
2004,4.3779670022559003e-07
2005,3.630592004810751e-07
2006,4.24004042542947e-07
2007,4.447874175639299e-07
2008,5.731421879318077e-07
2009,1.1905514156751451e-06
2010,1.5600995766362757e-06
