,usa
1800,7.540084823176585e-08
1801,9.721432547848963e-08
1802,1.2195623355637508e-07
1803,7.780447930372247e-08
1804,9.751149576686657e-08
1805,1.215555016642611e-07
1806,8.353799074711787e-08
1807,1.2172594665571523e-07
1808,1.0361132041225574e-07
1809,1.3211909788424236e-07
1810,1.2448663255781867e-07
1811,1.3345092497729638e-07
1812,1.6084216269973695e-07
1813,6.102253991002726e-08
1814,1.8867906703690096e-07
1815,9.190267746816971e-08
1816,1.4664843206446676e-07
1817,9.215053609068491e-08
1818,8.92310083600023e-08
1819,6.789166206999653e-08
1820,9.235633768867046e-08
1821,1.1905818553259451e-07
1822,1.2098944068839046e-07
1823,9.801896538874644e-08
1824,6.389146278706903e-08
1825,1.0917278814304154e-07
1826,9.242450005331193e-08
1827,7.416836922402581e-08
1828,1.0369916481067776e-07
1829,8.460774836294149e-08
1830,8.125135764203151e-08
1831,7.723051709263018e-08
1832,6.050615297681361e-08
1833,6.271039154626123e-08
1834,6.697705146052613e-08
1835,6.973740340754375e-08
1836,6.69723476676154e-08
1837,9.535310141473019e-08
1838,5.043760609169112e-08
1839,6.935653118489427e-08
1840,5.4208985744708116e-08
1841,4.915377971315138e-08
1842,5.676029601886512e-08
1843,6.190490609014887e-08
1844,6.563900001310685e-08
1845,7.83302880336123e-08
1846,7.52795585867716e-08
1847,7.432932136453019e-08
1848,5.3257533494388554e-08
1849,7.806893620454503e-08
1850,1.0902923008870857e-07
1851,1.0182844789596857e-07
1852,8.727300837563234e-08
1853,8.373692139684863e-08
1854,9.100004660922423e-08
1855,1.0971860575637038e-07
1856,1.141816028393805e-07
1857,1.1595227533689467e-07
1858,1.4994499508702575e-07
1859,1.0610694545221122e-07
1860,8.22132619759941e-08
1861,8.54836130770309e-08
1862,9.553728119726657e-08
1863,1.0289891605452794e-07
1864,9.252518395896914e-08
1865,1.1427817270259766e-07
1866,9.456874039415197e-08
1867,1.0285574347790316e-07
1868,8.947031204797895e-08
1869,9.476126905383353e-08
1870,9.982077386894161e-08
1871,8.626251712939847e-08
1872,9.08891948370183e-08
1873,9.727056493602504e-08
1874,1.1134071797869183e-07
1875,8.513860905168258e-08
1876,9.52983825186493e-08
1877,1.0682303752673761e-07
1878,8.311834420737796e-08
1879,8.666861361916744e-08
1880,8.049369881746316e-08
1881,9.245509602351376e-08
1882,1.0362420255205507e-07
1883,9.530560873827199e-08
1884,8.993038136395626e-08
1885,8.666321349437567e-08
1886,1.0321000587509843e-07
1887,8.671199935861296e-08
1888,9.914352006035188e-08
1889,9.540143253161659e-08
1890,9.729919980827617e-08
1891,9.035151293801391e-08
1892,9.288050506484069e-08
1893,7.80877940087521e-08
1894,6.882638103888894e-08
1895,7.110008937161183e-08
1896,7.684149494480152e-08
1897,8.056869660322263e-08
1898,6.906047644861246e-08
1899,7.108739907835115e-08
1900,8.34839397612086e-08
1901,8.182112765098282e-08
1902,7.305597904405658e-08
1903,7.311366800877295e-08
1904,6.321723589053363e-08
1905,7.725846984385498e-08
1906,6.895274395901652e-08
1907,7.402110924203953e-08
1908,6.510410344162665e-08
1909,5.8755251330921965e-08
1910,6.635063698468002e-08
1911,7.810587021594984e-08
1912,6.289652532132095e-08
1913,6.074285607837737e-08
1914,6.643711003562203e-08
1915,5.7007795817298756e-08
1916,5.7649209850296756e-08
1917,5.5557276112949694e-08
1918,6.058308343881436e-08
1919,6.04783849667001e-08
1920,5.7385200591397734e-08
1921,6.21082492102687e-08
1922,5.916693623930769e-08
1923,6.025469900805547e-08
1924,4.6637158135354184e-08
1925,4.463159442025244e-08
1926,6.204655278452265e-08
1927,9.82966597007362e-08
1928,4.879397508261718e-08
1929,4.348486015715025e-08
1930,4.8068933722333895e-08
1931,4.789992047449232e-08
1932,5.150716830826241e-08
1933,4.555142751883068e-08
1934,5.23348546721536e-08
1935,5.246436174388691e-08
1936,4.5569802153977435e-08
1937,3.994788144723316e-08
1938,4.93113567756609e-08
1939,4.338236081480318e-08
1940,8.828846631558918e-08
1941,5.1465825379182206e-08
1942,5.855074647342917e-08
1943,6.536012620017573e-08
1944,5.501924960071847e-08
1945,6.085035408887052e-08
1946,5.7666539987621945e-08
1947,6.573563382517023e-08
1948,7.80432500846473e-08
1949,1.2313444130995777e-07
1950,8.205637413993827e-08
1951,1.7727569456837955e-07
1952,1.0547221762635672e-07
1953,8.456603950435237e-08
1954,9.105313836244022e-08
1955,9.013565716031735e-08
1956,1.2750642497394438e-07
1957,7.935872758935147e-08
1958,1.792793966615136e-07
1959,1.0436357200660495e-07
1960,1.426405162874289e-07
1961,1.2380260727695713e-07
1962,1.6807639724447654e-07
1963,1.5823557930616516e-07
1964,2.535429359795671e-07
1965,2.2737674498785054e-07
1966,2.1214060552665615e-07
1967,2.202731366196531e-07
1968,3.4191057807220204e-07
1969,2.466984199145372e-07
1970,4.627978285043355e-07
1971,2.9720783345510426e-07
1972,3.3486477946098603e-07
1973,3.282953286998236e-07
1974,6.234928946469154e-07
1975,9.462557386541448e-07
1976,6.724282570758078e-07
1977,9.017412025968952e-07
1978,7.609549470544152e-07
1979,3.271229331858194e-07
1980,4.739194423564186e-07
1981,8.111539955280023e-07
1982,3.457442687704315e-07
1983,5.122620336805994e-07
1984,4.945635510011925e-07
1985,4.218400704303349e-07
1986,7.217146844595845e-07
1987,7.810740498825908e-07
1988,4.3939047600360936e-07
1989,6.064329909349908e-07
1990,6.453540208894992e-07
1991,5.904382760490989e-07
1992,3.8191859630387626e-07
1993,4.712418046892708e-07
1994,4.5299705675461155e-07
1995,6.293887508945772e-07
1996,3.569286093352275e-07
1997,3.201555784926313e-07
1998,2.5354995614179643e-07
1999,2.9441866900015157e-07
2000,2.8251798767087166e-07
2001,2.1888570245209849e-07
2002,2.0511251364041527e-07
2003,2.512304888568906e-07
2004,2.708631825498742e-07
2005,3.436679776314122e-07
2006,3.2452936693516676e-07
2007,2.6519094831201073e-07
2008,2.1045471498837287e-07
2009,2.873073867704079e-07
2010,2.1794430438148993e-07
2011,1.7574321020674688e-07
2012,1.8301483351024217e-07
2013,1.7131317520124867e-07
2014,2.2971973123731004e-07
2015,2.9080862873342994e-07
2016,2.911919523285178e-07
2017,1.5554101082670968e-06
2018,5.001670160709182e-06
2019,2.334602982045908e-07
