,english
1800,2.4683856736373855e-06
1801,1.757959012138599e-06
1802,2.624161652420298e-06
1803,3.146758899674751e-06
1804,1.9762330794037553e-06
1805,6.533608143399761e-07
1806,9.901708608595072e-07
1807,4.1002422790370474e-07
1808,9.906697187034297e-07
1809,1.212599954669713e-06
1810,1.5143432392505929e-06
1811,2.2077067285408702e-07
1812,7.142911613300384e-07
1813,2.547691110521555e-06
1814,2.805575718412001e-07
1815,5.555934876610991e-06
1816,7.522521059399878e-07
1817,5.719184059671534e-07
1818,1.3763207107331255e-06
1819,5.311524091666797e-07
1820,1.4729037047800375e-06
1821,8.459397236038058e-07
1822,3.755933164484304e-07
1823,5.912091296522703e-07
1824,3.266563624038099e-07
1825,4.4105806296101946e-07
1826,2.0844674963882426e-06
1827,3.013676632690476e-07
1828,7.117130849110254e-07
1829,2.2479116523754783e-07
1830,2.84745766521155e-07
1831,2.0234395492479962e-07
1832,1.3773758666957292e-07
1833,1.8612976759868616e-07
1834,3.6869892028335016e-07
1835,2.551077784573863e-07
1836,1.6223474119669845e-07
1837,2.465226600634196e-07
1838,2.1523955240354553e-07
1839,2.3801899828868045e-07
1840,1.8702100135215005e-07
1841,2.6019446863756457e-07
1842,2.8221006687090266e-07
1843,4.640222357465973e-07
1844,2.7725130280487065e-07
1845,2.0731982885990874e-07
1846,3.011182343470864e-07
1847,7.432932136453019e-08
1848,1.7145188735412376e-07
1849,2.894485646720568e-07
1850,2.0278588408473297e-07
1851,1.1905506624998452e-07
1852,1.3203803916894685e-07
1853,1.5484684467992338e-07
1854,1.0302505160098008e-07
1855,1.1078039818812613e-07
1856,1.4694968797357433e-07
1857,1.7322138035069656e-07
1858,6.446164775297802e-07
1859,8.488555636176898e-08
1860,1.4421014782328712e-07
1861,5.048372031524195e-07
1862,7.421199654800148e-08
1863,4.1586534393900365e-07
1864,1.4313724250314408e-07
1865,1.3923995823006408e-07
1866,1.7944670105407567e-07
1867,9.922941757167791e-08
1868,1.634613369105864e-07
1869,1.241806160123815e-07
1870,2.549967064169323e-07
1871,2.0138377010425756e-07
1872,2.7100497845822247e-07
1873,1.389579580290956e-07
1874,2.3688305361702078e-07
1875,3.230680363230931e-07
1876,1.941465654908825e-07
1877,2.0029320069170353e-07
1878,7.581740391060521e-08
1879,2.390765985182952e-07
1880,1.220861918227456e-07
1881,4.221438700824365e-07
1882,1.1877679639837879e-07
1883,8.356506242535033e-08
1884,9.36866868528341e-08
1885,1.1842460168054458e-07
1886,1.816855785818916e-07
1887,8.244047222660811e-08
1888,6.52153033797731e-08
1889,5.697049232367135e-08
1890,3.8822963688289747e-07
1891,4.574281433633587e-07
1892,1.678077836686498e-07
1893,1.5759215443722496e-07
1894,8.477832835751542e-08
1895,7.959434356052952e-08
1896,1.690190032377359e-07
1897,1.45827797837228e-07
1898,9.558799973774512e-08
1899,1.2291066298075748e-07
1900,1.9947719920310192e-07
1901,1.1275658806653155e-07
1902,1.0952022222454616e-07
1903,1.0600216882039604e-07
1904,9.464591954611024e-08
1905,1.2233594759436528e-07
1906,1.124666084706405e-07
1907,1.0620420454188206e-07
1908,8.239404536425354e-08
1909,1.025230318418835e-07
1910,1.0080784562660483e-07
1911,9.376547183137518e-08
1912,9.492359254181792e-08
1913,7.510902122476182e-08
1914,1.0763007907144129e-07
1915,9.85780843620887e-08
1916,5.6548270066514306e-08
1917,6.885828440772457e-08
1918,7.542203661614622e-08
1919,7.291122017250018e-08
1920,9.414301160859395e-08
1921,6.965787946455748e-08
1922,7.527625456305032e-08
1923,9.354907604119944e-08
1924,1.5053765878292324e-07
1925,1.2206065491682239e-07
1926,1.4849923957171995e-07
1927,1.3795722964005108e-07
1928,1.547558099446178e-07
1929,1.2307339147810126e-07
1930,1.368850348626438e-07
1931,1.5615374593380693e-07
1932,1.667345514988483e-07
1933,1.3779784069356538e-07
1934,1.2119650705244567e-07
1935,1.381947782874704e-07
1936,1.0330236221989253e-07
1937,1.1528266696814171e-07
1938,1.1262278576396056e-07
1939,1.40406427817652e-07
1940,1.0274138162458257e-07
1941,1.5272254927367612e-07
1942,8.364392556359235e-08
1943,6.915173855759349e-08
1944,7.162154957995881e-08
1945,6.921946038573878e-08
1946,1.2644589730825828e-07
1947,1.374472304860319e-07
1948,9.748836760081758e-08
1949,1.386565600114409e-07
1950,1.5623162141764624e-07
1951,9.875250128743573e-08
1952,1.1106724429055248e-07
1953,1.1915046371768767e-07
1954,1.028691940518911e-07
1955,3.509910868615407e-07
1956,1.917538554607745e-07
1957,1.2559205231355008e-07
1958,1.0460501442821624e-07
1959,1.1492249285538492e-07
1960,1.4246211321733426e-07
1961,1.3005104904095788e-07
1962,1.232507571558017e-07
1963,1.5504863881687925e-07
1964,1.271654213041984e-07
1965,3.279966733771289e-07
1966,1.8052749339858565e-07
1967,1.893001808639383e-07
1968,2.539184151828522e-07
1969,2.4374392637582787e-07
1970,2.4238843820967304e-07
1971,2.46433273787261e-07
1972,2.0328157290805393e-07
1973,2.574552411260811e-07
1974,4.150980146278016e-07
1975,2.259424434214452e-07
1976,2.760087340902828e-07
1977,2.7809056746264105e-07
1978,2.817321558268304e-07
1979,2.323332211062734e-07
1980,3.1952339440977084e-07
1981,2.540675438922335e-07
1982,3.0631679237558274e-07
1983,2.7961016257904703e-07
1984,3.3369687457707187e-07
1985,3.09985779267663e-07
1986,2.6126403440684953e-07
1987,2.802193250772689e-07
1988,2.824110651999945e-07
1989,2.5596887098799925e-07
1990,2.7034087679567165e-07
1991,2.631717563872371e-07
1992,2.6522900498093804e-07
1993,2.580365787707706e-07
1994,2.4583516733400756e-07
1995,3.5575695278566855e-07
1996,2.983573210713075e-07
1997,2.841932769115374e-07
1998,3.1068924499777495e-07
1999,3.4148860095228883e-07
2000,3.535501491569448e-07
2001,4.00279333234721e-07
2002,3.5889945593226e-07
2003,4.390718117974757e-07
2004,4.2051055970659945e-07
2005,5.22247546541621e-07
