,save
1800,5.8304696722188964e-05
1801,5.2645606047008187e-05
1802,5.0288021157030016e-05
1803,4.8866975703276694e-05
1804,5.994031744194217e-05
1805,5.21047659276519e-05
1806,5.2837778639514e-05
1807,4.998238000553101e-05
1808,6.201955693541095e-05
1809,5.387925557442941e-05
1810,5.9612986660795286e-05
1811,5.9211022744420916e-05
1812,5.091730781714432e-05
1813,4.8729551053838804e-05
1814,5.472677366924472e-05
1815,5.3796487918589264e-05
1816,5.592872548731975e-05
1817,5.382615199778229e-05
1818,5.409697405411862e-05
1819,5.068046084488742e-05
1820,6.047061469871551e-05
1821,6.221103831194341e-05
1822,6.524171476485208e-05
1823,6.032190140103921e-05
1824,6.0269449022598565e-05
1825,6.393769581336528e-05
1826,6.27090412308462e-05
1827,6.394722004188225e-05
1828,6.223279342520982e-05
1829,6.0899328673258424e-05
1830,7.282537262653932e-05
1831,6.631707219639793e-05
1832,5.4116604587761685e-05
1833,6.560240581165999e-05
1834,6.407557521015406e-05
1835,6.526109791593626e-05
1836,6.513926928164437e-05
1837,6.501976895378903e-05
1838,6.422994920285419e-05
1839,6.503593613160774e-05
1840,6.411188223864883e-05
1841,6.45907421130687e-05
1842,6.781582487747073e-05
1843,6.761179975001141e-05
1844,6.763364217476919e-05
1845,6.533512350870296e-05
1846,6.666785338893533e-05
1847,6.792998465243727e-05
1848,6.70082590659149e-05
1849,6.674620090052485e-05
1850,6.893829413456842e-05
1851,6.283121911110356e-05
1852,6.615632446482778e-05
1853,6.335495709208772e-05
1854,6.331881013466045e-05
1855,6.287690484896302e-05
1856,6.419607234420255e-05
1857,6.449067586800084e-05
1858,6.251309969229624e-05
1859,6.457146810134873e-05
1860,6.578745524166152e-05
1861,6.474416295532137e-05
1862,6.694007606711239e-05
1863,6.401081191143021e-05
1864,6.835712702013552e-05
1865,6.539402966154739e-05
1866,6.718491204082966e-05
1867,6.353617209242657e-05
1868,6.31261063972488e-05
1869,6.311255128821358e-05
1870,6.318594387266785e-05
1871,6.362880230881274e-05
1872,5.882193363504484e-05
1873,5.8869391068583354e-05
1874,6.041881351848133e-05
1875,6.0145983297843486e-05
1876,5.866038554813713e-05
1877,5.8576581068336964e-05
1878,5.860685632796958e-05
1879,5.758821134804748e-05
1880,5.8985737268812954e-05
1881,5.875673741684295e-05
1882,5.908021194045432e-05
1883,5.901350959902629e-05
1884,5.759985651820898e-05
1885,5.9052585129393265e-05
1886,5.614061956293881e-05
1887,5.7907811424229294e-05
1888,5.796340337838046e-05
1889,5.665763819706626e-05
1890,5.6514782045269385e-05
1891,5.552931907004677e-05
1892,5.780959691037424e-05
1893,5.660426540998742e-05
1894,5.7978159020422027e-05
1895,5.527040775632486e-05
1896,5.717653039027937e-05
1897,5.48759417142719e-05
1898,5.7100714911939576e-05
1899,6.136918091215193e-05
1900,5.916501322644763e-05
1901,5.5678268836345524e-05
1902,5.542526196222752e-05
1903,5.358599082683213e-05
1904,5.437450090539642e-05
1905,5.27028096257709e-05
1906,5.231237082625739e-05
1907,5.207745925872587e-05
1908,5.1570132200140506e-05
1909,5.2776227676076815e-05
1910,5.308430627337657e-05
1911,4.947127672494389e-05
1912,5.102162322145887e-05
1913,5.087069439468905e-05
1914,4.9790553021011874e-05
1915,4.8763762606540695e-05
1916,4.982993414159864e-05
1917,5.210484596318565e-05
1918,5.667552977683954e-05
1919,5.216998033574782e-05
1920,5.11722537339665e-05
1921,4.840698966290802e-05
1922,4.9308830057270825e-05
1923,4.798840018338524e-05
1924,4.836647349293344e-05
1925,4.534874460659921e-05
1926,4.637421443476342e-05
1927,4.5610504457727075e-05
1928,4.3882369936909527e-05
1929,4.3672120227711275e-05
1930,4.262854781700298e-05
1931,4.1629024053690955e-05
1932,4.308070128899999e-05
1933,4.0934723074315116e-05
1934,4.12584122386761e-05
1935,4.0558428736403584e-05
1936,4.0242674003820866e-05
1937,3.915442721336149e-05
1938,3.992695565102622e-05
1939,3.827775071840733e-05
1940,3.894966721418314e-05
1941,3.894227120326832e-05
1942,4.438704127096571e-05
1943,4.3266780267003924e-05
1944,4.094706309842877e-05
1945,3.837321128230542e-05
1946,3.8545276765944436e-05
1947,3.89585220545996e-05
1948,3.879091309499927e-05
1949,3.622886288212612e-05
1950,3.856591501971707e-05
1951,3.9244481740752235e-05
1952,4.002527930424549e-05
1953,3.754447607207112e-05
1954,3.697556894621812e-05
1955,3.608368569985032e-05
1956,3.621380164986476e-05
1957,3.481033490970731e-05
1958,3.4750271879602224e-05
1959,3.274178379797377e-05
1960,3.283229671069421e-05
1961,3.2559419196331874e-05
1962,3.214346361346543e-05
1963,3.177044345648028e-05
1964,3.0713126761838794e-05
1965,3.28360874846112e-05
1966,3.2422642107121646e-05
1967,3.222497252863832e-05
1968,3.3235915907425806e-05
1969,3.251451926189475e-05
1970,3.1898503948468715e-05
1971,2.9795921363984235e-05
1972,2.8847069188486785e-05
1973,2.8742661015712656e-05
1974,2.9328788514249027e-05
1975,2.909861177613493e-05
1976,2.84726975223748e-05
1977,2.8122849471401423e-05
1978,2.770188257272821e-05
1979,2.9035070838290267e-05
1980,2.900431900343392e-05
1981,2.9519414965761825e-05
1982,2.8798443963751197e-05
1983,2.886814581870567e-05
1984,2.8665137506322935e-05
1985,2.8766577088390477e-05
1986,2.8735987143591046e-05
1987,2.793368730635848e-05
1988,2.8367245249683037e-05
1989,2.80043877864955e-05
1990,2.9163624276407063e-05
1991,2.9691393137909472e-05
1992,3.0335801056935452e-05
1993,3.078986264881678e-05
1994,3.069932063226588e-05
1995,3.102874688920565e-05
1996,3.208484122296795e-05
1997,3.290692256996408e-05
1998,3.28948772221338e-05
1999,3.42457351507619e-05
2000,3.465154077275656e-05
2001,3.5490989830577746e-05
2002,3.5694436519406736e-05
2003,3.7451227399287745e-05
2004,3.999099135398865e-05
2005,3.853688758681528e-05
2006,4.0510494727641344e-05
2007,4.255228486726992e-05
2008,4.551233723759651e-05
2009,4.917059777653776e-05
2010,5.1974438974866644e-05
2011,5.128360862727277e-05
2012,4.623378117685206e-05
2013,4.7340781748062e-05
2014,5.138660344528034e-05
2015,5.259315366856754e-05
2016,4.925822577206418e-05
2017,5.445310307550244e-05
2018,5.545462772715837e-05
2019,5.661484465235844e-05
