,y
1800,5.708240860258229e-05
1801,5.525014057639055e-05
1802,5.3391595429275185e-05
1803,5.310876076691784e-05
1804,5.254569623502903e-05
1805,4.9722279072739184e-05
1806,5.173212775844149e-05
1807,5.438800508272834e-05
1808,4.9035421398002654e-05
1809,5.499593316926621e-05
1810,6.220230716280639e-05
1811,7.462213397957385e-05
1812,6.29120841040276e-05
1813,5.24946408404503e-05
1814,4.778502625413239e-05
1815,5.195341873331927e-05
1816,5.93722470512148e-05
1817,4.453942528925836e-05
1818,4.687737600761466e-05
1819,5.66748931305483e-05
1820,4.035012534586713e-05
1821,4.561808236758225e-05
1822,4.0709262975724414e-05
1823,5.399709698394872e-05
1824,4.607294613379054e-05
1825,4.4188778701936826e-05
1826,4.673336661653593e-05
1827,4.913325756206177e-05
1828,4.055612225783989e-05
1829,3.6952016671421006e-05
1830,4.107439235667698e-05
1831,3.571138950064778e-05
1832,3.890103107551113e-05
1833,3.852819645544514e-05
1834,3.956653017667122e-05
1835,3.7760124541819096e-05
1836,4.0500373870600015e-05
1837,4.235596497892402e-05
1838,5.120766218169592e-05
1839,3.5865734389517456e-05
1840,3.508568261167966e-05
1841,3.7487239751499146e-05
1842,4.229119440424256e-05
1843,4.2624968045856804e-05
1844,3.981544068665244e-05
1845,5.300278280628845e-05
1846,3.9643869968131185e-05
1847,5.5019590945448726e-05
1848,4.0364539017900825e-05
1849,4.736182381748222e-05
1850,5.140664507052861e-05
1851,4.291150617063977e-05
1852,6.805714656366035e-05
1853,4.561203240882605e-05
1854,4.878577601630241e-05
1855,4.8235131544061005e-05
1856,5.9306192270014435e-05
1857,4.722898665932007e-05
1858,4.761268064612523e-05
1859,4.6210097934817895e-05
1860,5.223170228418894e-05
1861,4.7504694521194324e-05
1862,4.816017462871969e-05
1863,4.4738400902133435e-05
1864,4.2718558688648045e-05
1865,4.642034036805853e-05
1866,4.769505903823301e-05
1867,4.656299279304221e-05
1868,4.9047379434341565e-05
1869,4.956045086146332e-05
1870,4.852469282923266e-05
1871,5.077223613625392e-05
1872,4.5927030441816896e-05
1873,5.063066055299714e-05
1874,4.9160051275976e-05
1875,5.245656211627647e-05
1876,4.3044830817962065e-05
1877,4.935391552862711e-05
1878,5.401372618507594e-05
1879,5.21576039318461e-05
1880,4.93482657475397e-05
1881,5.46224218851421e-05
1882,5.213372423895635e-05
1883,5.537739343708381e-05
1884,5.1435759814921767e-05
1885,5.5114174756454304e-05
1886,6.240382936084643e-05
1887,4.9168691475642845e-05
1888,4.8902336857281625e-05
1889,5.2271876484155655e-05
1890,5.091998173156753e-05
1891,4.701321813627146e-05
1892,5.067648453405127e-05
1893,4.451942731975578e-05
1894,4.775547131430358e-05
1895,4.256111060385592e-05
1896,4.434884249349125e-05
1897,4.34449284512084e-05
1898,4.5901211706222966e-05
1899,4.318695209803991e-05
1900,4.164483107160777e-05
1901,4.329764487920329e-05
1902,4.378564699436538e-05
1903,4.250952406437136e-05
1904,4.2423445847816765e-05
1905,4.041425563627854e-05
1906,3.875813490594737e-05
1907,4.057111436850391e-05
1908,3.9843602280598134e-05
1909,3.9436396036762744e-05
1910,4.077590347151272e-05
1911,4.304574758862145e-05
1912,3.737404040293768e-05
1913,3.886887134285644e-05
1914,3.795956217800267e-05
1915,3.442171146161854e-05
1916,3.773421121877618e-05
1917,4.0669256122782826e-05
1918,3.8052647141739726e-05
1919,4.088475543539971e-05
1920,3.846489926218055e-05
1921,3.914682019967586e-05
1922,3.845303945126943e-05
1923,3.651223596534692e-05
1924,3.957467924919911e-05
1925,4.0635208279127255e-05
1926,3.804880179814063e-05
1927,3.880341682815924e-05
1928,4.043346052640118e-05
1929,3.9624817873118445e-05
1930,4.0308506868314e-05
1931,3.8507227145601064e-05
1932,3.8827733078505844e-05
1933,3.944715717807412e-05
1934,4.022787470603362e-05
1935,4.2303323425585404e-05
1936,3.813381408690475e-05
1937,4.15860595239792e-05
1938,4.0463935874868184e-05
1939,3.9514001400675625e-05
1940,4.3236057535978034e-05
1941,4.131624518777244e-05
1942,4.2829000449273735e-05
1943,4.353291296865791e-05
1944,4.2699568439275026e-05
