,as
1800,0.00587712274864316
1801,0.0059979818761348724
1802,0.005728506948798895
1803,0.00558279687538743
1804,0.005730539560317993
1805,0.005770634859800339
1806,0.005792983807623386
1807,0.005785747431218624
1808,0.005873364396393299
1809,0.0061192880384624004
1810,0.005753504112362862
1811,0.005994757171720266
1812,0.005913058295845985
1813,0.005806423258036375
1814,0.005887853447347879
1815,0.005873590707778931
1816,0.0058997273445129395
1817,0.005909949075430632
1818,0.005844547413289547
1819,0.005773946177214384
1820,0.0057905493304133415
1821,0.005832369904965162
1822,0.005934411194175482
1823,0.005977295339107513
1824,0.006115388590842485
1825,0.0059227654710412025
1826,0.005958168301731348
1827,0.005980586167424917
1828,0.005955344531685114
1829,0.006060285959392786
1830,0.006205003242939711
1831,0.006029861979186535
1832,0.006208095699548721
1833,0.006103270687162876
1834,0.006118228193372488
1835,0.006094676908105612
1836,0.006178854964673519
1837,0.006119744852185249
1838,0.0061775376088917255
1839,0.006188038270920515
1840,0.006119904574006796
1841,0.006183719728142023
1842,0.0061382269486784935
1843,0.0062106093391776085
1844,0.006188566330820322
1845,0.0061494046822190285
1846,0.00618722103536129
1847,0.0062102945521473885
1848,0.006194967310875654
1849,0.006255303975194693
1850,0.006184778176248074
1851,0.0062186154536902905
1852,0.0062357764691114426
1853,0.006218415219336748
1854,0.006152822636067867
1855,0.006193819455802441
1856,0.006173516623675823
1857,0.006155091803520918
1858,0.006162626668810844
1859,0.0061547402292490005
1860,0.006176016293466091
1861,0.006191347260028124
1862,0.006218425463885069
1863,0.006249559111893177
1864,0.0062078614719212055
1865,0.006212197709828615
1866,0.006182454060763121
1867,0.006223595235496759
1868,0.006237512920051813
1869,0.006241446360945702
1870,0.006286781281232834
1871,0.006271819584071636
1872,0.006291679572314024
1873,0.006267233286052942
1874,0.006247412879019976
1875,0.006188623607158661
1876,0.006192285567522049
1877,0.006190632935613394
1878,0.006190203595906496
1879,0.006138169206678867
1880,0.006151116453111172
1881,0.006085118744522333
1882,0.006173460744321346
1883,0.006146448198705912
1884,0.00621628575026989
1885,0.006145352963358164
1886,0.006122149992734194
1887,0.006089425645768642
1888,0.0061092255637049675
1889,0.006106720771640539
1890,0.0061685689724981785
1891,0.006060699000954628
1892,0.006107666529715061
1893,0.006074047181755304
1894,0.006126993335783482
1895,0.0060921297408640385
1896,0.006012667436152697
1897,0.005983844865113497
1898,0.005979431793093681
1899,0.005945345386862755
1900,0.005912747699767351
1901,0.005872415844351053
1902,0.005877783056348562
1903,0.005827213171869516
1904,0.005838409531861544
1905,0.005798947997391224
1906,0.005829193629324436
1907,0.005773270968347788
1908,0.005763907916843891
1909,0.005762569140642881
1910,0.0057519907131791115
1911,0.00574009632691741
1912,0.005728051997721195
1913,0.0056702494621276855
1914,0.005684832111001015
1915,0.005636746529489756
1916,0.005625427700579166
1917,0.00561453215777874
1918,0.005666644778102636
1919,0.005673994310200214
1920,0.005666948854923248
1921,0.0056289383210241795
1922,0.005648971069604158
1923,0.005552022252231836
1924,0.00557476282119751
1925,0.00553202535957098
1926,0.005569382105022669
1927,0.0055321985855698586
1928,0.005519997328519821
1929,0.0054894196800887585
1930,0.0054817162454128265
1931,0.0054018376395106316
1932,0.005431216675788164
1933,0.005460603628307581
1934,0.0054277037270367146
1935,0.005398765671998262
1936,0.0053850081749260426
1937,0.0053621078841388226
1938,0.005328331608325243
1939,0.005358273629099131
1940,0.005271475296467543
1941,0.005254973191767931
1942,0.005311248824000359
1943,0.005318439565598965
1944,0.005285806022584438
1945,0.005323485471308231
1946,0.005273816175758839
1947,0.005320028401911259
1948,0.0052553461864590645
1949,0.005228759720921516
1950,0.005190705414861441
1951,0.005164581350982189
1952,0.005195543635636568
1953,0.005144359543919563
1954,0.005147827789187431
1955,0.005123925395309925
1956,0.005062977317720652
1957,0.005086741875857115
1958,0.005041308235377073
1959,0.0050654420629143715
1960,0.005014139227569103
1961,0.005048410501331091
1962,0.005012230947613716
1963,0.005030208267271519
1964,0.004973847419023514
1965,0.004996807314455509
1966,0.004970868583768606
1967,0.004983563907444477
1968,0.00499851955100894
1969,0.0049881404265761375
1970,0.004950233735144138
1971,0.004920254927128553
1972,0.00488981744274497
1973,0.0048024291172623634
1974,0.004793253261595964
1975,0.004782129544764757
1976,0.004725281614810228
1977,0.0046927789226174355
1978,0.004639034625142813
1979,0.004629065282642841
1980,0.004632874391973019
1981,0.004592579323798418
1982,0.004609790164977312
1983,0.00463096471503377
1984,0.004537438508123159
1985,0.004519766196608543
1986,0.004546605981886387
1987,0.00457183551043272
1988,0.004583325237035751
1989,0.004502652212977409
1990,0.004555188585072756
1991,0.004563461523503065
1992,0.0046090311370790005
1993,0.004581724759191275
1994,0.004590900614857674
1995,0.004627186805009842
1996,0.0046991812996566296
1997,0.004766370169818401
1998,0.004817955195903778
1999,0.004855091217905283
2000,0.004904922563582659
2001,0.004914153832942247
2002,0.00498664565384388
2003,0.005029093008488417
2004,0.005107910372316837
2005,0.0051033892668783665
2006,0.005177509970963001
2007,0.005196465644985437
2008,0.005295660346746445
2009,0.005301477387547493
2010,0.005279288161545992
2011,0.005195494741201401
2012,0.005122848320752382
2013,0.005324350669980049
2014,0.00530927162617445
2015,0.005348082631826401
2016,0.005429636221379042
2017,0.005334070883691311
2018,0.005255552940070629
2019,0.005339666735380888
