,search
1800,3.352162821101956e-05
1801,3.3830583561211824e-05
1802,3.140583066851832e-05
1803,2.8617640055017546e-05
1804,2.857086838048417e-05
1805,2.8848160582128912e-05
1806,3.224812098778784e-05
1807,3.0384504498215392e-05
1808,3.332103733555414e-05
1809,3.0226316084736027e-05
1810,3.238702629460022e-05
1811,3.06574693240691e-05
1812,3.38249810738489e-05
1813,3.043346805498004e-05
1814,2.8078728064429015e-05
1815,3.04264704027446e-05
1816,3.195306271663867e-05
1817,3.1607632990926504e-05
1818,3.1420131563209e-05
1819,3.247883796575479e-05
1820,3.685257979668677e-05
1821,3.139877662761137e-05
1822,3.298066803836264e-05
1823,3.278166695963591e-05
1824,3.481454768916592e-05
1825,3.336931695230305e-05
1826,3.3065356547012925e-05
1827,3.164172812830657e-05
1828,3.04884397337446e-05
1829,3.042809657927137e-05
1830,3.0008104658918455e-05
1831,3.0279768907348625e-05
1832,3.8456826587207615e-05
1833,3.063002077396959e-05
1834,3.126267620245926e-05
1835,3.112970443908125e-05
1836,3.065139753744006e-05
1837,3.0372870241990313e-05
1838,2.9132410418242216e-05
1839,3.340672992635518e-05
1840,3.219742939108983e-05
1841,3.2069103326648474e-05
1842,3.478822691249661e-05
1843,3.57482313120272e-05
1844,3.1765357562107965e-05
1845,3.148835094179958e-05
1846,3.097799708484672e-05
1847,3.0495590181089938e-05
1848,3.0498815249302424e-05
1849,3.000769174832385e-05
1850,3.204356471542269e-05
1851,3.048001235583797e-05
1852,3.273339825682342e-05
1853,3.176819154759869e-05
1854,3.0406041332753375e-05
1855,2.982576552312821e-05
1856,3.221914084861055e-05
1857,3.1223331461660564e-05
1858,3.174828088958748e-05
1859,3.062420364585705e-05
1860,3.1082003260962665e-05
1861,2.9270477170939557e-05
1862,3.163009023410268e-05
1863,2.9978597012814134e-05
1864,2.8434886189643294e-05
1865,2.959999801532831e-05
1866,2.8568449124577455e-05
1867,2.6689416699809954e-05
1868,2.7618154490482993e-05
1869,2.7851141567225568e-05
1870,2.7270732971373945e-05
1871,2.730600863287691e-05
1872,2.7296408006804995e-05
1873,2.7762911486206576e-05
1874,2.7369365852791816e-05
1875,2.7326052077114582e-05
1876,2.6036392227979377e-05
1877,2.6257048375555314e-05
1878,2.651699833222665e-05
1879,2.626488458190579e-05
1880,2.732871325861197e-05
1881,2.7031432182411663e-05
1882,2.8660890166065656e-05
1883,2.839324406522792e-05
1884,2.735651287366636e-05
1885,2.6831567083718255e-05
1886,2.6634927053237334e-05
1887,2.7025096642319113e-05
1888,2.711067281779833e-05
1889,2.6925607016892172e-05
1890,2.677295015018899e-05
1891,2.5976436518249102e-05
1892,2.739810042839963e-05
1893,2.6919571610051207e-05
1894,2.775405846477952e-05
1895,2.742780270637013e-05
1896,2.716040216910187e-05
1897,2.657437107700389e-05
1898,2.6720328605733812e-05
1899,2.733554720180109e-05
1900,2.6404331947560422e-05
1901,2.4767685317783616e-05
1902,2.470656363584567e-05
1903,2.421074350422714e-05
1904,2.4658680558786727e-05
1905,2.3998336473596282e-05
1906,2.377162491029594e-05
1907,2.305652196810115e-05
1908,2.2320460629998706e-05
1909,2.2825601263321005e-05
1910,2.2977625121711753e-05
1911,2.2584988982998766e-05
1912,2.2279647964751348e-05
1913,2.1004685549996793e-05
1914,2.121760553563945e-05
1915,2.146913539036177e-05
