,box
1800,2.8112610380048864e-05
1801,2.427522667858284e-05
1802,2.1359161110012792e-05
1803,2.0851601220783778e-05
1804,1.800712379917968e-05
1805,1.896569665404968e-05
1806,2.4486458642059006e-05
1807,2.0913370462949388e-05
1808,2.1634770746459253e-05
1809,2.130556276824791e-05
1810,1.9610306480899453e-05
1811,1.6979571228148416e-05
1812,1.4859536349831615e-05
1813,1.9629425878520124e-05
1814,1.7507776647107676e-05
1815,2.0208563000778668e-05
1816,1.755164521455299e-05
1817,2.0223385945428163e-05
1818,1.893184526124969e-05
1819,2.4512883101124316e-05
1820,2.5654671844677068e-05
1821,2.428912375762593e-05
1822,2.3804408556316048e-05
1823,2.7821908588521183e-05
1824,2.4090681108646095e-05
1825,2.54529804806225e-05
1826,2.3951712137204595e-05
1827,2.536182728363201e-05
1828,2.294764999533072e-05
1829,2.4271639631479047e-05
1830,2.2981690563028678e-05
1831,2.324175147805363e-05
1832,2.60791366599733e-05
1833,2.3178159608505666e-05
1834,2.5356341211590916e-05
1835,2.4577964722993784e-05
1836,2.5131374059128575e-05
1837,2.504414260329213e-05
1838,2.6714336854638532e-05
1839,2.7249234335613437e-05
1840,2.7260073693469167e-05
1841,2.7774023692472838e-05
1842,3.071952232858166e-05
1843,2.804080577334389e-05
1844,2.6481906388653442e-05
1845,2.614784170873463e-05
1846,2.817567110469099e-05
1847,2.8019816454616375e-05
1848,2.6901128876488656e-05
1849,2.985474930028431e-05
1850,2.9810373234795406e-05
1851,3.1409101211465895e-05
1852,3.217665653210133e-05
1853,3.053573163924739e-05
1854,3.194426608388312e-05
1855,3.379651752766222e-05
1856,3.7442445318447426e-05
1857,3.919540176866576e-05
1858,3.6774377804249525e-05
1859,3.7005233025411144e-05
1860,3.6068708141101524e-05
1861,3.8530932215508074e-05
1862,3.692302561830729e-05
1863,4.098194767720997e-05
1864,4.0946346416603774e-05
1865,3.89860178984236e-05
1866,4.3120671762153506e-05
1867,4.46275262220297e-05
1868,4.585368878906593e-05
1869,4.229820842738263e-05
1870,4.145919956499711e-05
1871,4.064188033225946e-05
1872,4.983498729416169e-05
1873,4.426461237017065e-05
1874,4.710393841378391e-05
1875,4.415712464833632e-05
1876,4.7009136324049905e-05
1877,5.2667375712189823e-05
1878,4.5226766815176234e-05
1879,4.8489077016711235e-05
1880,4.556677595246583e-05
1881,4.2789946746779606e-05
1882,5.1231414545327425e-05
1883,4.855705628870055e-05
1884,4.9821650463854894e-05
1885,4.8500773118576035e-05
1886,4.4987642468186095e-05
1887,4.75089909741655e-05
1888,4.7705299948574975e-05
1889,5.1009254093514755e-05
1890,4.9498405132908374e-05
1891,5.0541842938400805e-05
1892,5.035570575273596e-05
1893,5.284489816403948e-05
1894,5.0218521209899336e-05
1895,5.192366734263487e-05
1896,5.08966768393293e-05
1897,5.226186476647854e-05
1898,5.3976691560819745e-05
1899,5.361550211091526e-05
1900,5.4336211178451777e-05
1901,5.251199399936013e-05
1902,5.330804197001271e-05
1903,5.458188024931587e-05
1904,5.842820246471092e-05
1905,5.9072837757412344e-05
1906,5.313176734489389e-05
1907,5.609701474895701e-05
1908,5.779387356596999e-05
1909,5.918999886489473e-05
1910,5.72015305806417e-05
1911,5.6555374612798914e-05
1912,5.770235293311998e-05
1913,5.643059193971567e-05
1914,5.5602675274712965e-05
1915,5.734853039029986e-05
1916,5.627804057439789e-05
1917,5.445656643132679e-05
1918,5.1135582907591015e-05
1919,5.136047548148781e-05
1920,5.0649821787374094e-05
1921,5.066603989689611e-05
1922,5.0292790547246113e-05
1923,5.0002305215457454e-05
1924,5.18302149430383e-05
1925,4.9898291763383895e-05
1926,4.538731081993319e-05
1927,4.622643973561935e-05
1928,4.634268407244235e-05
1929,4.771252133650705e-05
1930,4.5874632633058354e-05
1931,4.358813021099195e-05
1932,4.444272053660825e-05
1933,4.143750629737042e-05
1934,4.0482387703377753e-05
1935,4.053923112223856e-05
1936,4.1158611566061154e-05
1937,4.2582396417856216e-05
