,out
1895,0.0010083068627864122
1896,0.001019223709590733
1897,0.0010048551484942436
1898,0.0010107597336173058
1899,0.0010713564697653055
1900,0.001043406780809164
1901,0.0010209614410996437
1902,0.001014449866488576
1903,0.001005861209705472
1904,0.0010159994708374143
1905,0.0009925483027473092
1906,0.0009956054855138063
1907,0.0009964589262381196
1908,0.0010051513090729713
1909,0.0010132929310202599
1910,0.0009927385253831744
1911,0.0009942613542079926
1912,0.0010019324254244566
1913,0.000996863003820181
1914,0.0009920463198795915
1915,0.0009787539020180702
1916,0.0009957656729966402
1917,0.0009936376009136438
1918,0.0009964946657419205
1919,0.0010297589469701052
1920,0.0010238991817459464
1921,0.0010142941027879715
1922,0.0010105639230459929
1923,0.001003117416985333
1924,0.0010164871346205473
1925,0.0009852303192019463
1926,0.0009782639099285007
1927,0.0009700054652057588
1928,0.0009733650949783623
1929,0.0009733654442243278
1930,0.0009687796700745821
1931,0.0009490850497968495
1932,0.0009557841694913805
1933,0.000944270461332053
1934,0.0009629664709791541
1935,0.0009716469794511795
1936,0.0009634154848754406
1937,0.0009460197761654854
1938,0.0009403997682966292
1939,0.0009323988924734294
1940,0.000923202489502728
1941,0.0009237604099325836
1942,0.0009635806200094521
1943,0.0009821928106248379
1944,0.0009874466340988874
1945,0.0009817767422646284
1946,0.0010010336991399527
1947,0.0009889921639114618
1948,0.0009642746881581843
1949,0.000924428750295192
1950,0.0009310680325143039
1951,0.0009556668228469789
1952,0.0009503061301074922
1953,0.0009410085622221231
1954,0.0009188270778395236
1955,0.0009361470583826303
1956,0.0009296900825574994
1957,0.000919752346817404
1958,0.0009161473717540503
1959,0.00089782674331218
1960,0.0008871084428392351
1961,0.0008833524771034718
1962,0.0008777089533396065
1963,0.0008649347582831979
1964,0.000862905930262059
1965,0.0008622757741250098
1966,0.0008709421381354332
1967,0.0008735269657336175
1968,0.0008798278868198395
1969,0.0008726664818823338
1970,0.0008650475647300482
1971,0.000850444077514112
1972,0.0008365226676687598
1973,0.0008236101712100208
1974,0.0008235215791501105
1975,0.0008139347773976624
1976,0.0008055178914219141
1977,0.0007854521390981972
1978,0.0007695298409089446
1979,0.0007716668187640607
1980,0.0007696283282712102
1981,0.0007622877601534128
1982,0.0007744041504338384
1983,0.0007699942798353732
1984,0.0007759477011859417
1985,0.0007642512209713459
1986,0.0007822542684152722
1987,0.0007814342970959842
1988,0.0008004734991118312
1989,0.0007885695085860789
1990,0.0007945392862893641
1991,0.000798116612713784
1992,0.0007975143962539732
1993,0.0007895889575593174
1994,0.0008083577267825603
1995,0.0008176661212928593
1996,0.0008192718960344791
1997,0.0008289377437904477
1998,0.0008440683595836163
1999,0.0008639097795821726
2000,0.0009375344961881638
2001,0.0009514549747109413
2002,0.0009677049238234758
2003,0.0009925817139446735
2004,0.0010195113718509674
2005,0.0010447027161717415
2006,0.001063344068825245
2007,0.0011084538418799639
2008,0.0011725081130862236
2009,0.0012769907480105758
2010,0.0013455584412440658
2011,0.0014492172049358487
2012,0.0013649900211021304
2013,0.0013641476398333907
2014,0.0015662915538996458
2015,0.0015168895479291677
2016,0.0014210928929969668
2017,0.0015395276714116335
2018,0.001463941065594554
2019,0.0014946419978514314
