,Algeria
0,-0.171875
1,0.10205078
2,0.24316406
3,0.10449219
4,0.036865234
5,-0.017822266
6,-0.18652344
7,-0.58984375
8,-0.31445312
9,-0.17578125
10,0.037841797
11,-0.18945312
12,0.060546875
13,0.023803711
14,-0.1328125
15,-0.015625
16,-0.22167969
17,-0.064453125
18,0.012268066
19,0.09375
20,0.14453125
21,-0.33398438
22,-0.0703125
23,0.033935547
24,0.13671875
25,0.12890625
26,0.020629883
27,-0.3046875
28,0.00680542
29,0.09472656
30,-0.15820312
31,-0.22460938
32,-0.47070312
33,-0.15625
34,-0.28515625
35,0.16308594
36,-0.14746094
37,0.328125
38,0.13378906
39,0.14257812
40,0.015563965
41,0.18164062
42,0.30078125
43,0.18164062
44,-0.015625
45,0.24804688
46,-0.31054688
47,-0.12597656
48,-0.265625
49,0.053710938
50,-0.17675781
51,-0.12402344
52,0.014282227
53,0.052490234
54,-0.068359375
55,0.171875
56,-0.39257812
57,0.23535156
58,-0.33398438
59,-0.07373047
60,0.040527344
61,-0.009643555
62,0.16113281
63,-0.061767578
64,-0.27929688
65,-0.16601562
66,0.12597656
67,-0.29882812
68,0.08886719
69,0.023803711
70,-0.23828125
71,-0.08691406
72,-0.107910156
73,0.09423828
74,-0.023803711
75,-0.23632812
76,0.12597656
77,0.29101562
78,-0.06933594
79,0.16113281
80,-0.15722656
81,-0.16015625
82,-0.15039062
83,0.06689453
84,0.057128906
85,-0.21972656
86,-0.08544922
87,0.16796875
88,-0.072753906
89,0.16308594
90,0.22949219
91,-0.2734375
92,-0.34960938
93,0.29101562
94,-0.0035247803
95,-0.39453125
96,-0.20507812
97,-0.375
98,0.06347656
99,0.19238281
100,-0.16308594
101,-0.15332031
102,-0.092285156
103,0.22558594
104,0.022216797
105,0.10058594
106,0.15332031
107,-0.26953125
108,-0.072265625
109,-0.021240234
110,0.10546875
111,0.08154297
112,0.022583008
113,-0.26953125
114,0.011413574
115,-0.013000488
116,0.12890625
117,0.35351562
118,0.43359375
119,0.020507812
120,-0.15917969
121,-0.12597656
122,-0.049316406
123,-0.08984375
124,0.0046081543
125,0.016357422
126,-0.15039062
127,-0.05029297
128,-0.546875
129,0.10058594
130,0.10498047
131,0.21679688
132,-0.11621094
133,-0.12988281
134,0.140625
135,-0.16113281
136,-0.15234375
137,0.051513672
138,-0.12011719
139,0.16503906
140,0.31835938
141,0.045410156
142,0.2109375
143,0.21777344
144,0.10839844
145,0.04296875
146,-0.16894531
147,0.075683594
148,0.15820312
149,-0.08154297
150,0.017578125
151,-0.111816406
152,-0.18457031
153,0.020141602
154,0.34375
155,-0.34765625
156,-0.20019531
157,0.14941406
158,0.10253906
159,0.024169922
160,-0.27539062
161,0.12792969
162,-0.07128906
163,0.036865234
164,0.104003906
165,-0.025634766
166,-0.3125
167,0.16699219
168,0.0859375
169,0.31640625
170,-0.28515625
171,0.41015625
172,-0.31835938
173,-0.2578125
174,-0.18652344
175,-0.421875
176,0.18457031
177,-0.40429688
178,-0.001953125
179,-0.21582031
180,-0.171875
181,-0.33984375
182,-0.14257812
183,0.084472656
184,-0.03540039
185,0.20019531
186,-0.014282227
187,-0.034179688
188,-0.13574219
189,0.14160156
190,-0.12988281
191,-0.0012512207
192,-0.28515625
193,-0.09326172
194,-0.09765625
195,0.49609375
196,-0.18554688
197,0.14550781
198,-0.43359375
199,-0.064941406
200,0.23144531
201,-0.047607422
202,-0.12109375
203,-0.12451172
204,0.17773438
205,-0.23828125
206,-0.115722656
207,-0.20800781
208,-0.083984375
209,-0.00037574768
210,-0.19140625
211,-0.023925781
212,-0.1875
213,0.21679688
214,-0.16796875
215,-0.021362305
216,-0.06933594
217,-0.19335938
218,-0.10888672
219,-0.31640625
220,-0.16992188
221,-0.00027275085
222,-0.11767578
223,-0.115722656
224,-0.14550781
225,0.15917969
226,0.15917969
227,0.31054688
228,0.27929688
229,-0.23925781
230,-0.22949219
231,0.018554688
232,0.17871094
233,0.16503906
234,-0.111816406
235,0.14941406
236,0.09375
237,0.30078125
238,0.009216309
239,-0.1484375
240,0.23339844
241,-0.079589844
242,0.006866455
243,0.30078125
244,0.0234375
245,-0.08544922
246,-0.31640625
247,-0.20410156
248,-0.421875
249,-0.0066833496
250,0.16796875
251,0.26367188
252,0.0057373047
253,0.07519531
254,0.296875
255,0.16210938
256,-0.05053711
257,-0.18652344
258,0.08105469
259,-0.08691406
260,-0.068847656
261,0.25976562
262,0.029663086
263,0.34179688
264,0.24121094
265,0.09765625
266,-0.33789062
267,-0.27539062
268,0.068847656
269,0.23828125
270,-0.008422852
271,0.27929688
272,0.10546875
273,-0.16699219
274,0.15039062
275,0.022216797
276,-0.087402344
277,0.016357422
278,-0.076171875
279,-0.040527344
280,-0.17382812
281,-0.3203125
282,-0.10986328
283,-0.17089844
284,-0.17285156
285,-0.125
286,-0.033691406
287,-0.024658203
288,-0.057861328
289,-0.00065612793
290,0.19042969
291,0.12109375
292,-0.09667969
293,0.05126953
294,-0.06933594
295,0.21875
296,-0.033203125
297,-0.017456055
298,0.028686523
299,0.27148438
