,Djibouti
0,-0.03173828
1,0.33398438
2,-0.12597656
3,0.29882812
4,-0.14648438
5,-0.05126953
6,-0.07763672
7,-0.08496094
8,-0.29492188
9,0.2421875
10,0.04711914
11,-0.125
12,-0.099609375
13,0.023071289
14,0.15722656
15,0.24707031
16,-0.31640625
17,0.05908203
18,-0.12988281
19,0.26171875
20,0.03515625
21,-0.056152344
22,-0.024902344
23,-0.14453125
24,0.47070312
25,-0.0002822876
26,0.16015625
27,0.060302734
28,-0.005218506
29,-0.115722656
30,-0.13964844
31,-0.36328125
32,-0.25195312
33,-0.14648438
34,-0.09277344
35,-0.203125
36,-0.35351562
37,0.027832031
38,-0.05883789
39,-0.171875
40,-0.23828125
41,0.24609375
42,-0.048339844
43,0.41015625
44,-0.1796875
45,0.30273438
46,-0.23339844
47,-0.20605469
48,0.030273438
49,0.02734375
50,0.09716797
51,-0.2578125
52,-0.12695312
53,-0.36132812
54,-0.25976562
55,-0.020507812
56,-0.46679688
57,0.13378906
58,-0.19140625
59,-0.27929688
60,-0.095214844
61,-0.02746582
62,0.002243042
63,0.02319336
64,0.17382812
65,-0.118652344
66,-0.12402344
67,-0.28125
68,-0.27929688
69,-0.15234375
70,-0.047607422
71,-0.1484375
72,-0.11230469
73,0.110839844
74,-0.14746094
75,-0.49414062
76,-0.060302734
77,-0.18457031
78,-0.068359375
79,0.25390625
80,-0.19335938
81,-0.37109375
82,-0.19042969
83,0.020263672
84,-0.12207031
85,-0.22851562
86,-0.0625
87,0.11816406
88,0.15820312
89,0.13769531
90,-0.11328125
91,0.0056152344
92,-0.34570312
93,-0.06982422
94,0.15527344
95,-0.21484375
96,0.13085938
97,0.0107421875
98,-0.018310547
99,-0.15722656
100,0.19628906
101,-0.06982422
102,-0.067871094
103,-0.021728516
104,-0.26367188
105,0.06982422
106,-0.18554688
107,-0.296875
108,0.234375
109,0.029541016
110,-0.019165039
111,-0.119140625
112,0.052246094
113,-0.23730469
114,-0.012145996
115,0.072265625
116,-0.048828125
117,0.30664062
118,0.27734375
119,0.021118164
120,-0.24804688
121,0.107421875
122,-0.25390625
123,-0.022338867
124,0.12890625
125,0.17871094
126,-0.43359375
127,0.11328125
128,-0.328125
129,0.19628906
130,0.2578125
131,0.18261719
132,0.091308594
133,0.08935547
134,-0.18261719
135,-0.06542969
136,-0.234375
137,-0.25585938
138,-0.0050964355
139,0.18164062
140,-0.109375
141,0.03515625
142,0.025512695
143,-0.26171875
144,-0.06933594
145,-0.025512695
146,-0.3046875
147,0.111816406
148,0.3828125
149,-0.19726562
150,0.21875
151,0.14160156
152,-0.19140625
153,0.056640625
154,0.44726562
155,-0.25390625
156,0.11767578
157,-0.04272461
158,-0.064453125
159,0.02722168
160,-0.47265625
161,0.2265625
162,-0.072753906
163,-0.17871094
164,0.032226562
165,-0.115722656
166,0.20117188
167,-0.013366699
168,0.051757812
169,0.25
170,0.12695312
171,0.32226562
172,-0.15136719
173,0.034179688
174,-0.052001953
175,-0.028076172
176,0.088378906
177,-0.53515625
178,-0.06201172
179,-0.43359375
180,0.017211914
181,0.016235352
182,-0.33203125
183,0.24316406
184,-0.115234375
185,0.16113281
186,0.38671875
187,-0.051757812
188,0.13476562
189,0.18847656
190,0.099609375
191,0.08642578
192,-0.203125
193,-0.0068359375
194,0.018798828
195,0.53125
196,0.13476562
197,-0.1796875
198,-0.032714844
199,-0.59765625
200,0.08251953
201,-0.31445312
202,0.096191406
203,-0.19238281
204,0.14941406
205,0.004333496
206,0.03564453
207,-0.20117188
208,0.06738281
209,-0.03540039
210,0.0065612793
211,0.12451172
212,-0.24023438
213,0.13964844
214,-0.11816406
215,-0.00793457
216,-0.041503906
217,-0.1796875
218,-0.007873535
219,-0.14941406
220,0.2890625
221,0.15527344
222,0.09667969
223,0.21875
224,-0.023925781
225,-0.08203125
226,0.0390625
227,0.34960938
228,0.58203125
229,-0.22460938
230,-0.10058594
231,-0.16894531
232,-0.21484375
233,-0.2734375
234,0.24902344
235,0.24804688
236,0.14355469
237,0.2734375
238,0.009216309
239,-0.25976562
240,0.12402344
241,0.083984375
242,0.2734375
243,0.45703125
244,0.40039062
245,0.25195312
246,-0.26953125
247,-0.16210938
248,-0.030395508
249,-0.114746094
250,-0.07324219
251,0.111328125
252,0.0625
253,-0.017944336
254,0.095703125
255,-0.19921875
256,0.14941406
257,-0.0049743652
258,-0.067871094
259,0.064453125
260,-0.009338379
261,0.37109375
262,-0.17773438
263,0.24121094
264,0.24414062
265,0.03149414
266,-0.31054688
267,-0.64453125
268,-0.171875
269,0.265625
270,-0.14257812
271,0.16210938
272,0.015197754
273,-0.08154297
274,0.021240234
275,0.061523438
276,-0.03857422
277,0.061035156
278,0.0054626465
279,-0.060058594
280,-0.16796875
281,-0.25
282,0.008239746
283,0.14941406
284,-0.100097656
285,-0.06982422
286,-0.006072998
287,-0.09423828
288,-0.083984375
289,-0.005004883
290,-0.11816406
291,0.20996094
292,0.23242188
293,-0.19140625
294,-0.125
295,0.37890625
296,-0.34570312
297,0.0625
298,-0.19726562
299,0.17285156
