,Albania
0,-0.014038086
1,-0.1015625
2,0.24023438
3,0.028320312
4,-0.17773438
5,-0.08300781
6,-0.19042969
7,-0.23535156
8,-0.09472656
9,0.22070312
10,-0.014709473
11,-0.00579834
12,0.10644531
13,0.020629883
14,-0.006072998
15,-0.104003906
16,-0.18457031
17,0.046875
18,-0.20507812
19,0.010437012
20,0.13964844
21,-0.39648438
22,0.15332031
23,0.29296875
24,-0.004699707
25,0.079589844
26,-0.16894531
27,0.036376953
28,0.06933594
29,0.171875
30,-0.28125
31,-0.20507812
32,-0.0061035156
33,0.056152344
34,-0.14160156
35,-0.19335938
36,-0.13964844
37,0.095703125
38,0.048339844
39,-0.115234375
40,-0.037597656
41,0.16503906
42,0.33203125
43,0.07519531
44,0.099121094
45,-0.110839844
46,-0.18457031
47,0.14550781
48,-0.14746094
49,0.14453125
50,-0.10546875
51,-0.05126953
52,0.0074768066
53,0.11328125
54,-0.09326172
55,-0.08154297
56,-0.42382812
57,0.039794922
58,-0.12695312
59,-0.045654297
60,0.055419922
61,-0.15332031
62,-0.038085938
63,0.09863281
64,0.15039062
65,-0.12890625
66,0.3125
67,-0.453125
68,-0.1015625
69,-0.06982422
70,0.0059509277
71,-0.067871094
72,0.10058594
73,-0.03881836
74,-0.083496094
75,-0.30078125
76,0.38476562
77,0.03149414
78,0.045654297
79,0.28515625
80,-0.27539062
81,-0.29296875
82,-0.12792969
83,-0.17382812
84,-0.14648438
85,-0.14257812
86,-0.091308594
87,-0.2890625
88,0.23632812
89,0.067871094
90,0.16699219
91,-0.2109375
92,-0.43554688
93,0.23535156
94,-0.03930664
95,-0.20410156
96,-0.15429688
97,-0.03930664
98,0.04248047
99,-0.13671875
100,-0.21875
101,0.24414062
102,0.106933594
103,-0.037841797
104,-0.00048828125
105,0.15234375
106,0.0049438477
107,-0.1171875
108,-0.060791016
109,-0.021728516
110,0.27539062
111,0.15917969
112,-0.095703125
113,-0.23828125
114,-0.16601562
115,-0.016967773
116,0.26757812
117,0.14746094
118,0.41015625
119,0.1796875
120,-0.21875
121,-0.025268555
122,-0.22070312
123,-0.12109375
124,-0.21972656
125,-0.01550293
126,-0.13378906
127,0.0056762695
128,-0.76953125
129,0.16015625
130,-0.18554688
131,0.13574219
132,-0.15136719
133,-0.03491211
134,-0.09033203
135,-0.14355469
136,-0.20214844
137,-0.02734375
138,0.35546875
139,-0.14453125
140,0.032714844
141,-0.18652344
142,0.16308594
143,0.28320312
144,0.10595703
145,0.09326172
146,-0.28320312
147,0.044677734
148,0.067871094
149,-0.052490234
150,0.25390625
151,-0.27929688
152,0.025390625
153,-0.07128906
154,0.39257812
155,-0.033691406
156,-0.22851562
157,0.020263672
158,0.114746094
159,0.080078125
160,-0.06591797
161,0.025512695
162,-0.14453125
163,0.10595703
164,0.06982422
165,-0.011230469
166,0.09082031
167,0.075683594
168,-0.083984375
169,0.103515625
170,-0.123046875
171,0.21386719
172,0.020874023
173,0.044189453
174,0.10546875
175,-0.099121094
176,0.09765625
177,-0.06640625
178,0.203125
179,-0.25195312
180,-0.12597656
181,-0.12890625
182,-0.022827148
183,0.22070312
184,0.10644531
185,0.14355469
186,0.09765625
187,0.012878418
188,-0.20019531
189,0.100097656
190,-0.06689453
191,-0.234375
192,-0.041015625
193,0.03515625
194,0.12109375
195,0.17773438
196,-0.04272461
197,-0.091308594
198,-0.24414062
199,-0.17675781
200,0.024536133
201,0.03881836
202,0.1640625
203,-0.11816406
204,0.012939453
205,-0.13867188
206,-0.005340576
207,-0.15527344
208,-0.19238281
209,-0.08496094
210,-0.03149414
211,-0.095214844
212,-0.18066406
213,0.19238281
214,-0.19726562
215,0.12695312
216,-0.0040283203
217,0.091796875
218,0.26953125
219,-0.22363281
220,0.036132812
221,-0.099609375
222,-0.024536133
223,-0.23046875
224,-0.048583984
225,0.18945312
226,0.071777344
227,0.19726562
228,0.40820312
229,-0.453125
230,-0.05102539
231,0.036132812
232,0.03125
233,-0.22460938
234,0.2265625
235,0.32226562
236,-0.22753906
237,0.25976562
238,0.18066406
239,0.040527344
240,0.09765625
241,-0.006072998
242,-0.14648438
243,0.27539062
244,0.01361084
245,0.14550781
246,0.07910156
247,0.15820312
248,0.12451172
249,-0.08544922
250,0.36132812
251,-0.011474609
252,0.20410156
253,0.31445312
254,0.045654297
255,0.33398438
256,0.16503906
257,0.14648438
258,0.21582031
259,-0.13769531
260,0.15136719
261,0.11279297
262,0.2890625
263,0.026855469
264,0.3828125
265,0.11425781
266,-0.31445312
267,-0.03881836
268,-0.10986328
269,0.059326172
270,0.099609375
271,0.08642578
272,0.18457031
273,-0.067871094
274,0.044433594
275,0.03149414
276,0.18457031
277,-0.12597656
278,-0.28515625
279,-0.17089844
280,-0.13769531
281,0.31835938
282,-0.037597656
283,-0.10253906
284,-0.43164062
285,-0.07324219
286,0.0074157715
287,0.17089844
288,-0.16796875
289,0.10058594
290,-0.11328125
291,0.09716797
292,-0.578125
293,-0.012573242
294,0.14160156
295,0.31054688
296,-0.13769531
297,0.115234375
298,0.30664062
299,0.27148438
