,Sudan
0,0.072753906
1,0.41601562
2,0.05859375
3,-0.032958984
4,-0.11767578
5,-0.099121094
6,-0.0027313232
7,-0.34960938
8,-0.20019531
9,-0.06591797
10,0.08496094
11,-0.024047852
12,-0.029296875
13,-0.049560547
14,-0.055908203
15,0.22167969
16,-0.23046875
17,-0.12988281
18,-0.18847656
19,-0.00091171265
20,0.23828125
21,-0.1796875
22,0.17871094
23,0.055419922
24,0.390625
25,0.10888672
26,0.056640625
27,0.020385742
28,0.3828125
29,0.080078125
30,-0.1796875
31,-0.053466797
32,-0.38476562
33,-0.027709961
34,-0.20996094
35,0.29492188
36,0.0119018555
37,0.15917969
38,0.07373047
39,0.23144531
40,0.15917969
41,0.13476562
42,-0.14355469
43,0.12207031
44,0.100097656
45,0.19726562
46,-0.16601562
47,0.016235352
48,-0.015014648
49,-0.061523438
50,-0.022094727
51,-0.27148438
52,-0.3359375
53,-0.25976562
54,-0.18359375
55,0.016845703
56,-0.6328125
57,0.16894531
58,-0.22558594
59,-0.0067749023
60,-0.0010910034
61,-0.11816406
62,0.31835938
63,-0.013244629
64,-0.13964844
65,-0.11328125
66,-0.203125
67,-0.19042969
68,-0.060791016
69,0.125
70,-0.075683594
71,-0.059814453
72,-0.10546875
73,0.06542969
74,0.026123047
75,-0.25976562
76,-0.026245117
77,0.14648438
78,-0.14648438
79,0.14257812
80,-0.54296875
81,-0.06640625
82,-0.041503906
83,0.18847656
84,-0.095214844
85,-0.203125
86,0.017700195
87,0.078125
88,0.23046875
89,0.111816406
90,-0.084472656
91,-0.29101562
92,-0.44335938
93,0.07080078
94,0.091796875
95,-0.12597656
96,0.33203125
97,0.13671875
98,0.37890625
99,0.20507812
100,-0.06640625
101,-0.040771484
102,-0.015380859
103,-0.41992188
104,-0.12597656
105,0.107421875
106,0.13671875
107,-0.1640625
108,-0.31640625
109,0.008605957
110,0.1171875
111,-0.059326172
112,-0.041992188
113,-0.12988281
114,0.072753906
115,-0.21679688
116,0.17089844
117,0.53515625
118,0.104003906
119,0.11035156
120,-0.032226562
121,0.11035156
122,-0.24511719
123,-0.084472656
124,-0.31054688
125,0.33203125
126,-0.13769531
127,0.13183594
128,-0.515625
129,0.10888672
130,0.18554688
131,0.38476562
132,-0.031982422
133,0.17871094
134,-0.23144531
135,-0.24609375
136,-0.12792969
137,-0.13574219
138,0.040039062
139,0.27929688
140,0.11767578
141,-0.14257812
142,0.35351562
143,-0.16796875
144,-0.08691406
145,0.040527344
146,0.087402344
147,-0.040771484
148,0.3359375
149,0.076660156
150,0.16699219
151,0.02355957
152,0.005065918
153,0.046142578
154,0.07373047
155,-0.43554688
156,0.11035156
157,0.19628906
158,-0.19921875
159,0.022338867
160,-0.42578125
161,0.19628906
162,0.09765625
163,0.18457031
164,0.075683594
165,-0.21289062
166,0.12402344
167,0.0546875
168,0.13574219
169,0.2734375
170,-0.18652344
171,0.3359375
172,-0.012207031
173,-0.25195312
174,0.140625
175,-0.36328125
176,0.42578125
177,-0.14257812
178,0.07470703
179,-0.609375
180,-0.53515625
181,-0.08642578
182,-0.16992188
183,-0.103027344
184,0.03173828
185,-0.15039062
186,-0.06982422
187,0.13867188
188,0.10644531
189,0.18261719
190,-0.0625
191,-0.099121094
192,-0.19140625
193,-0.2578125
194,-0.13867188
195,0.51171875
196,-0.01586914
197,-0.234375
198,-0.027954102
199,-0.052734375
200,0.08984375
201,-0.2265625
202,0.19921875
203,-0.10498047
204,-0.11621094
205,-0.04663086
206,0.125
207,-0.3984375
208,0.21484375
209,0.016967773
210,-0.36132812
211,-0.104003906
212,-0.122558594
213,-0.020263672
214,0.059326172
215,-0.036865234
216,-0.453125
217,0.1953125
218,0.0032806396
219,-0.23535156
220,-0.23828125
221,-0.05419922
222,0.08154297
223,-0.046875
224,0.13867188
225,-0.11767578
226,0.1484375
227,0.107421875
228,0.390625
229,-0.47460938
230,0.2421875
231,0.104003906
232,-0.021728516
233,-0.037109375
234,0.06640625
235,0.059570312
236,-0.25585938
237,0.07910156
238,-0.022827148
239,-0.25
240,0.27539062
241,-0.19433594
242,-0.027832031
243,0.19238281
244,0.15917969
245,0.107421875
246,-0.421875
247,0.048583984
248,-0.052490234
249,-0.12109375
250,-0.06640625
251,0.110839844
252,0.041015625
253,-0.03149414
254,0.359375
255,0.020263672
256,0.29882812
257,0.010925293
258,0.12109375
259,-0.029418945
260,-0.26757812
261,0.18359375
262,0.28515625
263,0.13671875
264,0.0859375
265,-0.029052734
266,-0.390625
267,-0.2890625
268,-0.17773438
269,-0.023803711
270,-0.05908203
271,0.14550781
272,0.10644531
273,0.026977539
274,0.03491211
275,0.17285156
276,-0.20117188
277,-0.24511719
278,-0.044433594
279,-0.30859375
280,0.15039062
281,-0.25585938
282,-0.12109375
283,-0.020385742
284,0.14941406
285,-0.30664062
286,-0.07373047
287,0.048583984
288,0.25976562
289,0.0010910034
290,-0.022949219
291,0.34179688
292,0.1875
293,0.16015625
294,-0.099609375
295,0.29492188
296,-0.13867188
297,0.019897461
298,0.021728516
299,0.057617188
