,Marshall_Islands
0,0.12988281
1,-0.17871094
2,0.07373047
3,-0.11230469
4,-0.052001953
5,-0.3984375
6,-0.05517578
7,-0.049560547
8,0.10986328
9,-0.115234375
10,-0.05029297
11,-0.09082031
12,0.07519531
13,0.15625
14,0.18457031
15,0.27148438
16,-0.25195312
17,0.53125
18,-0.22753906
19,-0.118652344
20,0.14453125
21,-0.19726562
22,0.071777344
23,0.21972656
24,0.08203125
25,-0.099121094
26,0.076660156
27,-0.15625
28,0.010681152
29,-0.18457031
30,-0.060546875
31,-0.44726562
32,-0.15527344
33,-0.40234375
34,0.22070312
35,-0.05126953
36,-0.140625
37,0.10107422
38,-0.13476562
39,-0.106933594
40,-0.26171875
41,0.17871094
42,0.34765625
43,0.29492188
44,-0.13867188
45,0.118652344
46,-0.140625
47,0.14550781
48,-0.15722656
49,-0.072265625
50,0.20898438
51,-0.27929688
52,0.43554688
53,-0.47460938
54,-0.40429688
55,0.27148438
56,-0.57421875
57,0.041259766
58,-0.07519531
59,-0.375
60,0.122558594
61,-0.17089844
62,-0.234375
63,-0.017578125
64,0.35351562
65,-0.22460938
66,0.24902344
67,0.25585938
68,-0.17675781
69,0.01171875
70,-0.109375
71,-0.044677734
72,-0.43164062
73,-0.006072998
74,-0.36328125
75,-0.20019531
76,0.076171875
77,0.014892578
78,-0.16308594
79,0.390625
80,0.04272461
81,-0.12695312
82,-0.33789062
83,-0.08105469
84,-0.10644531
85,0.14746094
86,-0.41210938
87,-0.16796875
88,0.2421875
89,0.12890625
90,0.26953125
91,-0.009216309
92,-0.14941406
93,0.39648438
94,0.040527344
95,0.31640625
96,0.46679688
97,-0.0050354004
98,0.19726562
99,0.31835938
100,0.31445312
101,0.16015625
102,0.37109375
103,-0.15625
104,-0.044677734
105,0.27539062
106,-0.0055236816
107,-0.083984375
108,0.19140625
109,0.41601562
110,-0.20410156
111,0.19140625
112,-0.09863281
113,0.23730469
114,0.03515625
115,0.07519531
116,0.103515625
117,-0.11621094
118,0.16113281
119,-0.018676758
120,-0.28320312
121,-0.18554688
122,0.014038086
123,0.30273438
124,0.11767578
125,0.5234375
126,-0.087402344
127,0.04736328
128,-0.20703125
129,0.2109375
130,-0.15136719
131,0.18847656
132,-0.25585938
133,-0.19238281
134,-0.07421875
135,-0.05493164
136,-0.41210938
137,-0.36914062
138,0.16601562
139,-0.021362305
140,-0.21484375
141,0.15527344
142,0.03491211
143,-0.28515625
144,0.21289062
145,0.24902344
146,-0.22070312
147,-0.013061523
148,0.17675781
149,0.35351562
150,0.49609375
151,0.14257812
152,0.053222656
153,-0.10546875
154,-0.140625
155,-0.18066406
156,-0.068359375
157,-0.17089844
158,0.36914062
159,0.06201172
160,-0.05444336
161,0.13867188
162,0.125
163,-0.092285156
164,0.13964844
165,-0.48046875
166,0.23144531
167,0.27734375
168,-0.08544922
169,0.087402344
170,0.29296875
171,0.328125
172,0.24121094
173,0.106933594
174,0.012390137
175,-0.22949219
176,-0.103027344
177,-0.057373047
178,0.13476562
179,-0.19628906
180,0.037841797
181,-0.3359375
182,-0.11279297
183,0.103027344
184,0.14550781
185,-0.014099121
186,0.0038757324
187,-0.18164062
188,0.15527344
189,0.06640625
190,-0.40039062
191,0.06225586
192,-0.114746094
193,-0.10205078
194,0.07421875
195,0.30859375
196,0.26953125
197,0.007507324
198,0.12597656
199,-0.36328125
200,0.20117188
201,-0.0859375
202,0.17382812
203,-0.3125
204,-0.25
205,0.00045585632
206,-0.08203125
207,-0.14355469
208,-0.3984375
209,-0.15527344
210,0.35351562
211,0.09814453
212,-0.28710938
213,0.453125
214,0.28125
215,-0.064453125
216,0.019165039
217,0.020263672
218,0.18652344
219,-0.088378906
220,-0.22851562
221,0.22265625
222,0.118652344
223,-0.14550781
224,-0.13183594
225,-0.060791016
226,0.14746094
227,0.080566406
228,0.24414062
229,-0.020629883
230,0.22949219
231,-0.040771484
232,0.001953125
233,-0.25585938
234,0.15917969
235,0.37109375
236,0.07910156
237,0.07519531
238,-0.020141602
239,-0.057128906
240,-0.14453125
241,0.055419922
242,-0.0066833496
243,0.028076172
244,0.15527344
245,-0.23535156
246,-0.15625
247,0.06738281
248,0.16503906
249,-0.16601562
250,-0.23535156
251,-0.22753906
252,0.3359375
253,-0.2421875
254,0.04296875
255,-0.045410156
256,0.25976562
257,-0.37304688
258,0.21484375
259,0.15625
260,0.49804688
261,0.012939453
262,0.13085938
263,-0.27539062
264,0.095703125
265,-0.07714844
266,-0.328125
267,0.05053711
268,-0.13085938
269,-0.10546875
270,-0.23730469
271,-0.11230469
272,0.23828125
273,0.06347656
274,-0.27734375
275,-0.16699219
276,-0.1953125
277,-0.21386719
278,0.16308594
279,-0.075683594
280,-0.33007812
281,0.12597656
282,0.080566406
283,0.16796875
284,-0.24414062
285,-0.14746094
286,0.13476562
287,0.018920898
288,-0.036865234
289,0.25976562
290,0.17382812
291,0.06933594
292,-0.123046875
293,0.13183594
294,0.22265625
295,0.025512695
296,-0.53515625
297,0.17382812
298,0.25585938
299,0.25
