,Iraq
0,0.19140625
1,0.125
2,-0.06542969
3,0.060058594
4,-0.28515625
5,-0.10253906
6,0.1171875
7,-0.3515625
8,-0.095214844
9,0.20019531
10,0.030517578
11,-0.005859375
12,-0.0028381348
13,0.07714844
14,0.122558594
15,0.022094727
16,-0.24707031
17,-0.14453125
18,0.16210938
19,-0.2734375
20,-0.20507812
21,0.068359375
22,0.33984375
23,0.15429688
24,-0.13476562
25,0.22949219
26,0.076660156
27,-0.08203125
28,0.1328125
29,0.16503906
30,-0.119628906
31,-0.12109375
32,-0.096191406
33,0.00793457
34,-0.15234375
35,-0.047607422
36,0.09863281
37,0.1484375
38,0.026000977
39,0.052246094
40,0.061279297
41,0.26171875
42,0.26757812
43,0.091308594
44,-0.01928711
45,0.25390625
46,0.08691406
47,0.18652344
48,-0.13183594
49,0.25195312
50,-0.10888672
51,-0.16699219
52,-0.123535156
53,0.18457031
54,-0.22558594
55,0.006958008
56,-0.083984375
57,0.16796875
58,-0.010559082
59,-0.18847656
60,0.087402344
61,0.15625
62,0.040771484
63,0.055664062
64,-0.15625
65,-0.004486084
66,0.09667969
67,-0.20800781
68,-0.014587402
69,-0.13476562
70,-0.09716797
71,0.09423828
72,-0.10449219
73,0.15820312
74,-0.02709961
75,-0.51953125
76,0.019897461
77,0.028320312
78,0.0026397705
79,-0.10449219
80,-0.20703125
81,-0.23535156
82,-0.07519531
83,0.22949219
84,-0.068847656
85,0.021606445
86,-0.07373047
87,0.11230469
88,0.067871094
89,0.125
90,-0.060302734
91,-0.107910156
92,-0.18359375
93,-0.08642578
94,0.050048828
95,-0.035888672
96,-0.019165039
97,0.046875
98,0.080566406
99,-0.1875
100,0.026123047
101,0.14160156
102,0.2890625
103,-0.122558594
104,-0.19628906
105,-0.0546875
106,-0.12695312
107,-0.17773438
108,0.021606445
109,0.044921875
110,0.038085938
111,-0.2265625
112,-0.096191406
113,0.09082031
114,0.15332031
115,-0.05078125
116,0.034423828
117,0.265625
118,0.17382812
119,0.30664062
120,-0.3359375
121,0.10986328
122,0.17382812
123,-0.049804688
124,-0.056152344
125,-0.19824219
126,-0.13671875
127,-0.13574219
128,-0.28320312
129,0.10644531
130,-0.038085938
131,-0.31640625
132,-0.16992188
133,-0.099609375
134,0.09082031
135,-0.22851562
136,-0.07910156
137,-0.25390625
138,0.29101562
139,0.22851562
140,-0.16796875
141,0.16308594
142,0.099609375
143,0.122558594
144,0.07470703
145,-0.012878418
146,-0.020874023
147,0.100097656
148,0.036621094
149,0.03466797
150,0.32617188
151,-0.31835938
152,0.22460938
153,-0.092285156
154,0.059570312
155,-0.26953125
156,-0.083496094
157,-0.024780273
158,-0.26367188
159,0.23730469
160,-0.19433594
161,0.15136719
162,0.2109375
163,-0.083984375
164,0.088378906
165,-0.033203125
166,-0.0625
167,0.049072266
168,0.43945312
169,0.48632812
170,0.064453125
171,-0.017700195
172,-0.021606445
173,-0.44921875
174,0.0234375
175,-0.18066406
176,0.18066406
177,-0.20507812
178,-0.078125
179,-0.14941406
180,-0.23828125
181,-0.022705078
182,-0.18945312
183,-0.076171875
184,0.047607422
185,-0.16601562
186,0.04272461
187,-0.014526367
188,-0.104003906
189,0.18359375
190,0.15136719
191,0.1015625
192,0.00793457
193,-0.24609375
194,-0.12597656
195,0.2109375
196,-0.064453125
197,-0.1640625
198,0.0154418945
199,-0.06689453
200,-0.10546875
201,0.061767578
202,-0.080566406
203,-0.06542969
204,-0.025634766
205,-0.14550781
206,-0.00982666
207,-0.27148438
208,-0.08251953
209,-0.032470703
210,-0.0010147095
211,0.09716797
212,0.060791016
213,-0.21191406
214,0.004272461
215,0.096191406
216,-0.16601562
217,0.17382812
218,-0.107421875
219,-0.021728516
220,-0.06347656
221,-0.28710938
222,0.08691406
223,-0.40429688
224,-0.14941406
225,-0.25585938
226,-0.22558594
227,0.13671875
228,0.44921875
229,-0.4375
230,-0.23242188
231,-0.17382812
232,-0.020385742
233,-0.075683594
234,0.15234375
235,0.1640625
236,0.08496094
237,0.23242188
238,-0.079589844
239,-0.111328125
240,0.20996094
241,-0.025756836
242,-0.19628906
243,0.07910156
244,0.042236328
245,0.22363281
246,-0.22070312
247,0.080078125
248,-0.19433594
249,0.20996094
250,-0.2734375
251,-0.50390625
252,-0.12451172
253,0.110839844
254,0.21386719
255,-0.32617188
256,0.24707031
257,-0.01940918
258,0.029052734
259,0.00059890747
260,-0.072753906
261,0.013366699
262,0.16601562
263,0.001663208
264,-0.07324219
265,-0.029785156
266,-0.41210938
267,-0.37890625
268,-0.19824219
269,0.059814453
270,0.041992188
271,0.35742188
272,0.115722656
273,-0.33203125
274,0.25976562
275,0.24023438
276,0.049804688
277,-0.0068969727
278,0.006652832
279,-0.19921875
280,0.10205078
281,0.048095703
282,0.09863281
283,0.1171875
284,0.014770508
285,-0.09326172
286,-0.1796875
287,-0.118652344
288,0.3125
289,0.087402344
290,-0.10058594
291,-0.07714844
292,-0.123046875
293,0.19335938
294,-0.15332031
295,0.08935547
296,-0.17382812
297,-0.0546875
298,0.30273438
299,0.10595703
