,英国
0,-0.072753906
1,-0.09375
2,0.12060547
3,-0.07128906
4,0.068847656
5,0.09082031
6,0.057617188
7,-0.029541016
8,-0.03491211
9,0.24414062
10,-0.12597656
11,0.08496094
12,-0.23632812
13,0.1796875
14,-0.13867188
15,-0.0007133484
16,0.06640625
17,0.095703125
18,-0.115234375
19,-0.01159668
20,-0.040527344
21,-0.08251953
22,0.26171875
23,0.084472656
24,-0.104003906
25,-0.28320312
26,0.13964844
27,0.0138549805
28,-0.13183594
29,-0.03466797
30,-0.023925781
31,-0.13769531
32,0.029541016
33,-0.11621094
34,-0.08691406
35,-0.07910156
36,0.01965332
37,0.06689453
38,-0.048339844
39,0.08154297
40,-0.087402344
41,-0.20898438
42,0.034423828
43,0.06298828
44,0.00090789795
45,-0.20605469
46,-0.24609375
47,-0.088378906
48,-0.07373047
49,0.012145996
50,-0.25195312
51,0.2890625
52,0.25585938
53,0.0703125
54,-0.14160156
55,0.29101562
56,-0.17773438
57,-0.11279297
58,0.17285156
59,-0.13085938
60,-0.16992188
61,0.26171875
62,-0.016967773
63,0.061523438
64,0.05029297
65,0.07324219
66,0.140625
67,-0.0115356445
68,0.30078125
69,0.17285156
70,-0.014404297
71,-0.087890625
72,-0.030883789
73,0.060791016
74,-0.34570312
75,-0.20019531
76,-0.02355957
77,-0.27148438
78,0.020629883
79,0.0023956299
80,0.107910156
81,0.0146484375
82,-0.022705078
83,-0.033691406
84,0.11279297
85,-0.02709961
86,0.08935547
87,0.052978516
88,0.02709961
89,-0.003250122
90,-0.27539062
91,-0.21582031
92,0.063964844
93,0.296875
94,0.04736328
95,-0.1640625
96,0.11035156
97,0.020263672
98,0.06982422
99,-0.13378906
100,0.15820312
101,0.17578125
102,-0.01574707
103,-0.03955078
104,0.0007133484
105,0.14160156
106,-0.04296875
107,0.28320312
108,0.0703125
109,0.14941406
110,0.026000977
111,-0.17773438
112,0.19238281
113,-0.047607422
114,-0.115722656
115,-0.02746582
116,-0.19433594
117,-0.095214844
118,0.19921875
119,-0.15820312
120,0.18554688
121,0.075683594
122,-0.22753906
123,0.004638672
124,0.20996094
125,0.07519531
126,-0.15625
127,0.15917969
128,0.10888672
129,0.049560547
130,0.0056762695
131,0.23339844
132,0.18652344
133,0.123046875
134,-0.17480469
135,0.24707031
136,-0.0126953125
137,-0.10449219
138,0.079589844
139,0.18554688
140,0.046875
141,0.23339844
142,-0.030273438
143,0.08300781
144,-0.057128906
145,0.06591797
146,0.06738281
147,0.19335938
148,0.03881836
149,-0.21289062
150,0.19335938
151,-0.28125
152,-0.035888672
153,0.017089844
154,0.14746094
155,-0.22265625
156,-0.10058594
157,0.06542969
158,0.29101562
159,-0.21386719
160,0.060058594
161,0.063964844
162,0.25390625
163,-0.06933594
164,0.03857422
165,0.0126953125
166,0.16601562
167,-0.02709961
168,-0.19726562
169,0.123535156
170,0.037109375
171,0.15429688
172,-0.08642578
173,0.0017089844
174,-0.14453125
175,0.00289917
176,0.06933594
177,0.07324219
178,-0.07763672
179,-0.21484375
180,-0.110839844
181,0.1953125
182,0.08984375
183,-0.12890625
184,0.04296875
185,0.04711914
186,0.114746094
187,-0.19042969
188,-0.028930664
189,0.037353516
190,-0.15332031
191,0.026123047
192,-0.20898438
193,-0.044433594
194,0.27148438
195,0.07861328
196,-0.033691406
197,0.036621094
198,0.020507812
199,-0.1875
200,0.045654297
201,-0.015991211
202,0.09765625
203,-0.07470703
204,-0.049560547
205,-0.18164062
206,0.14257812
207,-0.0065307617
208,-0.12060547
209,-0.21777344
210,-0.08886719
211,-0.13867188
212,0.046142578
213,0.14550781
214,0.051757812
215,0.01965332
216,-0.16210938
217,-0.043701172
218,0.22167969
219,-0.031982422
220,-0.09277344
221,0.12011719
222,-0.09375
223,0.12011719
224,0.032958984
225,-0.038330078
226,-0.01184082
227,-0.123535156
228,-0.03466797
229,0.06201172
230,0.080566406
231,0.23242188
232,-0.08154297
233,0.01373291
234,0.028564453
235,0.06591797
236,-0.14648438
237,-0.020141602
238,0.04248047
239,0.014831543
240,-0.072265625
241,-0.03149414
242,0.06298828
243,0.0859375
244,0.061035156
245,-0.119140625
246,-0.15136719
247,0.22949219
248,-0.14257812
249,-0.11621094
250,0.17480469
251,0.017211914
252,-0.020019531
253,0.034179688
254,0.18066406
255,0.022460938
256,0.060546875
257,-0.16699219
258,-0.067871094
259,-0.045166016
260,0.07470703
261,0.16015625
262,0.15527344
263,-0.24023438
264,-0.10546875
265,0.11230469
266,-0.09277344
267,-0.06738281
268,0.14257812
269,-0.0119018555
270,-0.16308594
271,0.017578125
272,-0.06689453
273,0.049560547
274,0.064941406
275,0.14257812
276,-0.17382812
277,0.18261719
278,-0.04663086
279,0.061523438
280,-0.084472656
281,0.20800781
282,-0.16210938
283,-0.12695312
284,0.12792969
285,-0.063964844
286,0.08203125
287,0.203125
288,0.122558594
289,0.13085938
290,0.011413574
291,0.010925293
292,-0.106933594
293,0.14550781
294,-0.13671875
295,-0.05859375
296,-0.14550781
297,0.044677734
298,0.21679688
299,0.12988281
