,Saudi_Arabia
0,-0.22167969
1,-0.07080078
2,-0.044677734
3,0.057373047
4,-0.18652344
5,0.03515625
6,-0.17675781
7,-0.25195312
8,-0.09277344
9,0.27148438
10,0.025146484
11,-0.11816406
12,0.09863281
13,-0.15234375
14,-0.12890625
15,-0.25195312
16,-0.12158203
17,-0.01940918
18,0.041015625
19,0.12060547
20,0.08886719
21,-0.21289062
22,0.12109375
23,0.234375
24,0.265625
25,0.15234375
26,-0.03857422
27,-0.064941406
28,-0.119140625
29,-0.036621094
30,-0.07373047
31,-0.075683594
32,-0.34375
33,0.083984375
34,-0.42382812
35,0.03955078
36,0.015136719
37,0.087402344
38,0.13574219
39,0.20605469
40,0.22265625
41,0.375
42,-0.0703125
43,0.07080078
44,0.12597656
45,0.046142578
46,-0.11279297
47,0.036865234
48,-0.12792969
49,-0.09765625
50,-0.15722656
51,-0.15039062
52,-0.14648438
53,0.34960938
54,-0.028686523
55,0.1328125
56,-0.18554688
57,0.34765625
58,0.11035156
59,-0.18945312
60,0.03955078
61,0.007446289
62,0.09082031
63,0.14941406
64,-0.010131836
65,-0.11816406
66,0.024780273
67,-0.2578125
68,0.022338867
69,0.045166016
70,-0.359375
71,0.064941406
72,0.05493164
73,0.24023438
74,0.24316406
75,-0.3828125
76,0.018798828
77,0.13671875
78,0.15820312
79,0.19042969
80,-0.2109375
81,-0.11035156
82,0.024414062
83,0.029907227
84,-0.02734375
85,-0.14941406
86,-0.31640625
87,0.06738281
88,-0.0390625
89,0.28515625
90,0.2578125
91,-0.1484375
92,-0.29101562
93,-0.12792969
94,0.009765625
95,-0.36132812
96,-0.07910156
97,0.106933594
98,0.15820312
99,0.045898438
100,0.045898438
101,-0.03125
102,-0.17578125
103,0.07763672
104,0.029418945
105,0.039794922
106,0.013427734
107,-0.10986328
108,0.11767578
109,-0.008239746
110,0.05029297
111,0.0099487305
112,-0.019042969
113,-0.025512695
114,0.040771484
115,0.016723633
116,-0.032226562
117,0.10888672
118,0.40625
119,-0.012817383
120,-0.0047912598
121,0.12597656
122,0.10888672
123,-0.011108398
124,-0.33984375
125,-0.0006790161
126,0.06982422
127,-0.29882812
128,-0.15429688
129,-0.091308594
130,-0.18847656
131,0.109375
132,0.103515625
133,-0.25976562
134,0.20605469
135,-0.17480469
136,-0.064453125
137,0.05517578
138,-0.106933594
139,0.24023438
140,0.3046875
141,-0.051513672
142,0.07861328
143,-0.043945312
144,0.20996094
145,0.14257812
146,-0.06298828
147,0.06689453
148,-0.04345703
149,-0.12890625
150,0.14550781
151,-0.25
152,-0.014099121
153,-0.17578125
154,0.21679688
155,-0.31445312
156,-0.34765625
157,0.06933594
158,0.12597656
159,-0.0154418945
160,-0.25585938
161,-0.05078125
162,0.24121094
163,-0.17285156
164,0.16503906
165,-0.15234375
166,-0.057373047
167,0.045898438
168,-0.0107421875
169,0.3359375
170,-0.33984375
171,0.17578125
172,-0.18261719
173,-0.19042969
174,-0.0020446777
175,-0.3515625
176,0.5390625
177,-0.28515625
178,-0.09716797
179,-0.1796875
180,-0.23242188
181,-0.11669922
182,-0.16699219
183,-0.10107422
184,0.22460938
185,0.06933594
186,0.21582031
187,0.0012741089
188,0.08544922
189,0.29296875
190,-0.047851562
191,0.0056152344
192,-0.029663086
193,-0.19628906
194,-0.29101562
195,0.4375
196,-0.16992188
197,-0.02746582
198,-0.053955078
199,-0.38671875
200,0.061035156
201,-0.13671875
202,-0.020874023
203,-0.033203125
204,0.15039062
205,-0.022094727
206,-0.087402344
207,-0.27148438
208,-0.10107422
209,-0.029174805
210,-0.059326172
211,-0.13183594
212,-0.19433594
213,-0.0052490234
214,0.08154297
215,0.17382812
216,-0.3359375
217,0.23925781
218,-0.123046875
219,-0.14648438
220,-0.08496094
221,-0.21777344
222,-0.011962891
223,-0.22753906
224,0.10888672
225,-0.057617188
226,0.21875
227,0.25585938
228,0.21777344
229,-0.2734375
230,-0.14648438
231,-0.16796875
232,0.21386719
233,-0.28515625
234,0.02319336
235,-0.012878418
236,0.09863281
237,0.040283203
238,-0.075683594
239,0.014099121
240,0.095703125
241,-0.02355957
242,-0.18457031
243,0.053710938
244,0.09716797
245,-0.25976562
246,-0.09667969
247,-0.21386719
248,-0.234375
249,-0.050048828
250,0.21582031
251,0.072265625
252,-0.026489258
253,0.056396484
254,0.20117188
255,0.103515625
256,-0.016113281
257,-0.12597656
258,-0.20605469
259,0.12207031
260,0.16210938
261,0.15625
262,-0.12207031
263,0.03149414
264,0.28125
265,-0.03466797
266,-0.25976562
267,-0.42773438
268,0.25
269,0.36523438
270,-0.119140625
271,0.40820312
272,0.07519531
273,-0.25195312
274,0.079589844
275,0.013916016
276,-0.15917969
277,-0.099121094
278,-0.071777344
279,0.016967773
280,-0.0026550293
281,-0.33007812
282,-0.08154297
283,0.055664062
284,0.103515625
285,-0.33007812
286,0.04638672
287,-0.24121094
288,0.18066406
289,-0.076171875
290,0.08544922
291,-0.19140625
292,0.10498047
293,-0.109375
294,-0.07910156
295,0.16210938
296,0.056640625
297,0.10058594
298,0.083496094
299,0.14355469
