,Turkmenistan
0,-0.21875
1,0.11035156
2,0.02746582
3,0.31445312
4,-0.013427734
5,-0.042236328
6,0.16210938
7,-0.22753906
8,-0.28710938
9,0.07519531
10,-0.014099121
11,0.037109375
12,-0.032226562
13,0.026733398
14,-0.19042969
15,-0.07128906
16,-0.40820312
17,-0.16015625
18,0.12890625
19,-0.080078125
20,0.22558594
21,-0.5
22,0.00390625
23,0.234375
24,0.25976562
25,-0.13476562
26,-0.1796875
27,0.122558594
28,-0.13085938
29,0.087402344
30,-0.46875
31,-0.27734375
32,-0.28710938
33,-0.100097656
34,0.037353516
35,-0.0119018555
36,-0.15917969
37,0.07324219
38,0.17480469
39,-0.028686523
40,0.021728516
41,0.067871094
42,-0.018798828
43,0.06640625
44,0.17480469
45,0.040039062
46,-0.14355469
47,-0.004425049
48,-0.30078125
49,-0.059814453
50,-0.095703125
51,-0.11376953
52,-0.18652344
53,0.100097656
54,-0.28320312
55,-0.07128906
56,-0.63671875
57,0.20800781
58,0.020385742
59,-0.31054688
60,0.17285156
61,-0.28125
62,0.13378906
63,0.111816406
64,0.19433594
65,-0.12158203
66,0.25
67,-0.13769531
68,-0.12695312
69,0.1484375
70,-0.19042969
71,-0.06982422
72,-0.22949219
73,-0.20410156
74,-0.020996094
75,-0.35742188
76,0.044921875
77,0.140625
78,0.40429688
79,0.51953125
80,-0.16796875
81,-0.4609375
82,0.01953125
83,0.103515625
84,-0.026245117
85,-0.003250122
86,0.037353516
87,-0.2265625
88,-0.12109375
89,0.66796875
90,0.07324219
91,-0.33007812
92,-0.22949219
93,0.10839844
94,-0.023925781
95,-0.421875
96,-0.052490234
97,0.21777344
98,0.18847656
99,-0.11328125
100,-0.07861328
101,0.22949219
102,-0.2890625
103,0.015991211
104,0.03857422
105,0.2578125
106,0.19238281
107,-0.037841797
108,-0.0859375
109,0.11621094
110,0.18847656
111,0.12890625
112,0.02709961
113,-0.15917969
114,0.17480469
115,-0.021728516
116,0.03491211
117,-0.021728516
118,0.16308594
119,0.06982422
120,-0.29296875
121,-0.037597656
122,-0.1640625
123,0.13085938
124,-0.09814453
125,0.23632812
126,-0.122558594
127,0.2578125
128,-0.703125
129,0.00088119507
130,-0.13574219
131,0.51171875
132,0.12597656
133,-0.057128906
134,-0.15234375
135,0.06542969
136,-0.26171875
137,0.05102539
138,-0.20703125
139,0.24023438
140,0.10205078
141,-0.25976562
142,-0.0053710938
143,0.390625
144,-0.33789062
145,0.18164062
146,-0.31054688
147,0.076171875
148,-0.55859375
149,0.10888672
150,0.43945312
151,-0.19628906
152,0.11279297
153,-0.10107422
154,0.58984375
155,-0.0134887695
156,-0.20703125
157,0.17871094
158,-0.048828125
159,0.12988281
160,-0.37109375
161,0.15332031
162,-0.0074768066
163,0.036865234
164,0.18457031
165,-0.045166016
166,0.140625
167,0.0625
168,0.16894531
169,0.39648438
170,-0.5078125
171,0.14941406
172,-0.0015411377
173,-0.071777344
174,0.106933594
175,-0.22558594
176,0.25
177,-0.49414062
178,-0.106933594
179,-0.5546875
180,-0.060058594
181,-0.021118164
182,-0.12890625
183,0.21582031
184,0.0063476562
185,0.14550781
186,0.15136719
187,-0.099609375
188,0.16796875
189,0.18359375
190,-0.1484375
191,0.17578125
192,-0.15625
193,0.11816406
194,0.091796875
195,-0.045166016
196,-0.47851562
197,0.18847656
198,-0.1640625
199,0.02722168
200,0.19140625
201,-0.027709961
202,-0.03881836
203,-0.15722656
204,-0.068359375
205,-0.12597656
206,-0.091796875
207,-0.37695312
208,-0.35742188
209,0.123535156
210,-0.203125
211,0.010620117
212,-0.059814453
213,-0.15136719
214,0.03491211
215,0.22558594
216,0.053222656
217,0.34765625
218,0.13867188
219,-0.24316406
220,-0.14257812
221,-0.08203125
222,0.0107421875
223,-0.07324219
224,0.16992188
225,-0.00680542
226,0.20800781
227,0.26171875
228,0.45117188
229,-0.36914062
230,-0.10107422
231,0.12011719
232,0.27929688
233,-0.13378906
234,0.12792969
235,0.44335938
236,-0.014404297
237,-0.027954102
238,0.14746094
239,-0.088378906
240,0.09667969
241,-0.08105469
242,-0.20703125
243,-0.110839844
244,0.13964844
245,-0.19433594
246,0.0625
247,0.0058288574
248,-0.037353516
249,-0.41796875
250,-0.035888672
251,-0.030517578
252,0.107421875
253,0.0042419434
254,0.016479492
255,0.3671875
256,0.0043640137
257,0.045410156
258,0.0028839111
259,0.04638672
260,0.087402344
261,0.14257812
262,0.04638672
263,0.18652344
264,0.41796875
265,0.083496094
266,-0.3125
267,-0.10498047
268,0.0017242432
269,0.13574219
270,0.053466797
271,-0.002166748
272,0.0703125
273,-0.1484375
274,0.0024414062
275,0.36328125
276,0.24316406
277,-0.12890625
278,-0.18164062
279,0.20410156
280,0.18359375
281,-0.011230469
282,0.05810547
283,0.15234375
284,-0.048828125
285,-0.24609375
286,-0.13574219
287,0.29492188
288,0.31054688
289,0.19824219
290,-0.109375
291,-0.18945312
292,0.07470703
293,-0.056640625
294,0.17285156
295,0.03173828
296,-0.080566406
297,0.265625
298,0.23339844
299,0.34765625
