,Vietnam
0,0.21484375
1,0.22167969
2,0.007171631
3,0.17773438
4,-0.14453125
5,-0.15234375
6,0.34570312
7,-0.25195312
8,0.072265625
9,0.15234375
10,0.20019531
11,-0.25
12,0.17578125
13,-0.10058594
14,0.17578125
15,0.06689453
16,-0.234375
17,0.18847656
18,0.012390137
19,-0.20507812
20,-0.07080078
21,-0.12158203
22,-0.026611328
23,-0.114746094
24,-0.10205078
25,-0.08935547
26,0.028320312
27,-0.09033203
28,0.08691406
29,0.36523438
30,-0.32617188
31,-0.08105469
32,-0.26757812
33,-0.099609375
34,0.040771484
35,-0.06542969
36,-0.08544922
37,0.21386719
38,0.28125
39,-0.029296875
40,-0.037109375
41,0.16308594
42,-0.030273438
43,-0.15527344
44,0.122558594
45,0.008728027
46,-0.083496094
47,-0.033691406
48,-0.025756836
49,0.111816406
50,-0.12060547
51,-0.049804688
52,-0.26953125
53,0.022338867
54,-0.08544922
55,0.1015625
56,-0.16796875
57,-0.10839844
58,0.26367188
59,-0.087402344
60,0.04296875
61,0.053955078
62,0.088378906
63,-0.0053100586
64,-0.23046875
65,-0.055419922
66,0.07470703
67,-0.24414062
68,0.111816406
69,0.15917969
70,-0.17871094
71,0.08300781
72,0.084472656
73,-0.0036010742
74,0.014160156
75,-0.36523438
76,0.099121094
77,0.12890625
78,0.123046875
79,0.12158203
80,-0.095214844
81,-0.21777344
82,-0.16992188
83,0.016601562
84,-0.22363281
85,0.0079956055
86,-0.45117188
87,-0.11767578
88,0.16113281
89,-0.08544922
90,0.076171875
91,0.24511719
92,-0.08642578
93,-0.16992188
94,-0.04345703
95,0.048583984
96,-0.037597656
97,-0.057617188
98,-0.028442383
99,-0.16699219
100,-0.390625
101,0.10986328
102,-0.12792969
103,0.063964844
104,-0.02758789
105,0.053466797
106,0.022338867
107,-0.34570312
108,-0.05908203
109,0.07128906
110,-0.18457031
111,-0.21484375
112,-0.16992188
113,-0.078125
114,0.12597656
115,0.11621094
116,-0.20898438
117,-0.03515625
118,0.18359375
119,0.10888672
120,-0.15332031
121,-0.05078125
122,0.036621094
123,-0.14355469
124,-0.099121094
125,-0.0625
126,-0.20019531
127,-0.021118164
128,-0.21484375
129,0.053466797
130,-0.07421875
131,0.075683594
132,-0.039794922
133,-0.16699219
134,-0.21679688
135,-0.057128906
136,-0.18066406
137,-0.14550781
138,0.1328125
139,0.22265625
140,-0.11035156
141,0.12451172
142,-0.13378906
143,0.2421875
144,0.071777344
145,-0.083984375
146,-0.17382812
147,-0.057861328
148,-0.24023438
149,-0.15039062
150,0.29101562
151,-0.29296875
152,0.16699219
153,0.15332031
154,-0.11328125
155,-0.19140625
156,-0.3671875
157,-0.16601562
158,0.01940918
159,0.013244629
160,-0.24121094
161,-0.043945312
162,-0.052246094
163,0.047851562
164,0.022338867
165,-0.02709961
166,0.020507812
167,0.15136719
168,0.28320312
169,0.08251953
170,0.038330078
171,0.3515625
172,0.24511719
173,-0.3203125
174,0.011413574
175,-0.25585938
176,0.14746094
177,-0.16894531
178,0.119140625
179,-0.2734375
180,0.020019531
181,-0.31835938
182,-0.3125
183,-0.04248047
184,0.04272461
185,-0.49804688
186,0.35546875
187,-0.07519531
188,-0.08935547
189,-0.026855469
190,-0.18066406
191,-0.3515625
192,-0.16308594
193,0.056152344
194,0.24902344
195,0.3046875
196,-0.15234375
197,-0.3125
198,-0.01977539
199,0.10595703
200,0.095214844
201,0.087402344
202,0.23730469
203,0.08935547
204,-0.34179688
205,-0.06542969
206,-0.0146484375
207,-0.35351562
208,-0.29492188
209,-0.12158203
210,0.06640625
211,0.13769531
212,0.037109375
213,0.106933594
214,0.17675781
215,-0.17675781
216,0.08544922
217,0.23339844
218,0.075683594
219,-0.07910156
220,-0.099609375
221,-0.13867188
222,0.061035156
223,-0.35546875
224,0.15820312
225,-0.3046875
226,-0.029296875
227,0.19628906
228,0.17089844
229,-0.29492188
230,-0.026855469
231,-0.234375
232,-0.050048828
233,-0.35742188
234,0.017211914
235,0.076171875
236,-0.07080078
237,0.11669922
238,-0.063964844
239,-0.025756836
240,0.28125
241,-0.33398438
242,-0.1640625
243,0.25
244,-0.32226562
245,0.11767578
246,-0.4296875
247,0.08496094
248,-0.037109375
249,-0.18261719
250,-0.32617188
251,-0.12207031
252,-0.14355469
253,-0.2109375
254,-0.07421875
255,-0.09765625
256,0.4765625
257,0.03173828
258,0.0154418945
259,0.044189453
260,0.17089844
261,-0.040771484
262,0.515625
263,0.0390625
264,0.21484375
265,-0.06298828
266,-0.34960938
267,-0.27539062
268,0.26171875
269,0.22558594
270,0.07324219
271,0.15722656
272,0.19335938
273,-0.265625
274,0.118652344
275,0.28320312
276,-0.07080078
277,0.25195312
278,-0.28125
279,-0.28515625
280,0.08691406
281,-0.095214844
282,0.19042969
283,0.027954102
284,-0.17578125
285,0.21386719
286,-0.296875
287,0.07910156
288,-0.020751953
289,0.1484375
290,-0.06689453
291,-0.14355469
292,-0.14160156
293,0.13769531
294,-0.02746582
295,-0.12695312
296,-0.29492188
297,-0.099121094
298,0.036132812
299,0.30273438
