,Kazakhstan
0,-0.27148438
1,-0.07128906
2,0.018066406
3,0.04272461
4,-0.052490234
5,-0.05053711
6,0.15722656
7,-0.08935547
8,-0.099121094
9,0.017456055
10,0.043701172
11,0.104003906
12,0.030395508
13,0.08154297
14,-0.14941406
15,-0.10449219
16,-0.39453125
17,0.19238281
18,0.115722656
19,0.0703125
20,0.20214844
21,-0.30078125
22,0.0064697266
23,0.05834961
24,0.19238281
25,0.041748047
26,-0.21289062
27,-0.09472656
28,-0.14453125
29,0.35351562
30,-0.38671875
31,-0.30664062
32,0.018554688
33,-0.07763672
34,-0.07128906
35,-0.041748047
36,-0.22167969
37,0.17382812
38,0.25976562
39,0.0030975342
40,0.045898438
41,0.010253906
42,0.296875
43,0.2421875
44,0.27148438
45,0.02709961
46,-0.09082031
47,0.000541687
48,-0.0017242432
49,-0.05102539
50,-0.11279297
51,-0.09472656
52,0.060546875
53,0.30664062
54,-0.18261719
55,0.12890625
56,-0.47851562
57,-0.010314941
58,-0.13183594
59,-0.35546875
60,0.20410156
61,-0.27539062
62,0.22070312
63,0.099121094
64,0.07373047
65,-0.107910156
66,0.2734375
67,-0.14550781
68,0.22851562
69,0.22851562
70,-0.25390625
71,-0.15039062
72,-0.19335938
73,-0.09814453
74,-0.28320312
75,-0.375
76,0.049072266
77,0.1875
78,-0.15332031
79,0.33007812
80,-0.25585938
81,-0.21777344
82,0.05444336
83,-0.18652344
84,0.08642578
85,-0.26953125
86,-0.0625
87,-0.20410156
88,0.001663208
89,0.27929688
90,0.23730469
91,-0.21484375
92,-0.16113281
93,0.13769531
94,-0.06298828
95,-0.34570312
96,-0.18261719
97,0.091308594
98,0.091308594
99,-0.123046875
100,-0.075683594
101,0.0703125
102,-0.18847656
103,-0.02722168
104,0.18652344
105,0.099121094
106,0.21875
107,-0.083984375
108,-0.095214844
109,0.11621094
110,0.03100586
111,0.09277344
112,-0.14648438
113,-0.20800781
114,-0.13378906
115,0.13671875
116,0.050048828
117,0.07910156
118,0.32421875
119,0.10253906
120,-0.32617188
121,-0.22851562
122,-0.18261719
123,0.23632812
124,-0.013366699
125,0.049560547
126,-0.044677734
127,0.21972656
128,-0.44140625
129,0.049560547
130,-0.2734375
131,0.265625
132,-0.13085938
133,-0.07421875
134,-0.34960938
135,0.1015625
136,-0.09082031
137,0.20605469
138,-0.1640625
139,0.044921875
140,0.24023438
141,-0.21191406
142,0.13574219
143,0.22070312
144,0.047851562
145,0.037597656
146,-0.31054688
147,0.15820312
148,-0.103027344
149,0.21289062
150,0.35742188
151,-0.15820312
152,0.19042969
153,-0.044677734
154,0.16015625
155,0.053710938
156,-0.125
157,0.08984375
158,0.1015625
159,-0.099121094
160,-0.40039062
161,0.1796875
162,0.14746094
163,0.045898438
164,0.36328125
165,-0.1640625
166,0.07519531
167,0.265625
168,-0.016845703
169,0.25976562
170,-0.5078125
171,0.2578125
172,0.061523438
173,0.20605469
174,0.27734375
175,-0.18847656
176,0.125
177,-0.27539062
178,0.024658203
179,-0.56640625
180,0.12695312
181,-0.24902344
182,-0.19824219
183,-0.033691406
184,0.14746094
185,0.055419922
186,-0.0234375
187,0.09765625
188,0.038085938
189,0.07714844
190,-0.18164062
191,-0.043701172
192,-0.07763672
193,0.23632812
194,0.019897461
195,0.0068359375
196,-0.2578125
197,0.040283203
198,-0.10546875
199,-0.13476562
200,0.2734375
201,0.0154418945
202,-0.08935547
203,-0.068359375
204,-0.10986328
205,-0.011352539
206,-0.1796875
207,-0.056152344
208,-0.25195312
209,0.068847656
210,0.0703125
211,0.017822266
212,-0.076171875
213,0.06298828
214,0.047851562
215,0.12109375
216,-0.095703125
217,0.22753906
218,0.265625
219,-0.12890625
220,-0.21875
221,-0.07470703
222,0.115722656
223,-0.234375
224,0.09765625
225,-0.05859375
226,0.043945312
227,0.07519531
228,0.45507812
229,-0.30664062
230,0.12988281
231,0.032958984
232,0.24414062
233,0.020874023
234,-0.024780273
235,0.41992188
236,-0.16503906
237,-0.18261719
238,0.061767578
239,-0.114746094
240,0.055908203
241,0.039794922
242,-0.08154297
243,-0.029174805
244,0.040527344
245,-0.13183594
246,0.10498047
247,-0.07910156
248,-0.04296875
249,-0.14746094
250,0.12890625
251,-0.021850586
252,0.21289062
253,0.08691406
254,0.037353516
255,0.3671875
256,0.076660156
257,-0.023925781
258,0.064453125
259,-0.12695312
260,0.07421875
261,0.060302734
262,0.13476562
263,0.20410156
264,0.65234375
265,0.071777344
266,-0.041503906
267,-0.18457031
268,-0.049560547
269,0.16601562
270,-0.028076172
271,0.06933594
272,0.033447266
273,-0.26171875
274,0.008361816
275,0.2890625
276,0.17578125
277,0.017822266
278,-0.2734375
279,0.31054688
280,0.27734375
281,0.12158203
282,-0.12011719
283,0.037841797
284,-0.37695312
285,-0.18554688
286,-0.20214844
287,0.063964844
288,0.08544922
289,0.265625
290,-0.014465332
291,0.055664062
292,-0.067871094
293,0.0020751953
294,0.28515625
295,0.06591797
296,-0.07763672
297,0.005584717
298,-0.025756836
299,0.15527344
