,St._Lucia
0,-0.14355469
1,-0.19628906
2,-0.033691406
3,0.029663086
4,-0.060791016
5,0.42773438
6,0.18945312
7,-0.33203125
8,0.015625
9,-0.08642578
10,-0.014953613
11,-0.22167969
12,0.41210938
13,-0.1015625
14,0.46484375
15,-0.03100586
16,-0.10253906
17,0.16113281
18,-0.15527344
19,0.5390625
20,0.10253906
21,0.009277344
22,0.25195312
23,-0.091796875
24,0.059326172
25,0.39453125
26,0.12158203
27,-0.13476562
28,0.08691406
29,0.42773438
30,0.18554688
31,-0.21875
32,-0.31640625
33,0.23828125
34,0.052978516
35,-0.2109375
36,-0.25195312
37,-0.04638672
38,-0.20996094
39,0.07763672
40,0.037597656
41,0.16796875
42,0.30078125
43,0.4140625
44,-0.018920898
45,-0.23632812
46,-0.25195312
47,-0.296875
48,0.29492188
49,0.039794922
50,0.2109375
51,-0.091796875
52,0.30859375
53,-0.107910156
54,0.02709961
55,0.10986328
56,-0.38085938
57,-0.16308594
58,-0.29296875
59,-0.011169434
60,-0.118652344
61,0.13085938
62,0.12060547
63,0.26367188
64,0.24511719
65,-0.03515625
66,0.0031585693
67,0.09814453
68,-0.0040893555
69,0.0023956299
70,-0.17285156
71,-0.1015625
72,0.018920898
73,0.08251953
74,-0.021240234
75,0.053466797
76,-0.06982422
77,-0.035888672
78,0.057373047
79,0.0390625
80,-0.28710938
81,0.15234375
82,0.022094727
83,-0.32421875
84,0.009643555
85,-0.22460938
86,-0.099121094
87,0.34765625
88,0.40625
89,0.09472656
90,0.13476562
91,0.15136719
92,-0.18652344
93,-0.039794922
94,-0.15820312
95,0.15722656
96,0.30273438
97,-0.29882812
98,-0.14746094
99,-0.19238281
100,0.014709473
101,0.359375
102,0.123046875
103,-0.17285156
104,0.088378906
105,-0.03515625
106,-0.0062561035
107,-0.17773438
108,0.23632812
109,0.1796875
110,-0.27148438
111,0.37695312
112,0.012939453
113,-0.16015625
114,0.057861328
115,-0.21582031
116,0.12890625
117,-0.15039062
118,0.421875
119,0.051757812
120,-0.08544922
121,-0.19433594
122,0.19238281
123,0.10253906
124,0.35546875
125,0.27734375
126,0.064941406
127,-0.034179688
128,-0.067871094
129,0.4296875
130,-0.18847656
131,0.17871094
132,-0.22363281
133,-0.25585938
134,-0.44335938
135,-0.15332031
136,-0.19433594
137,0.22363281
138,0.115234375
139,-0.076171875
140,-0.25585938
141,0.048583984
142,0.026855469
143,-0.026489258
144,0.25195312
145,0.29882812
146,0.020874023
147,-0.16015625
148,-0.021850586
149,0.17480469
150,-0.012512207
151,-0.06738281
152,0.0070495605
153,-0.13964844
154,0.25195312
155,-0.14257812
156,-0.025268555
157,0.11816406
158,0.24804688
159,0.06982422
160,-0.609375
161,0.2890625
162,0.09277344
163,0.24414062
164,0.05444336
165,-0.12890625
166,0.114746094
167,0.034423828
168,-0.07128906
169,-0.02331543
170,0.012878418
171,0.28320312
172,0.04272461
173,-0.25195312
174,-0.43945312
175,-0.026977539
176,0.05517578
177,-0.27929688
178,-0.140625
179,0.022583008
180,-0.22265625
181,0.036132812
182,0.043701172
183,-0.11376953
184,-0.20507812
185,-0.13378906
186,0.171875
187,-0.3046875
188,0.47070312
189,0.009338379
190,0.099609375
191,0.057373047
192,-0.087402344
193,-0.01965332
194,0.103027344
195,0.60546875
196,0.0703125
197,0.15429688
198,0.0023651123
199,-0.13964844
200,0.12988281
201,-0.13574219
202,-0.012084961
203,-0.115722656
204,0.056152344
205,-0.13085938
206,0.28320312
207,-0.021972656
208,-0.08642578
209,0.09277344
210,-0.22851562
211,-0.2265625
212,-0.095214844
213,0.33984375
214,-0.15234375
215,-0.010314941
216,0.034423828
217,0.03564453
218,0.030029297
219,0.061035156
220,0.15820312
221,0.051513672
222,-0.061279297
223,-0.123535156
224,-0.08886719
225,0.048339844
226,0.11621094
227,0.18359375
228,0.32421875
229,0.05834961
230,-0.14648438
231,0.09765625
232,-0.003616333
233,-0.064453125
234,0.17285156
235,0.27148438
236,0.1953125
237,-0.11279297
238,-0.036865234
239,0.28710938
240,0.008911133
241,0.12158203
242,-0.06591797
243,-0.37304688
244,0.18652344
245,-0.09863281
246,-0.04345703
247,0.068359375
248,0.15429688
249,-0.29492188
250,-0.09375
251,0.12988281
252,0.07763672
253,0.12109375
254,0.05102539
255,0.13769531
256,0.07861328
257,0.17382812
258,0.07470703
259,0.08935547
260,0.10546875
261,0.26757812
262,0.10986328
263,-0.013793945
264,-0.0009384155
265,-0.3046875
266,-0.30078125
267,0.104003906
268,0.16308594
269,-0.048095703
270,-0.033935547
271,0.25195312
272,0.17382812
273,0.38085938
274,0.107421875
275,0.106933594
276,-0.09423828
277,-0.07714844
278,-0.029663086
279,0.04248047
280,-0.08496094
281,-0.095214844
282,0.27734375
283,-0.13867188
284,-0.28320312
285,-0.11230469
286,-0.25585938
287,-0.06591797
288,-0.08251953
289,0.2734375
290,0.083496094
291,0.123046875
292,-0.118652344
293,-0.11621094
294,-0.30078125
295,0.123535156
296,-0.26171875
297,0.24609375
298,0.24316406
299,0.21679688
