,Cape_Verde
0,0.008178711
1,0.12890625
2,0.010803223
3,0.022460938
4,-0.068359375
5,-0.26757812
6,-0.072265625
7,-0.2265625
8,-0.17285156
9,-0.09423828
10,0.44335938
11,-0.26953125
12,-0.13867188
13,0.16894531
14,0.36328125
15,0.22265625
16,0.015014648
17,0.265625
18,-0.14160156
19,0.3984375
20,0.22363281
21,-0.46289062
22,0.125
23,-0.07373047
24,0.13476562
25,0.10449219
26,0.13183594
27,-0.032470703
28,-0.088378906
29,0.26953125
30,-0.060546875
31,-0.24121094
32,-0.20898438
33,-0.140625
34,0.026489258
35,-0.016601562
36,-0.359375
37,0.09375
38,-0.19238281
39,-0.21582031
40,0.024780273
41,0.01928711
42,0.04663086
43,0.4921875
44,0.08300781
45,-0.011962891
46,-0.265625
47,-0.359375
48,-0.060302734
49,0.11767578
50,0.119140625
51,0.26953125
52,0.25585938
53,-0.31445312
54,0.03466797
55,0.14160156
56,-0.6484375
57,-0.067871094
58,-0.16503906
59,0.037841797
60,-0.051757812
61,-0.104003906
62,0.05883789
63,0.043945312
64,0.29296875
65,-0.01965332
66,-0.16210938
67,-0.38867188
68,-0.038085938
69,-0.041259766
70,-0.19726562
71,-0.22753906
72,-0.048828125
73,0.014709473
74,-0.29882812
75,0.29296875
76,0.10839844
77,-0.010559082
78,-0.10986328
79,0.20117188
80,-0.21777344
81,-0.21289062
82,-0.20507812
83,-0.064453125
84,0.10888672
85,0.15136719
86,-0.114746094
87,0.0703125
88,0.32421875
89,0.25195312
90,0.118652344
91,-0.25390625
92,-0.43164062
93,0.21972656
94,0.080566406
95,-0.31835938
96,0.23632812
97,-0.17089844
98,0.09814453
99,-0.11621094
100,-0.034423828
101,0.10546875
102,0.068847656
103,0.10595703
104,-0.22265625
105,0.19628906
106,0.052246094
107,-0.63671875
108,0.12792969
109,0.13183594
110,-0.048339844
111,0.24511719
112,-0.007751465
113,-0.25976562
114,-0.29882812
115,-0.010070801
116,0.15527344
117,-0.015625
118,0.15234375
119,-0.22753906
120,-0.11376953
121,-0.067871094
122,0.016723633
123,-0.09423828
124,0.096191406
125,0.12695312
126,-0.17382812
127,0.029174805
128,-0.546875
129,0.08691406
130,-0.12011719
131,0.0028839111
132,0.006286621
133,-0.1015625
134,-0.15136719
135,-0.234375
136,-0.484375
137,-0.080078125
138,0.017700195
139,0.12158203
140,-0.25
141,-0.06591797
142,-0.27148438
143,0.16699219
144,-0.018188477
145,0.14941406
146,-0.06933594
147,0.008361816
148,0.15722656
149,-0.1484375
150,0.04663086
151,-0.10595703
152,-0.10205078
153,0.26757812
154,0.38867188
155,-0.15136719
156,-0.25585938
157,0.06591797
158,0.20117188
159,-0.052978516
160,-0.26757812
161,0.17382812
162,0.052246094
163,-0.013549805
164,0.37109375
165,-0.04736328
166,-0.25976562
167,0.24511719
168,-0.030517578
169,0.08251953
170,-0.21289062
171,0.41210938
172,-0.026367188
173,0.10107422
174,-0.12988281
175,0.060302734
176,-0.22460938
177,-0.54296875
178,0.09326172
179,0.061523438
180,-0.021118164
181,-0.29882812
182,-0.171875
183,0.29101562
184,-0.29101562
185,0.24804688
186,0.031982422
187,-0.26171875
188,0.28515625
189,-0.06982422
190,0.050048828
191,-0.11425781
192,0.061035156
193,-0.0022888184
194,0.053955078
195,0.625
196,0.16308594
197,0.056152344
198,-0.21289062
199,-0.4375
200,0.39453125
201,0.107421875
202,-0.0038909912
203,-0.123535156
204,-0.10205078
205,-0.08496094
206,0.10449219
207,-0.004058838
208,-0.15136719
209,-0.234375
210,-0.11230469
211,-0.09423828
212,-0.14550781
213,0.234375
214,-0.2578125
215,0.083496094
216,0.36523438
217,-0.083496094
218,-0.13964844
219,-0.061767578
220,0.0859375
221,0.33789062
222,-0.10546875
223,-0.008483887
224,-0.24511719
225,-0.19140625
226,0.3359375
227,0.21386719
228,0.36328125
229,0.036621094
230,-0.030761719
231,-0.13476562
232,-0.051757812
233,-0.21582031
234,0.076171875
235,0.4765625
236,-0.11621094
237,-0.07080078
238,-0.23144531
239,-0.107421875
240,0.10107422
241,-0.22363281
242,-0.09423828
243,0.0099487305
244,0.08154297
245,-0.20605469
246,0.014953613
247,-0.123535156
248,0.18359375
249,-0.076171875
250,0.04296875
251,0.33203125
252,-0.017211914
253,0.14453125
254,0.41796875
255,-0.064941406
256,0.31054688
257,0.018554688
258,0.19042969
259,0.13867188
260,0.18945312
261,0.18457031
262,0.0016021729
263,0.20898438
264,0.34179688
265,0.00090789795
266,-0.34960938
267,-0.29882812
268,-0.25195312
269,0.107421875
270,-0.12695312
271,0.06982422
272,0.21875
273,0.076660156
274,0.057617188
275,0.21582031
276,-0.06933594
277,-0.171875
278,-0.048339844
279,0.16601562
280,-0.33203125
281,-0.19238281
282,0.020263672
283,-0.171875
284,-0.5703125
285,-0.1875
286,-0.31445312
287,0.17285156
288,-0.14550781
289,0.09326172
290,0.052734375
291,0.24316406
292,-0.10449219
293,-0.16113281
294,0.31640625
295,0.3984375
296,-0.052246094
297,-0.16015625
298,0.033691406
299,0.19042969
