,Colombia
0,-0.030761719
1,-0.12011719
2,0.15625
3,0.2890625
4,0.09423828
5,-0.25195312
6,-0.13964844
7,-0.25976562
8,-0.140625
9,0.041992188
10,-0.039794922
11,-0.057617188
12,0.15429688
13,0.02734375
14,0.26953125
15,0.03149414
16,-0.051513672
17,0.27148438
18,0.1953125
19,0.029541016
20,0.26757812
21,-0.10253906
22,-0.20214844
23,0.099121094
24,0.13964844
25,0.051757812
26,-0.12011719
27,-0.16699219
28,-0.092285156
29,0.3359375
30,0.21777344
31,-0.28320312
32,-0.25
33,-0.19433594
34,-0.16210938
35,0.16015625
36,-0.23632812
37,-0.14648438
38,0.13964844
39,-0.20898438
40,0.064941406
41,0.07763672
42,0.056884766
43,0.19140625
44,0.008911133
45,0.34375
46,0.06542969
47,-0.09814453
48,0.30859375
49,0.33789062
50,-0.16113281
51,-0.13671875
52,0.07324219
53,-0.234375
54,-0.14257812
55,0.100097656
56,-0.3203125
57,-0.00592041
58,-0.088378906
59,0.25390625
60,-0.13183594
61,0.18066406
62,-0.036621094
63,0.12109375
64,-0.041992188
65,-0.29296875
66,-0.028930664
67,-0.296875
68,-0.22753906
69,-0.10449219
70,-0.2734375
71,0.083984375
72,0.18945312
73,0.030517578
74,0.032226562
75,0.0008392334
76,0.33007812
77,-0.09814453
78,-0.07519531
79,0.20703125
80,-0.36523438
81,0.11669922
82,-0.037353516
83,-0.043701172
84,-0.17089844
85,-0.6484375
86,0.07373047
87,0.29296875
88,0.08642578
89,0.092285156
90,0.12158203
91,0.11376953
92,-0.36132812
93,-0.12988281
94,-0.15039062
95,-0.20410156
96,-0.020263672
97,-0.103027344
98,0.30664062
99,0.03930664
100,-0.12597656
101,0.03540039
102,-0.14257812
103,-0.37890625
104,0.20214844
105,-0.08154297
106,0.23046875
107,-0.24707031
108,-0.42578125
109,0.26367188
110,-0.04711914
111,-0.037109375
112,0.014587402
113,-0.2265625
114,0.021972656
115,0.33984375
116,-0.14355469
117,0.04345703
118,0.34570312
119,0.19628906
120,-0.05444336
121,-0.38085938
122,-0.052490234
123,-0.0034484863
124,0.083496094
125,-0.048583984
126,-0.08203125
127,-0.09765625
128,-0.30859375
129,0.021484375
130,-0.25195312
131,0.071777344
132,-0.060058594
133,0.059326172
134,-0.15039062
135,-0.12451172
136,-0.2890625
137,-0.19726562
138,0.088378906
139,-0.07763672
140,-0.15527344
141,-0.40234375
142,-0.044921875
143,0.100097656
144,-0.15039062
145,-0.09814453
146,0.018554688
147,0.080566406
148,-0.1484375
149,-0.076171875
150,0.375
151,-0.5625
152,-0.059570312
153,-0.087402344
154,0.10253906
155,-0.052246094
156,-0.44140625
157,0.24902344
158,0.05810547
159,0.20703125
160,-0.057373047
161,0.140625
162,-0.118652344
163,0.203125
164,0.038085938
165,-0.052978516
166,0.008544922
167,-0.087402344
168,0.265625
169,0.1640625
170,-0.14550781
171,0.42773438
172,0.21484375
173,-0.22265625
174,-0.12402344
175,-0.076660156
176,0.012817383
177,-0.20996094
178,-0.24609375
179,-0.061035156
180,-0.33203125
181,-0.33398438
182,-0.107421875
183,0.12207031
184,0.18457031
185,-0.22265625
186,0.10205078
187,-0.13671875
188,-0.022338867
189,0.0390625
190,-0.22265625
191,-0.24316406
192,-0.048095703
193,-0.41015625
194,0.1796875
195,0.41210938
196,0.024536133
197,-0.16699219
198,-0.11328125
199,-0.123535156
200,0.18652344
201,0.099121094
202,0.053466797
203,0.037597656
204,0.13769531
205,0.10449219
206,0.012023926
207,-0.14453125
208,-0.13964844
209,0.06738281
210,-0.03173828
211,-0.15917969
212,-0.09814453
213,0.10986328
214,-0.087402344
215,0.107421875
216,-0.24316406
217,-0.026245117
218,-0.20117188
219,0.018310547
220,-0.22753906
221,-0.31835938
222,-0.2578125
223,-0.068359375
224,-0.14257812
225,-0.10449219
226,0.18554688
227,0.13574219
228,0.33984375
229,0.18945312
230,-0.095214844
231,0.037353516
232,0.02331543
233,0.14746094
234,0.029418945
235,0.27539062
236,-0.27539062
237,-0.041992188
238,0.09082031
239,-0.25195312
240,-0.21777344
241,-0.16894531
242,-0.14257812
243,0.13476562
244,-0.15136719
245,0.22949219
246,-0.26367188
247,-0.16210938
248,-0.10888672
249,0.12695312
250,-0.14160156
251,-0.035888672
252,0.08642578
253,0.011962891
254,0.16113281
255,0.110839844
256,0.24414062
257,0.059814453
258,-0.012756348
259,-0.04345703
260,0.12207031
261,0.24511719
262,0.3125
263,0.26171875
264,0.19824219
265,-0.10595703
266,-0.328125
267,-0.00061798096
268,-0.12988281
269,-0.21386719
270,-0.10839844
271,0.57421875
272,0.13085938
273,-0.19433594
274,0.033691406
275,0.12890625
276,-0.22070312
277,0.068847656
278,-0.10253906
279,0.0154418945
280,0.15039062
281,-0.09716797
282,-0.016113281
283,0.023925781
284,-0.25585938
285,-0.296875
286,-0.29882812
287,0.014953613
288,0.21289062
289,-0.025268555
290,0.05053711
291,-0.17089844
292,-0.375
293,-0.13183594
294,0.021240234
295,0.20898438
296,0.056152344
297,-0.07373047
298,0.15722656
299,-0.10449219
