,Jersey
0,-0.111816406
1,0.28710938
2,-0.5703125
3,-0.068359375
4,-0.37109375
5,-0.15722656
6,-0.265625
7,0.015014648
8,0.10644531
9,0.034423828
10,-0.09472656
11,0.046875
12,-0.024780273
13,-0.007080078
14,0.15527344
15,0.28320312
16,-0.04663086
17,0.24609375
18,-0.0066223145
19,0.04272461
20,0.012084961
21,-0.16796875
22,-0.028564453
23,0.123046875
24,-0.018310547
25,0.035888672
26,-0.22460938
27,0.20605469
28,-0.25390625
29,0.08691406
30,0.12158203
31,0.38085938
32,-0.045166016
33,-0.100097656
34,0.10253906
35,-0.018554688
36,0.13964844
37,0.05859375
38,-0.2265625
39,0.15332031
40,-0.012084961
41,-0.20410156
42,-0.25976562
43,-0.14257812
44,-0.22265625
45,-0.16796875
46,0.21972656
47,-0.023803711
48,-0.12597656
49,0.05883789
50,-0.09716797
51,0.24707031
52,0.21875
53,0.00018405914
54,0.20898438
55,0.2734375
56,-0.012756348
57,0.011230469
58,-0.17675781
59,-0.32226562
60,-0.23535156
61,-0.16503906
62,0.18554688
63,-0.034423828
64,0.25390625
65,0.0625
66,-0.46484375
67,-0.012023926
68,-0.1875
69,-0.05810547
70,-0.043701172
71,0.12695312
72,-0.34570312
73,-0.00025177002
74,0.17382812
75,0.07861328
76,0.024902344
77,-0.010986328
78,0.27539062
79,-0.02734375
80,-0.25585938
81,-0.1328125
82,0.11425781
83,-0.08203125
84,0.13867188
85,0.05834961
86,0.008605957
87,0.037109375
88,0.16992188
89,-0.23144531
90,0.048828125
91,0.11767578
92,-0.05419922
93,-0.33398438
94,-0.072265625
95,0.1875
96,0.25
97,-0.07861328
98,-0.390625
99,0.34960938
100,-0.045654297
101,-0.032226562
102,-0.07470703
103,-0.115234375
104,-0.1953125
105,-0.43945312
106,0.10839844
107,-0.12695312
108,-0.29492188
109,-0.063964844
110,0.03540039
111,0.047851562
112,-0.099121094
113,0.16308594
114,-0.026611328
115,0.0038757324
116,0.013366699
117,-0.16992188
118,0.17578125
119,0.08691406
120,-0.20703125
121,-0.36914062
122,-0.28320312
123,-0.15722656
124,0.2890625
125,-0.23632812
126,-0.27148438
127,-0.080078125
128,-0.5078125
129,0.14257812
130,-0.21582031
131,-0.009887695
132,-0.016723633
133,-0.036132812
134,-0.07470703
135,-0.10449219
136,0.091308594
137,0.095214844
138,0.03491211
139,0.10888672
140,0.067871094
141,-0.12890625
142,0.36914062
143,0.13574219
144,0.13378906
145,0.025878906
146,-0.115234375
147,-0.15332031
148,0.16796875
149,0.31054688
150,-0.095214844
151,-0.10058594
152,0.010131836
153,0.27734375
154,-0.020507812
155,-0.14648438
156,-0.030883789
157,0.16210938
158,0.22167969
159,-0.041748047
160,0.015136719
161,-0.06201172
162,0.26171875
163,0.015563965
164,-0.119628906
165,-0.48242188
166,-0.24511719
167,-0.14746094
168,0.15917969
169,0.17285156
170,-0.41015625
171,-0.23535156
172,0.002456665
173,-0.08154297
174,-0.2890625
175,-0.06347656
176,-0.068847656
177,0.09765625
178,-0.012573242
179,-0.08935547
180,0.20410156
181,-0.19238281
182,0.12597656
183,-0.12402344
184,0.021728516
185,-0.21484375
186,-0.07128906
187,-0.1015625
188,0.14550781
189,-0.21875
190,-0.06982422
191,-0.42773438
192,0.2578125
193,0.12890625
194,-0.040771484
195,0.11621094
196,-0.01184082
197,0.013244629
198,0.19628906
199,-0.08496094
200,0.22265625
201,-0.06933594
202,-0.18261719
203,0.039794922
204,-0.28710938
205,-0.15234375
206,-0.19726562
207,0.115234375
208,-0.19042969
209,-0.048095703
210,-0.296875
211,-0.20019531
212,0.071777344
213,0.31054688
214,0.05493164
215,0.13476562
216,0.056396484
217,0.018554688
218,0.15234375
219,-0.16992188
220,0.04248047
221,0.08984375
222,0.08300781
223,-0.40234375
224,-0.34960938
225,0.18359375
226,0.083496094
227,0.23144531
228,-0.25585938
229,-0.31640625
230,-0.30859375
231,0.21386719
232,0.009521484
233,-0.07080078
234,-0.19726562
235,-0.23339844
236,0.047607422
237,-0.16503906
238,0.057128906
239,-0.095214844
240,0.15917969
241,-0.4765625
242,-0.083984375
243,0.40429688
244,-0.42382812
245,-0.11669922
246,0.04248047
247,-0.053222656
248,0.053710938
249,-0.039794922
250,0.38085938
251,0.21972656
252,-0.07470703
253,-0.034423828
254,0.36914062
255,0.035888672
256,0.109375
257,0.08886719
258,0.07861328
259,-0.33007812
260,0.109375
261,0.24804688
262,-0.028686523
263,0.032470703
264,0.29492188
265,0.12451172
266,-0.30078125
267,0.17773438
268,-0.13378906
269,-0.11621094
270,-0.115234375
271,0.087890625
272,0.119628906
273,0.10107422
274,0.09277344
275,0.19824219
276,-0.2109375
277,-0.01977539
278,-0.010620117
279,0.09716797
280,-0.15429688
281,-0.06347656
282,0.057373047
283,0.017578125
284,0.032470703
285,-0.096191406
286,-0.35546875
287,0.32226562
288,-0.18945312
289,-0.10205078
290,0.068847656
291,-0.2421875
292,-0.10839844
293,0.1328125
294,-0.171875
295,0.20703125
296,0.084472656
297,-0.25390625
298,-0.16113281
299,-0.28515625
