,Guyana
0,-0.28515625
1,-0.23828125
2,0.20507812
3,0.032714844
4,0.106933594
5,0.06298828
6,-0.18359375
7,-0.17285156
8,-0.15527344
9,-0.3125
10,0.027954102
11,-0.104003906
12,0.2578125
13,-0.13378906
14,0.40429688
15,0.26171875
16,-0.07128906
17,0.21191406
18,0.15917969
19,0.17675781
20,-0.110839844
21,-0.33398438
22,0.03564453
23,0.020996094
24,0.2109375
25,0.13867188
26,-0.087402344
27,-0.15332031
28,-0.17285156
29,0.203125
30,0.09375
31,-0.34179688
32,-0.3125
33,-0.076660156
34,-0.068359375
35,0.10253906
36,-0.24511719
37,-0.13183594
38,0.08984375
39,-0.15820312
40,0.118652344
41,0.27148438
42,0.51953125
43,0.39257812
44,-0.061035156
45,-0.119628906
46,-0.40820312
47,-0.28125
48,0.1484375
49,-0.061279297
50,-0.0020599365
51,-0.22363281
52,0.25390625
53,-0.41210938
54,-0.08691406
55,0.03112793
56,-0.28515625
57,-0.09277344
58,-0.19726562
59,-0.29882812
60,-0.06298828
61,-0.18554688
62,-0.060791016
63,0.08203125
64,0.1015625
65,0.114746094
66,-0.050048828
67,-0.107910156
68,0.011291504
69,0.023803711
70,-0.34375
71,-0.27539062
72,-0.21875
73,-0.13378906
74,-0.078125
75,-0.14746094
76,-0.09082031
77,-0.075683594
78,0.030517578
79,0.1796875
80,-0.26367188
81,0.16308594
82,-0.13183594
83,-0.036132812
84,-0.20117188
85,-0.21191406
86,0.119628906
87,-0.010192871
88,0.29492188
89,0.024169922
90,0.18847656
91,-0.0049438477
92,-0.26757812
93,-0.25585938
94,-0.20410156
95,0.13476562
96,0.31640625
97,-0.25195312
98,0.107421875
99,0.01940918
100,0.04321289
101,0.12597656
102,0.043945312
103,-0.36914062
104,0.11279297
105,-0.09033203
106,0.08251953
107,-0.23730469
108,-0.16699219
109,0.3203125
110,-0.19140625
111,0.3125
112,-0.3359375
113,0.15136719
114,0.040527344
115,0.022949219
116,0.023925781
117,-0.056152344
118,0.35546875
119,0.33398438
120,0.03540039
121,-0.06347656
122,-0.076171875
123,-0.20507812
124,-0.3125
125,0.43359375
126,-0.14550781
127,0.10107422
128,-0.4375
129,0.29101562
130,-0.25195312
131,0.15722656
132,-0.31054688
133,-0.28515625
134,-0.16699219
135,-0.11425781
136,-0.057128906
137,0.12109375
138,0.022949219
139,-0.08300781
140,0.018188477
141,0.15429688
142,-0.057128906
143,0.109375
144,-0.16308594
145,0.15136719
146,-0.111816406
147,-0.063964844
148,0.15917969
149,0.19726562
150,0.056396484
151,-0.48242188
152,0.0003490448
153,0.11230469
154,0.041503906
155,-0.09814453
156,-0.20898438
157,0.13574219
158,0.20703125
159,0.051757812
160,-0.26953125
161,-0.022460938
162,0.007019043
163,0.045898438
164,0.10205078
165,-0.40234375
166,0.04296875
167,-0.10839844
168,0.03173828
169,0.072753906
170,-0.07373047
171,0.4296875
172,0.16015625
173,-0.20800781
174,0.021850586
175,-0.09326172
176,0.1953125
177,-0.33007812
178,-0.10986328
179,-0.19726562
180,-0.01373291
181,0.07910156
182,0.0068359375
183,0.0154418945
184,-0.048583984
185,0.018188477
186,0.08154297
187,-0.12890625
188,0.3984375
189,0.059326172
190,-0.03955078
191,-0.17285156
192,-0.27734375
193,-0.26367188
194,-0.123535156
195,0.3515625
196,0.11425781
197,0.09716797
198,-0.06347656
199,-0.007171631
200,0.123046875
201,-0.020263672
202,-0.002105713
203,-0.091308594
204,0.012939453
205,0.17871094
206,0.11816406
207,0.00089263916
208,-0.28125
209,0.09667969
210,-0.12988281
211,-0.34765625
212,0.010375977
213,0.16796875
214,-0.008117676
215,-0.016357422
216,-0.15722656
217,-0.19726562
218,-0.24316406
219,-0.084472656
220,-0.3046875
221,0.025268555
222,-0.3125
223,0.050048828
224,-0.040283203
225,0.21289062
226,0.234375
227,0.014343262
228,0.15527344
229,0.0076293945
230,0.10205078
231,-0.047851562
232,0.22460938
233,0.14941406
234,-0.009521484
235,0.104003906
236,0.35546875
237,-0.01965332
238,0.08642578
239,0.107910156
240,-0.048095703
241,-0.111816406
242,-0.12597656
243,-0.21777344
244,-0.071777344
245,-0.02722168
246,0.1796875
247,-0.16210938
248,0.24609375
249,0.0859375
250,0.21484375
251,0.29101562
252,0.09326172
253,-0.19726562
254,0.31835938
255,0.07373047
256,-0.1484375
257,-0.044433594
258,-0.009521484
259,-0.036621094
260,0.26171875
261,0.25976562
262,0.03564453
263,0.20898438
264,0.11376953
265,-0.23925781
266,-0.30859375
267,0.20996094
268,-0.12597656
269,0.021972656
270,-0.099609375
271,0.29492188
272,0.20214844
273,0.026245117
274,-0.06933594
275,0.006225586
276,0.014221191
277,-0.203125
278,0.008666992
279,0.029907227
280,-0.10107422
281,-0.35742188
282,0.140625
283,-0.22167969
284,-0.12890625
285,-0.25195312
286,-0.28710938
287,-0.023071289
288,-0.16894531
289,0.026245117
290,-0.037597656
291,-0.203125
292,-0.18261719
293,-0.12988281
294,-0.22753906
295,0.16894531
296,-0.17382812
297,-0.17871094
298,0.28125
299,-0.080078125
