,Somalia
0,0.14550781
1,0.16699219
2,-0.1875
3,0.30078125
4,-0.13183594
5,0.003967285
6,-0.1484375
7,-0.41015625
8,-0.19042969
9,0.11035156
10,-0.032470703
11,-0.09033203
12,0.026367188
13,-0.061767578
14,0.25
15,0.21777344
16,-0.12158203
17,-0.020507812
18,-0.110839844
19,0.1015625
20,0.33789062
21,0.12060547
22,0.17285156
23,-0.26171875
24,0.27539062
25,-0.004547119
26,0.13085938
27,0.359375
28,0.30273438
29,0.083984375
30,-0.040771484
31,-0.17871094
32,-0.16699219
33,-0.059814453
34,-0.36328125
35,-0.17089844
36,-0.44140625
37,0.036621094
38,-0.045654297
39,0.08544922
40,0.1796875
41,0.025024414
42,-0.13183594
43,0.13574219
44,0.12060547
45,0.27539062
46,0.095214844
47,0.049072266
48,0.13476562
49,-0.047851562
50,0.17089844
51,-0.32617188
52,-0.08984375
53,-0.38671875
54,-0.14550781
55,-0.10498047
56,-0.22558594
57,0.32226562
58,-0.2734375
59,-0.47460938
60,-0.0076293945
61,-0.17773438
62,0.07714844
63,0.1328125
64,0.056152344
65,-0.072753906
66,-0.21875
67,-0.23046875
68,-0.18261719
69,-0.024169922
70,-0.13574219
71,0.08642578
72,-0.12207031
73,-0.091308594
74,-0.375
75,-0.55859375
76,-0.20996094
77,-0.12988281
78,0.0068359375
79,0.037353516
80,-0.3359375
81,-0.140625
82,-0.14746094
83,0.026367188
84,-0.091796875
85,-0.23632812
86,0.30078125
87,-0.05834961
88,0.19042969
89,0.042236328
90,-0.103027344
91,-0.09326172
92,-0.42578125
93,-0.024169922
94,0.123535156
95,-0.40039062
96,-0.007019043
97,0.30273438
98,0.1796875
99,0.32421875
100,-0.068359375
101,0.46289062
102,0.15820312
103,-0.16015625
104,-0.2578125
105,0.19042969
106,-0.16699219
107,-0.2421875
108,0.11328125
109,0.34960938
110,0.100097656
111,-0.051513672
112,-0.07470703
113,-0.06640625
114,0.029418945
115,-0.26367188
116,0.123535156
117,0.41210938
118,0.37109375
119,0.087890625
120,-0.54296875
121,0.115722656
122,-0.06982422
123,-0.027709961
124,-0.18261719
125,-0.11425781
126,-0.60546875
127,0.051513672
128,-0.38867188
129,0.203125
130,0.48632812
131,-0.26953125
132,0.1328125
133,0.092285156
134,-0.107421875
135,0.02319336
136,-0.09326172
137,-0.49804688
138,0.02734375
139,0.22558594
140,-0.0546875
141,-0.07373047
142,0.171875
143,-0.16796875
144,0.052978516
145,-0.25
146,-0.0029144287
147,0.22851562
148,0.4765625
149,0.0076293945
150,0.1875
151,-0.091796875
152,-0.10058594
153,0.057373047
154,0.23730469
155,-0.40429688
156,0.1171875
157,0.075683594
158,0.21484375
159,-0.08984375
160,-0.22363281
161,0.10546875
162,-0.03466797
163,-0.111328125
164,-0.14160156
165,-0.34570312
166,0.008056641
167,-0.23632812
168,0.4609375
169,0.5859375
170,-0.026611328
171,0.40820312
172,-0.38476562
173,-0.1796875
174,-0.033935547
175,-0.17578125
176,0.13964844
177,-0.24316406
178,-0.10888672
179,-0.5859375
180,-0.27734375
181,-0.060058594
182,-0.42382812
183,0.07763672
184,-0.34375
185,-0.095703125
186,0.003616333
187,0.111328125
188,0.07861328
189,0.056640625
190,-0.08154297
191,-0.055664062
192,-0.09863281
193,-0.36132812
194,-0.1328125
195,0.48046875
196,0.020507812
197,-0.21386719
198,0.16796875
199,-0.37890625
200,-0.095703125
201,-0.265625
202,0.3359375
203,-0.37109375
204,-0.02758789
205,-0.25195312
206,0.09667969
207,-0.06591797
208,-0.038085938
209,-0.064453125
210,-0.23828125
211,-0.07714844
212,0.020507812
213,-0.0107421875
214,-0.27539062
215,-0.08691406
216,-0.28710938
217,0.12207031
218,0.114746094
219,-0.33203125
220,-0.14648438
221,-0.016479492
222,0.32421875
223,-0.013549805
224,0.1875
225,-0.36132812
226,0.000333786
227,0.33007812
228,0.484375
229,-0.4765625
230,0.20410156
231,-0.20605469
232,0.057861328
233,-0.095214844
234,0.23535156
235,0.27929688
236,0.27539062
237,0.111328125
238,0.10595703
239,-0.27929688
240,0.16601562
241,-0.040527344
242,0.12890625
243,0.16894531
244,0.1484375
245,0.22558594
246,-0.34570312
247,-0.390625
248,0.18847656
249,-0.39648438
250,-0.041748047
251,-0.06933594
252,0.061279297
253,0.10253906
254,0.23730469
255,-0.29882812
256,0.15917969
257,-0.15332031
258,0.13476562
259,0.013977051
260,-0.091308594
261,0.16113281
262,-0.001663208
263,0.08203125
264,-0.21484375
265,0.15625
266,-0.546875
267,-0.49804688
268,-0.3046875
269,-0.2578125
270,0.025390625
271,0.41796875
272,0.375
273,0.15722656
274,0.22265625
275,0.11767578
276,0.06738281
277,0.18261719
278,0.114746094
279,-0.20996094
280,-0.22167969
281,0.008911133
282,0.18164062
283,0.011230469
284,-0.00340271
285,-0.29101562
286,-0.09472656
287,-0.10986328
288,0.053222656
289,0.27148438
290,-0.27148438
291,0.28320312
292,0.13964844
293,0.003967285
294,0.03881836
295,0.3984375
296,-0.15625
297,-0.14746094
298,0.14355469
299,0.12792969
