,Kyrgyzstan
0,-0.14160156
1,-0.24707031
2,0.22460938
3,0.40234375
4,-0.38476562
5,-0.030273438
6,0.060546875
7,-0.17089844
8,-0.15234375
9,-0.05493164
10,0.040283203
11,-0.02746582
12,-0.010864258
13,0.091308594
14,0.19921875
15,-0.22363281
16,-0.5078125
17,0.038085938
18,0.026245117
19,-0.16601562
20,0.3125
21,-0.24609375
22,0.19628906
23,-0.17871094
24,-0.057128906
25,-0.018310547
26,-0.32617188
27,0.20507812
28,-0.17675781
29,0.14453125
30,-0.34179688
31,-0.359375
32,-0.055908203
33,-0.12597656
34,-0.045166016
35,-0.021240234
36,-0.45507812
37,0.07910156
38,0.10498047
39,-0.22949219
40,0.03149414
41,-0.20898438
42,0.45703125
43,0.100097656
44,0.28125
45,-0.14453125
46,-0.0009765625
47,-0.12402344
48,0.18066406
49,0.071777344
50,0.045898438
51,-0.40429688
52,-0.19433594
53,-0.084472656
54,-0.48046875
55,-0.0075683594
56,-0.69921875
57,0.27929688
58,-0.26367188
59,-0.40820312
60,0.29492188
61,-0.12792969
62,0.051513672
63,0.20410156
64,0.16894531
65,-0.38867188
66,0.40820312
67,-0.38867188
68,0.15527344
69,0.04321289
70,-0.25976562
71,-0.16992188
72,-0.19433594
73,-0.15625
74,-0.27734375
75,-0.65625
76,0.265625
77,0.07470703
78,-0.20214844
79,0.24902344
80,-0.3515625
81,-0.087402344
82,0.06591797
83,-0.020019531
84,-0.16601562
85,-0.23925781
86,-0.08886719
87,0.005432129
88,-0.21191406
89,0.40625
90,0.13183594
91,-0.19335938
92,-0.19824219
93,-0.13574219
94,-0.15039062
95,-0.3515625
96,-0.06298828
97,0.06201172
98,0.043701172
99,-0.034179688
100,-0.26953125
101,0.46484375
102,-0.23535156
103,-0.12695312
104,0.109375
105,0.19921875
106,0.0008392334
107,-0.09033203
108,-0.07324219
109,0.19726562
110,0.08691406
111,0.037353516
112,0.028198242
113,-0.26171875
114,-0.115234375
115,-0.21289062
116,-0.012268066
117,0.20507812
118,0.34570312
119,0.109375
120,-0.36523438
121,0.22753906
122,-0.2734375
123,0.18554688
124,0.15136719
125,0.41992188
126,-0.3515625
127,0.38867188
128,-0.33984375
129,0.072265625
130,0.083496094
131,0.043945312
132,0.15039062
133,0.09326172
134,-0.029907227
135,0.045654297
136,-0.3203125
137,-0.18945312
138,-0.041992188
139,0.25585938
140,-0.030761719
141,-0.13964844
142,0.067871094
143,0.36132812
144,0.07861328
145,0.063964844
146,-0.26367188
147,0.23339844
148,-0.038085938
149,-0.106933594
150,0.3828125
151,-0.23730469
152,0.1953125
153,-0.18945312
154,-0.10205078
155,-0.16894531
156,-0.22558594
157,-0.1640625
158,-0.08886719
159,0.22070312
160,-0.51171875
161,0.13964844
162,-0.013183594
163,-0.15234375
164,0.25976562
165,-0.203125
166,0.26757812
167,0.29296875
168,0.25390625
169,0.328125
170,-0.23242188
171,0.17773438
172,0.171875
173,0.29882812
174,0.2890625
175,-0.34765625
176,0.18847656
177,-0.43164062
178,-0.095214844
179,-0.5
180,-0.03955078
181,0.08886719
182,-0.16015625
183,-0.19628906
184,0.100097656
185,-0.10058594
186,-0.09375
187,0.1328125
188,0.23925781
189,0.22851562
190,-0.1875
191,-0.076171875
192,-0.053955078
193,-0.020507812
194,-0.24902344
195,-0.19628906
196,-0.03112793
197,-0.48632812
198,0.003753662
199,-0.16699219
200,-0.036132812
201,-0.060302734
202,0.07080078
203,-0.119628906
204,-0.13574219
205,-0.27148438
206,0.15625
207,-0.119628906
208,-0.22851562
209,-0.049072266
210,-0.02758789
211,0.22265625
212,-0.008911133
213,-0.024658203
214,-0.12695312
215,0.0052490234
216,-0.359375
217,0.11816406
218,-0.056396484
219,-0.12792969
220,-0.12597656
221,0.10888672
222,-0.04321289
223,-0.08984375
224,0.07324219
225,-0.115234375
226,0.25390625
227,0.26757812
228,0.41992188
229,-0.022827148
230,0.125
231,0.31640625
232,0.1953125
233,0.022216797
234,0.030639648
235,0.58984375
236,-0.26367188
237,0.021362305
238,0.34179688
239,-0.11425781
240,0.0066223145
241,-0.1015625
242,-0.12402344
243,0.20996094
244,0.34765625
245,0.20507812
246,-0.20996094
247,-0.35742188
248,-0.04711914
249,-0.13574219
250,-0.09033203
251,0.22949219
252,0.28710938
253,0.044921875
254,0.00680542
255,0.46679688
256,0.16113281
257,0.21289062
258,0.23242188
259,0.03857422
260,-0.020141602
261,0.11279297
262,0.087890625
263,0.09326172
264,0.17773438
265,0.033203125
266,-0.16601562
267,-0.20507812
268,-0.075683594
269,-0.0064086914
270,0.1171875
271,0.38671875
272,-0.020385742
273,-0.28515625
274,-0.044433594
275,0.34765625
276,0.30859375
277,-0.020019531
278,-0.01977539
279,0.17089844
280,0.30664062
281,0.19042969
282,-0.017944336
283,0.12792969
284,0.10058594
285,-0.34570312
286,-0.11767578
287,-0.022216797
288,0.05419922
289,0.1796875
290,-0.13085938
291,0.09765625
292,-0.12011719
293,-0.09863281
294,0.34375
295,0.19238281
296,-0.33984375
297,0.34375
298,0.2109375
299,0.30078125
