,Bouvet_Island
0,-0.0072631836
1,-0.06982422
2,-0.013305664
3,-0.024169922
4,0.028564453
5,-0.017089844
6,-0.008911133
7,-0.07373047
8,0.055419922
9,0.052978516
10,0.05859375
11,-0.055908203
12,-0.028808594
13,-0.009216309
14,-0.027709961
15,0.014221191
16,0.028686523
17,0.01928711
18,-0.013427734
19,0.015258789
20,0.009094238
21,0.06225586
22,-0.0021362305
23,-0.0072631836
24,0.044921875
25,-0.08984375
26,-0.03100586
27,0.078125
28,0.04296875
29,0.032226562
30,0.064941406
31,0.0134887695
32,-0.05126953
33,-0.010681152
34,-0.05078125
35,-0.053466797
36,-0.06347656
37,-0.0099487305
38,0.043701172
39,0.111816406
40,0.022460938
41,-0.057617188
42,0.033447266
43,0.07373047
44,0.011291504
45,-0.041748047
46,-0.037597656
47,-0.0071105957
48,0.025268555
49,-0.025390625
50,-0.044433594
51,-0.08300781
52,0.08691406
53,-0.044677734
54,-0.052001953
55,-0.011962891
56,-0.099609375
57,0.0059814453
58,0.025146484
59,-0.123046875
60,-0.025268555
61,-0.07763672
62,0.068359375
63,-0.0234375
64,-0.036132812
65,-0.07421875
66,-0.025146484
67,-0.011047363
68,-0.024658203
69,-0.06298828
70,0.038085938
71,-0.115234375
72,0.043945312
73,0.049316406
74,-0.18359375
75,-0.12158203
76,-0.051757812
77,-0.083984375
78,-0.04736328
79,0.020385742
80,0.057617188
81,-0.030639648
82,0.026977539
83,-0.012878418
84,-0.021972656
85,0.013977051
86,-0.051757812
87,-0.005859375
88,0.096191406
89,0.107910156
90,0.029174805
91,-0.037353516
92,-0.10986328
93,0.038085938
94,-0.042236328
95,0.033447266
96,0.078125
97,-0.0546875
98,0.13183594
99,-0.000166893
100,-0.012634277
101,0.00049972534
102,-0.0625
103,0.040039062
104,-0.041015625
105,0.09423828
106,-0.07470703
107,-0.0045166016
108,0.004699707
109,0.024658203
110,-0.079589844
111,-0.026489258
112,0.016845703
113,-0.041015625
114,-0.071777344
115,0.017089844
116,0.024291992
117,0.12988281
118,0.026611328
119,-0.068847656
120,-0.028686523
121,-0.06640625
122,-0.091308594
123,0.091796875
124,-0.03540039
125,0.05078125
126,-0.020507812
127,0.06201172
128,-0.09423828
129,0.08154297
130,-0.004119873
131,0.07714844
132,0.045654297
133,0.13183594
134,-0.095214844
135,-0.026977539
136,-0.018432617
137,-0.075683594
138,-0.011291504
139,0.10205078
140,0.0017166138
141,-0.019165039
142,0.029541016
143,0.060302734
144,0.017822266
145,0.05053711
146,-0.05493164
147,0.07910156
148,-0.006134033
149,-0.008300781
150,0.041748047
151,-0.033691406
152,-0.0625
153,0.06201172
154,0.025878906
155,-0.04272461
156,-0.0069274902
157,0.05908203
158,0.09423828
159,-0.00390625
160,-0.037109375
161,0.06689453
162,0.063964844
163,-0.0071411133
164,0.10058594
165,0.045898438
166,0.09082031
167,-0.045654297
168,-0.12011719
169,0.11816406
170,0.04711914
171,0.1484375
172,0.028076172
173,-0.057861328
174,-0.045898438
175,0.01574707
176,-0.067871094
177,-0.013122559
178,-0.018432617
179,-0.041503906
180,-0.11767578
181,-0.13867188
182,-0.075683594
183,0.05126953
184,-0.021484375
185,0.084472656
186,0.019897461
187,0.037353516
188,0.011352539
189,0.052978516
190,-0.03857422
191,-0.020751953
192,0.104003906
193,0.08984375
194,0.06738281
195,0.13476562
196,-0.0033416748
197,0.051757812
198,0.020629883
199,-0.063964844
200,0.061035156
201,0.036621094
202,-0.011352539
203,-0.028930664
204,0.038330078
205,0.10986328
206,0.0014266968
207,0.028564453
208,-0.056640625
209,4.6014786e-05
210,-0.01373291
211,0.0079956055
212,0.010253906
213,0.103027344
214,-0.057128906
215,-0.057617188
216,0.06689453
217,-0.017456055
218,0.022705078
219,-0.0037841797
220,0.0703125
221,0.045410156
222,0.011352539
223,-0.03491211
224,-0.029296875
225,0.041992188
226,0.044433594
227,0.07128906
228,-0.040771484
229,0.06201172
230,-0.0011444092
231,-0.029907227
232,0.014282227
233,-0.010803223
234,0.07080078
235,0.07373047
236,-0.013549805
237,-0.005218506
238,0.048095703
239,0.0038146973
240,-0.028808594
241,-0.10595703
242,0.059814453
243,-0.03540039
244,-0.009277344
245,0.003189087
246,0.014099121
247,-0.01184082
248,0.087402344
249,0.030273438
250,-0.01953125
251,0.010986328
252,0.03930664
253,0.10986328
254,0.013183594
255,0.013183594
256,0.08935547
257,-0.06640625
258,0.05883789
259,-0.011291504
260,0.09082031
261,-0.037353516
262,-0.056152344
263,0.06689453
264,0.091308594
265,0.045898438
266,-0.084472656
267,-0.011291504
268,-0.021118164
269,-0.008911133
270,-0.045898438
271,0.024658203
272,-0.011047363
273,0.035888672
274,-0.016235352
275,0.046142578
276,-0.075683594
277,0.011230469
278,-0.05102539
279,-0.0146484375
280,-0.037841797
281,0.0036621094
282,-0.0053710938
283,0.05810547
284,-0.018432617
285,0.003479004
286,-0.084472656
287,0.029541016
288,-0.040771484
289,0.092285156
290,-0.044677734
291,-0.05517578
292,-0.033447266
293,0.068359375
294,0.0087890625
295,0.044921875
296,-0.03515625
297,0.028320312
298,0.119140625
299,-0.0078125
