,Seychelles
0,-0.05029297
1,0.19140625
2,-0.31445312
3,-0.020263672
4,0.012451172
5,-0.13183594
6,-0.09375
7,-0.234375
8,-0.25976562
9,-0.0009994507
10,-0.03564453
11,-0.26953125
12,0.103515625
13,-0.057861328
14,0.33203125
15,0.18261719
16,-0.029296875
17,0.18457031
18,-0.12207031
19,0.41601562
20,0.23828125
21,-0.31054688
22,0.032226562
23,-0.16113281
24,0.5078125
25,-0.02746582
26,0.068847656
27,0.00592041
28,0.19628906
29,0.30078125
30,-0.22558594
31,-0.41796875
32,-0.19042969
33,0.061279297
34,-0.041503906
35,-0.18945312
36,-0.30664062
37,0.01965332
38,0.21777344
39,-0.022949219
40,-0.16601562
41,-0.008911133
42,-0.16894531
43,0.43359375
44,-0.049560547
45,-0.25585938
46,-0.13574219
47,-0.37890625
48,-0.01940918
49,-0.05859375
50,0.17871094
51,-0.0036468506
52,0.33007812
53,-0.49609375
54,-0.24414062
55,-0.04711914
56,-0.60546875
57,-0.16894531
58,-0.17089844
59,-0.1484375
60,-0.00014209747
61,0.044677734
62,0.012023926
63,0.056884766
64,0.22949219
65,-0.11328125
66,-0.14355469
67,-0.28515625
68,0.030517578
69,0.048339844
70,-0.42382812
71,0.076171875
72,-0.061035156
73,0.104003906
74,-0.20800781
75,-0.0390625
76,0.026000977
77,-0.068847656
78,0.095214844
79,0.28710938
80,-0.107910156
81,-0.3046875
82,-0.026489258
83,0.1328125
84,0.06738281
85,-0.04711914
86,-0.26953125
87,-0.18652344
88,0.07763672
89,0.28710938
90,0.24121094
91,0.018676758
92,-0.33203125
93,0.10888672
94,-0.04296875
95,-0.111816406
96,0.35742188
97,-0.22851562
98,0.1875
99,0.033203125
100,0.036621094
101,0.045654297
102,0.16992188
103,0.20507812
104,-0.17871094
105,0.0234375
106,0.052978516
107,-0.17675781
108,0.375
109,0.27929688
110,-0.140625
111,0.140625
112,0.16699219
113,0.25
114,0.104003906
115,-0.05908203
116,0.17382812
117,-0.05493164
118,0.07324219
119,-0.015014648
120,-0.10498047
121,-0.013244629
122,0.034179688
123,0.12109375
124,-0.025146484
125,0.13671875
126,-0.13964844
127,-0.034179688
128,-0.28320312
129,0.2578125
130,0.033935547
131,0.43554688
132,-0.07861328
133,-0.1796875
134,-0.30664062
135,-0.31640625
136,-0.099121094
137,-0.092285156
138,-0.118652344
139,0.061523438
140,-0.001159668
141,0.028686523
142,-0.17480469
143,-0.091308594
144,0.119140625
145,0.28515625
146,-0.064453125
147,0.22265625
148,0.453125
149,-0.10498047
150,0.13867188
151,0.16894531
152,-0.15332031
153,0.0028839111
154,0.3046875
155,-0.18945312
156,0.080566406
157,0.07714844
158,0.171875
159,0.028930664
160,-0.41210938
161,0.3671875
162,0.043945312
163,0.025146484
164,0.30078125
165,-0.061767578
166,-0.30078125
167,0.26953125
168,-0.111328125
169,0.20507812
170,0.31445312
171,0.38867188
172,-0.20214844
173,0.084472656
174,-0.34960938
175,-0.011108398
176,0.26953125
177,-0.24121094
178,0.15234375
179,-0.3515625
180,-0.0023498535
181,-0.033447266
182,-0.24511719
183,-0.05810547
184,-0.14453125
185,-0.20800781
186,0.26367188
187,-0.032470703
188,0.38671875
189,-0.04345703
190,-0.09472656
191,-0.092285156
192,-0.07128906
193,0.140625
194,-0.10986328
195,0.46875
196,0.103027344
197,0.265625
198,0.0024871826
199,-0.30859375
200,0.234375
201,-0.099121094
202,0.05444336
203,-0.16308594
204,-0.067871094
205,0.18554688
206,0.0036315918
207,-0.0016326904
208,-0.1328125
209,-0.063964844
210,-0.16210938
211,0.041992188
212,0.029052734
213,0.099121094
214,-0.036132812
215,-0.06689453
216,0.25585938
217,-0.1171875
218,0.16503906
219,-0.125
220,0.053222656
221,0.21777344
222,-0.22265625
223,0.12792969
224,-0.13183594
225,0.11035156
226,0.28320312
227,0.20410156
228,0.20605469
229,-0.057373047
230,-0.16503906
231,-0.07470703
232,-0.09375
233,-0.057373047
234,0.23144531
235,0.34179688
236,-0.019042969
237,0.119628906
238,-0.0017700195
239,-0.123535156
240,0.008178711
241,-0.11328125
242,0.23632812
243,-0.19628906
244,0.359375
245,0.12011719
246,-0.4453125
247,-0.25
248,0.24121094
249,-0.14453125
250,0.033203125
251,0.24804688
252,0.26171875
253,0.14355469
254,0.1328125
255,-0.08935547
256,0.026123047
257,0.10595703
258,0.045898438
259,-0.19726562
260,0.26171875
261,0.40625
262,0.064941406
263,-0.05444336
264,0.05517578
265,-0.07128906
266,-0.5859375
267,-0.099609375
268,-0.15917969
269,0.15722656
270,-0.32421875
271,-0.047607422
272,0.04736328
273,0.23144531
274,0.041748047
275,-0.044677734
276,0.09375
277,-0.010620117
278,-0.09082031
279,0.23632812
280,-0.48242188
281,-0.21875
282,0.037841797
283,-0.14746094
284,0.13476562
285,0.10058594
286,-0.012634277
287,0.15625
288,-0.18457031
289,0.26953125
290,0.05883789
291,0.15625
292,0.28320312
293,-0.06542969
294,0.15332031
295,0.10498047
296,-0.16308594
297,0.099609375
298,0.057373047
299,0.114746094
