,Zimbabwe
0,-0.055419922
1,-0.0048828125
2,-0.0009841919
3,-0.03881836
4,-0.23730469
5,-0.010131836
6,-0.017822266
7,-0.31640625
8,-0.2890625
9,-0.6171875
10,-0.030639648
11,-0.13671875
12,0.03930664
13,0.24902344
14,0.48632812
15,0.30078125
16,0.007293701
17,0.18066406
18,-0.14941406
19,0.04638672
20,0.20410156
21,-0.2421875
22,0.14746094
23,-0.23730469
24,0.20117188
25,0.4140625
26,-0.052978516
27,0.059326172
28,0.09423828
29,0.05810547
30,-0.24414062
31,-0.4375
32,-0.30859375
33,-0.1953125
34,-0.015258789
35,0.375
36,-0.29492188
37,0.09033203
38,0.17578125
39,-0.022216797
40,0.11328125
41,-0.18554688
42,0.25585938
43,0.32421875
44,-0.06689453
45,0.28125
46,-0.13964844
47,0.0016555786
48,0.11425781
49,0.11621094
50,-0.24707031
51,-0.27734375
52,-0.067871094
53,-0.15429688
54,0.095214844
55,-0.0625
56,-0.578125
57,-0.06640625
58,-0.21191406
59,-0.06591797
60,-0.023803711
61,-0.0066833496
62,0.064941406
63,0.13476562
64,-0.08251953
65,-0.11767578
66,0.13671875
67,-0.27148438
68,0.19238281
69,-0.030639648
70,-0.39453125
71,-0.053222656
72,0.0018844604
73,-0.10107422
74,0.057617188
75,-0.080078125
76,0.10449219
77,0.23925781
78,-0.04736328
79,0.052246094
80,-0.35742188
81,0.03149414
82,0.021972656
83,0.24316406
84,0.033691406
85,0.038085938
86,0.026000977
87,-0.3359375
88,0.07128906
89,-0.09765625
90,0.107421875
91,0.11230469
92,-0.40625
93,0.08251953
94,-0.119628906
95,0.0099487305
96,0.36132812
97,-0.053466797
98,0.043701172
99,-0.27734375
100,0.06738281
101,0.35546875
102,0.083496094
103,-0.24902344
104,-0.33789062
105,0.24316406
106,0.25195312
107,-0.08984375
108,-0.3515625
109,-0.071777344
110,0.04638672
111,0.015075684
112,-0.17675781
113,0.36523438
114,0.20605469
115,-0.10888672
116,0.08642578
117,-0.014892578
118,0.33007812
119,0.18359375
120,-0.12695312
121,0.13183594
122,-0.10546875
123,-0.15820312
124,-0.36328125
125,0.32226562
126,-0.18554688
127,0.19238281
128,-0.33789062
129,0.009399414
130,0.21777344
131,0.106933594
132,-0.20703125
133,0.051513672
134,-0.296875
135,-0.075683594
136,-0.07519531
137,0.21875
138,0.03149414
139,0.21679688
140,0.28710938
141,-0.16503906
142,0.33984375
143,-0.028442383
144,-0.17285156
145,0.12695312
146,0.1640625
147,-0.08935547
148,0.15527344
149,0.1640625
150,0.31640625
151,-0.42578125
152,0.05102539
153,0.07373047
154,0.17480469
155,-0.27539062
156,-0.22753906
157,0.10107422
158,-0.091308594
159,0.203125
160,-0.50390625
161,0.21484375
162,0.080078125
163,-0.19238281
164,-0.06738281
165,-0.35351562
166,0.052246094
167,-0.28710938
168,-0.037109375
169,0.33984375
170,-0.23339844
171,0.40429688
172,-0.00045013428
173,0.15234375
174,-0.18554688
175,-0.39648438
176,0.12695312
177,-0.66796875
178,0.07080078
179,-0.234375
180,-0.22167969
181,0.1875
182,-0.18359375
183,0.036132812
184,-0.03515625
185,-0.095703125
186,0.091796875
187,0.088378906
188,0.07324219
189,0.12988281
190,-0.10253906
191,0.056396484
192,-0.45117188
193,-0.15332031
194,-0.13183594
195,0.23339844
196,-0.0029907227
197,-0.107910156
198,-0.104003906
199,-0.41992188
200,0.06738281
201,-0.12988281
202,-0.080566406
203,-0.02734375
204,-0.234375
205,0.119140625
206,-0.043945312
207,-0.21679688
208,0.052734375
209,-0.22851562
210,-0.15429688
211,-0.02368164
212,0.16894531
213,0.19726562
214,-0.05883789
215,-0.20898438
216,-0.119628906
217,0.09423828
218,-0.1328125
219,-0.23535156
220,-0.16796875
221,0.16210938
222,-0.060791016
223,0.24511719
224,0.16894531
225,0.21679688
226,0.125
227,-0.048339844
228,0.36328125
229,-0.19824219
230,-0.107421875
231,0.15332031
232,0.18359375
233,0.15332031
234,-0.026733398
235,0.21386719
236,0.061279297
237,0.21972656
238,0.084472656
239,0.012573242
240,0.16015625
241,-0.15429688
242,-0.115234375
243,-0.12451172
244,-0.008300781
245,-0.07421875
246,-0.41992188
247,-0.19140625
248,0.12402344
249,-0.043701172
250,0.049316406
251,0.28515625
252,0.15625
253,0.12402344
254,0.29882812
255,-0.011657715
256,0.234375
257,0.029663086
258,0.27734375
259,-0.027954102
260,-0.3203125
261,0.22851562
262,0.52734375
263,0.58203125
264,0.043945312
265,-0.15136719
266,-0.6015625
267,0.14160156
268,-0.14257812
269,-0.039794922
270,-0.06542969
271,0.17871094
272,0.296875
273,0.13378906
274,0.12207031
275,-0.07861328
276,0.21484375
277,-0.09082031
278,0.17871094
279,-0.23339844
280,0.08544922
281,-0.234375
282,0.4609375
283,-0.057128906
284,-0.06298828
285,-0.123535156
286,0.046875
287,0.35546875
288,0.06640625
289,0.20214844
290,-0.14257812
291,0.18554688
292,-0.14355469
293,-0.03857422
294,-0.09765625
295,0.28515625
296,-0.21484375
297,0.09277344
298,-0.04296875
299,-0.24804688
