,Luxembourg
0,0.055908203
1,-0.08105469
2,0.06933594
3,0.076660156
4,-0.025390625
5,0.024658203
6,0.22167969
7,-0.26953125
8,0.05102539
9,0.140625
10,-0.07861328
11,0.11328125
12,0.23046875
13,-0.28320312
14,-0.059570312
15,0.13476562
16,0.059814453
17,0.4375
18,-0.044433594
19,0.34375
20,0.07421875
21,-0.16503906
22,0.21484375
23,0.26757812
24,0.15527344
25,0.04345703
26,-0.20117188
27,0.1796875
28,-0.30078125
29,0.17675781
30,0.12695312
31,-0.39257812
32,-0.020996094
33,-0.25
34,-0.15917969
35,-0.24121094
36,-0.048095703
37,-0.034179688
38,0.10058594
39,-0.008605957
40,0.011413574
41,0.08203125
42,0.18457031
43,0.15820312
44,-0.06640625
45,0.026489258
46,-0.12060547
47,-0.09423828
48,-0.025634766
49,0.27148438
50,-0.07080078
51,0.061035156
52,0.19433594
53,0.016357422
54,-0.28125
55,0.29296875
56,-0.47460938
57,-0.13378906
58,-0.296875
59,0.0076293945
60,-0.09716797
61,-0.13671875
62,0.118652344
63,-0.171875
64,-0.0039978027
65,-0.24023438
66,0.09423828
67,-0.021484375
68,-0.14453125
69,0.15332031
70,-0.07128906
71,0.067871094
72,0.1484375
73,0.0030670166
74,-0.0002784729
75,0.20410156
76,-0.0859375
77,-0.16308594
78,-0.045898438
79,0.1484375
80,-0.114746094
81,-0.5
82,0.036376953
83,-0.10839844
84,0.09375
85,0.13671875
86,-0.28125
87,-0.046875
88,0.296875
89,0.16796875
90,0.080078125
91,-0.044921875
92,-0.23632812
93,0.22363281
94,-0.01953125
95,-0.21289062
96,0.07763672
97,-0.41601562
98,-0.14355469
99,-0.11425781
100,0.03149414
101,0.08886719
102,-0.21972656
103,0.12597656
104,0.12451172
105,-0.0055236816
106,0.09472656
107,0.061767578
108,-0.12451172
109,-0.06640625
110,0.22265625
111,-0.18164062
112,-0.27539062
113,0.028442383
114,0.036621094
115,-0.017333984
116,-0.27539062
117,-0.033935547
118,0.3046875
119,0.19433594
120,-0.16503906
121,-0.25390625
122,-0.08642578
123,0.017089844
124,0.29882812
125,-0.24804688
126,-0.017700195
127,-0.21875
128,-0.21289062
129,0.05908203
130,-0.114746094
131,0.20410156
132,-0.20019531
133,-0.19140625
134,-0.08984375
135,-0.28515625
136,-0.13671875
137,-0.21972656
138,-0.13964844
139,-0.01550293
140,0.34765625
141,-0.018432617
142,0.0703125
143,-0.15332031
144,0.09765625
145,-0.08496094
146,-0.12402344
147,-0.13085938
148,-0.04663086
149,0.017822266
150,0.13671875
151,0.024047852
152,-0.17382812
153,0.026489258
154,0.17089844
155,-0.12011719
156,-0.03930664
157,0.21484375
158,0.019042969
159,0.07763672
160,-0.14648438
161,0.125
162,0.060058594
163,-0.15039062
164,0.18359375
165,-0.30859375
166,-0.29296875
167,0.20410156
168,-0.15332031
169,-0.083496094
170,-0.29882812
171,-0.072265625
172,-0.04711914
173,-0.001449585
174,-0.17773438
175,-0.04345703
176,-0.12695312
177,0.083984375
178,-0.0013275146
179,-0.31445312
180,0.265625
181,0.087402344
182,-0.051513672
183,0.09863281
184,0.30273438
185,-0.029663086
186,0.056640625
187,0.20800781
188,-0.32421875
189,-0.020996094
190,-0.123535156
191,-0.012207031
192,-0.099609375
193,0.030029297
194,0.1953125
195,0.40429688
196,0.0053100586
197,-0.14160156
198,0.12109375
199,-0.27148438
200,0.13476562
201,-0.048339844
202,0.24023438
203,0.17089844
204,0.19335938
205,-0.08935547
206,0.25195312
207,0.024291992
208,0.056884766
209,-0.064941406
210,0.0703125
211,-0.265625
212,-0.010620117
213,0.052734375
214,0.021728516
215,-0.080078125
216,-0.041015625
217,-0.15722656
218,0.29882812
219,-0.08300781
220,0.012329102
221,-0.08935547
222,-0.25585938
223,-0.06640625
224,-0.65625
225,0.07421875
226,0.13671875
227,0.07421875
228,0.25
229,-0.008422852
230,-0.14941406
231,-0.12890625
232,0.056152344
233,0.07128906
234,0.27734375
235,-0.05029297
236,-0.17089844
237,-0.08984375
238,-0.07324219
239,-0.14746094
240,-0.0045166016
241,-0.16796875
242,0.026855469
243,0.19335938
244,0.106933594
245,-0.0031280518
246,-0.056640625
247,0.05102539
248,-0.056884766
249,-0.23046875
250,-0.1484375
251,0.103515625
252,-0.17089844
253,0.3671875
254,-0.08691406
255,-0.013366699
256,0.1015625
257,-0.059326172
258,0.19921875
259,0.006134033
260,0.28320312
261,0.3671875
262,0.2109375
263,0.13574219
264,0.34765625
265,0.2265625
266,-0.029052734
267,-0.125
268,-0.21875
269,-0.053466797
270,0.049072266
271,0.13867188
272,0.31445312
273,-0.12890625
274,-0.12890625
275,0.01940918
276,0.072265625
277,0.12597656
278,-0.15039062
279,0.16113281
280,-0.2734375
281,-0.07470703
282,-0.09326172
283,0.12988281
284,-0.07128906
285,0.21777344
286,-0.11230469
287,0.063964844
288,-0.08691406
289,0.22753906
290,-0.020385742
291,-0.008666992
292,-0.08984375
293,-0.029663086
294,-0.16113281
295,0.30078125
296,0.13378906
297,0.12207031
298,-0.025878906
299,-0.22949219
