,Liechtenstein
0,0.41601562
1,0.122558594
2,0.08544922
3,-0.17480469
4,-0.20410156
5,-0.22558594
6,0.07910156
7,-0.23632812
8,0.048339844
9,0.32421875
10,0.17578125
11,0.15722656
12,-0.023071289
13,0.14355469
14,0.0016021729
15,0.17871094
16,0.004180908
17,0.58984375
18,-0.33203125
19,0.50390625
20,0.22167969
21,-0.296875
22,0.09423828
23,0.38867188
24,0.09863281
25,-0.026123047
26,-0.16113281
27,-0.27929688
28,0.044433594
29,0.26757812
30,-0.053710938
31,0.043945312
32,0.15722656
33,-0.22265625
34,-0.10498047
35,-0.3515625
36,-0.052490234
37,-0.021362305
38,0.25390625
39,0.27734375
40,0.16015625
41,0.045410156
42,0.10449219
43,-0.0004310608
44,0.29101562
45,-0.042236328
46,-0.063964844
47,-0.3828125
48,0.034179688
49,0.1484375
50,-0.017944336
51,0.095214844
52,-0.03955078
53,-0.10986328
54,-0.25195312
55,0.1953125
56,-0.58203125
57,-0.11230469
58,-0.22558594
59,-0.25390625
60,-0.265625
61,-0.083984375
62,0.08105469
63,-0.040283203
64,-0.10986328
65,-0.43945312
66,0.12792969
67,-0.21679688
68,0.060791016
69,0.075683594
70,-0.1171875
71,-0.16699219
72,0.29101562
73,-0.45507812
74,0.109375
75,0.026855469
76,0.13769531
77,-0.18652344
78,0.31835938
79,-0.21582031
80,-0.41992188
81,-0.546875
82,-0.26171875
83,0.05053711
84,0.18457031
85,0.01361084
86,0.036865234
87,-0.20507812
88,0.265625
89,0.063964844
90,0.34570312
91,-0.03173828
92,-0.30664062
93,0.23828125
94,-0.23925781
95,-0.5546875
96,0.29882812
97,-0.5
98,0.01940918
99,-0.24902344
100,0.115722656
101,0.06933594
102,0.30273438
103,0.421875
104,0.36132812
105,0.25976562
106,0.050048828
107,0.48828125
108,0.39648438
109,-0.091796875
110,0.2578125
111,0.048095703
112,-0.25585938
113,-0.28125
114,-0.21679688
115,-0.19042969
116,0.068847656
117,0.0068969727
118,0.34570312
119,0.40429688
120,-0.2890625
121,-0.1328125
122,0.09033203
123,0.234375
124,-0.04638672
125,0.06225586
126,0.3984375
127,-0.12792969
128,-0.3046875
129,-0.042236328
130,-0.21875
131,0.43164062
132,-0.049804688
133,-0.008911133
134,0.15429688
135,-0.32226562
136,-0.3125
137,-0.12988281
138,-0.05419922
139,0.06738281
140,0.07421875
141,0.032470703
142,0.13769531
143,0.033691406
144,0.22265625
145,0.03955078
146,0.10888672
147,-0.1171875
148,0.15527344
149,0.140625
150,0.390625
151,-0.036621094
152,-0.08105469
153,0.015991211
154,0.40234375
155,0.006652832
156,-0.034423828
157,0.29492188
158,0.057617188
159,0.45898438
160,0.046875
161,0.114746094
162,0.19824219
163,-0.35546875
164,-0.19238281
165,-0.075683594
166,-0.25390625
167,0.18359375
168,-0.33007812
169,0.37304688
170,-0.43945312
171,0.33007812
172,-0.265625
173,0.18261719
174,0.040283203
175,-0.16992188
176,-0.014953613
177,0.16210938
178,-0.036376953
179,-0.020141602
180,0.28320312
181,-0.43164062
182,0.10449219
183,-0.03955078
184,-0.020385742
185,0.067871094
186,-0.17675781
187,0.048828125
188,-0.1640625
189,0.35351562
190,-0.26171875
191,-0.017944336
192,0.21484375
193,0.1328125
194,0.296875
195,0.12060547
196,-0.09814453
197,0.076171875
198,-0.14941406
199,-0.013244629
200,0.13085938
201,-0.36523438
202,-0.10107422
203,0.13867188
204,0.37695312
205,-0.025878906
206,-0.15722656
207,0.14941406
208,-0.22851562
209,0.24609375
210,0.25390625
211,-0.053222656
212,0.27734375
213,0.10058594
214,-0.10986328
215,0.1484375
216,0.15722656
217,0.12060547
218,-0.079589844
219,-0.33398438
220,-0.26757812
221,-0.26171875
222,-0.010864258
223,-0.29296875
224,-0.58203125
225,0.47070312
226,0.31835938
227,0.31054688
228,-0.014892578
229,-0.091796875
230,-0.44140625
231,0.16503906
232,-0.09814453
233,-0.060058594
234,0.09326172
235,0.0056152344
236,0.12695312
237,0.17871094
238,-0.10253906
239,-0.23339844
240,0.33398438
241,-0.18359375
242,-0.04296875
243,-0.025512695
244,-0.07714844
245,-0.087402344
246,-0.079589844
247,0.28515625
248,-0.091308594
249,0.05419922
250,0.038085938
251,-0.060546875
252,0.21484375
253,0.45898438
254,-0.2890625
255,0.2890625
256,-0.010681152
257,0.08203125
258,-0.16113281
259,-0.08154297
260,0.5078125
261,0.25390625
262,0.17675781
263,0.15625
264,0.26367188
265,0.12695312
266,-0.35546875
267,-0.2265625
268,-0.359375
269,-0.18847656
270,0.29296875
271,0.026123047
272,0.010559082
273,-0.015197754
274,0.16503906
275,-0.15039062
276,0.35742188
277,0.08691406
278,-0.24121094
279,0.3046875
280,-0.328125
281,0.08935547
282,0.06982422
283,0.53515625
284,-0.14160156
285,-0.033935547
286,0.17382812
287,-0.19140625
288,-0.0050964355
289,0.11425781
290,-0.052001953
291,0.033447266
292,-0.23535156
293,-0.004425049
294,-0.1875
295,0.11767578
296,0.072753906
297,0.2734375
298,0.18945312
299,-0.12695312
