,Diego_Garcia
0,-0.21484375
1,0.16113281
2,0.15820312
3,0.095214844
4,-0.23925781
5,-0.69140625
6,-0.46875
7,0.49414062
8,0.23632812
9,0.46289062
10,0.11767578
11,-0.10058594
12,0.16210938
13,0.07470703
14,-0.041503906
15,0.12890625
16,0.0057678223
17,-0.060546875
18,-0.12695312
19,0.12207031
20,-0.12890625
21,-0.06542969
22,0.45703125
23,0.0126953125
24,0.3203125
25,0.009277344
26,0.041503906
27,0.27734375
28,-0.5859375
29,-0.19433594
30,0.33203125
31,-0.08691406
32,-0.26171875
33,-0.1328125
34,-0.2734375
35,-0.3125
36,0.008911133
37,-0.072265625
38,-0.16992188
39,-0.28515625
40,-0.044189453
41,0.39648438
42,0.05419922
43,0.15527344
44,0.3359375
45,0.33984375
46,-0.11230469
47,0.15136719
48,-0.07421875
49,-0.27539062
50,0.26953125
51,0.05859375
52,0.27734375
53,-0.26367188
54,-0.35742188
55,-0.14160156
56,-0.234375
57,0.2890625
58,0.075683594
59,-0.625
60,0.15234375
61,0.20605469
62,0.115234375
63,0.01159668
64,-0.24414062
65,-0.15234375
66,0.11621094
67,-0.21777344
68,-0.0030059814
69,-0.05078125
70,0.051757812
71,-0.19824219
72,-0.01586914
73,0.023071289
74,-0.46875
75,-0.27734375
76,-0.14550781
77,-0.58984375
78,-0.30273438
79,-0.009033203
80,-0.41601562
81,-0.0012969971
82,0.104003906
83,-0.13769531
84,-0.019165039
85,-0.41015625
86,-0.18554688
87,0.30859375
88,0.30273438
89,0.34570312
90,-0.016723633
91,-0.26171875
92,-0.2578125
93,0.41015625
94,0.05078125
95,-0.20507812
96,0.59765625
97,0.107910156
98,0.19628906
99,-0.10888672
100,0.3828125
101,0.21289062
102,0.38476562
103,0.09033203
104,0.15234375
105,0.25195312
106,-0.10644531
107,-0.17285156
108,0.053955078
109,0.28320312
110,-0.26367188
111,-0.08642578
112,-0.029174805
113,0.25
114,-0.29882812
115,0.19433594
116,0.043945312
117,0.49609375
118,0.52734375
119,-0.2421875
120,-0.41796875
121,-0.080078125
122,0.08886719
123,0.32421875
124,-0.35546875
125,0.59375
126,0.044921875
127,0.09716797
128,-0.15527344
129,0.12207031
130,-0.23925781
131,-0.35546875
132,-0.45117188
133,0.296875
134,0.17480469
135,-0.57421875
136,-0.26757812
137,-0.18945312
138,0.34375
139,0.24023438
140,-0.34570312
141,-0.23730469
142,0.20605469
143,-0.08105469
144,0.12597656
145,-0.13476562
146,-0.08984375
147,0.40820312
148,-0.41601562
149,0.1484375
150,0.10546875
151,-0.033691406
152,0.118652344
153,-0.18457031
154,0.123535156
155,0.107910156
156,0.033691406
157,-0.16308594
158,0.15136719
159,0.029907227
160,-0.14257812
161,0.011169434
162,0.375
163,-0.09716797
164,-0.19042969
165,0.13574219
166,-0.47265625
167,-0.12597656
168,0.041748047
169,0.009887695
170,0.42773438
171,0.28320312
172,0.29101562
173,0.107421875
174,-0.234375
175,0.15625
176,-0.057861328
177,-0.828125
178,-0.22949219
179,0.40039062
180,-0.4140625
181,0.21484375
182,-0.44921875
183,-0.21386719
184,0.07373047
185,0.09863281
186,0.34570312
187,0.11669922
188,0.118652344
189,0.083496094
190,-0.15722656
191,-0.083984375
192,0.59375
193,-0.08886719
194,0.3046875
195,0.234375
196,0.28125
197,-0.1875
198,0.096191406
199,-0.026245117
200,0.20996094
201,-0.38867188
202,0.014160156
203,0.13574219
204,0.3125
205,0.004119873
206,-0.04272461
207,0.063964844
208,0.095214844
209,-0.08544922
210,0.18359375
211,0.20703125
212,0.24121094
213,-0.265625
214,-0.064941406
215,0.13964844
216,0.12109375
217,0.16308594
218,-0.107421875
219,-0.41015625
220,0.15429688
221,0.44921875
222,-0.0043029785
223,-0.16308594
224,-0.2109375
225,0.44921875
226,0.047851562
227,0.07714844
228,0.21191406
229,-0.07861328
230,0.17382812
231,-0.49804688
232,0.0035858154
233,-0.35351562
234,0.38867188
235,0.24023438
236,-0.2109375
237,0.16796875
238,0.27734375
239,-0.16308594
240,-0.09667969
241,-0.019897461
242,0.0087890625
243,-0.234375
244,0.1015625
245,0.036865234
246,0.123046875
247,0.016967773
248,0.026733398
249,0.4375
250,-0.35742188
251,-0.078125
252,-0.010437012
253,0.51953125
254,0.37304688
255,0.03515625
256,0.17773438
257,0.31054688
258,0.004333496
259,-0.27734375
260,0.24023438
261,0.49023438
262,-0.037353516
263,-0.048828125
264,0.008483887
265,-0.3359375
266,-0.46875
267,-0.53125
268,0.34765625
269,-0.31835938
270,-0.06982422
271,0.11230469
272,0.22558594
273,0.053222656
274,-0.12597656
275,0.13769531
276,-0.47460938
277,0.05883789
278,-0.11816406
279,0.19042969
280,-0.36914062
281,-0.040771484
282,-0.09716797
283,0.23242188
284,0.076660156
285,-0.60546875
286,0.12695312
287,0.39453125
288,-0.022949219
289,0.18554688
290,-0.033935547
291,0.30078125
292,-0.014038086
293,-0.19921875
294,-0.046875
295,-0.037109375
296,-0.21875
297,-0.14746094
298,0.21777344
299,0.118652344
