,Venezuela
0,-0.20703125
1,-0.011779785
2,0.13867188
3,0.23632812
4,-0.19335938
5,-0.03100586
6,-0.16210938
7,-0.3359375
8,-0.052001953
9,-0.11425781
10,-0.043701172
11,0.013671875
12,-0.07910156
13,0.14648438
14,0.21484375
15,0.096191406
16,0.008178711
17,0.22949219
18,0.33007812
19,0.083496094
20,0.4296875
21,-0.32421875
22,0.09033203
23,0.17480469
24,0.2109375
25,0.1328125
26,-0.114746094
27,-0.25390625
28,-0.21875
29,0.37109375
30,0.03930664
31,-0.08154297
32,-0.26171875
33,-0.07373047
34,-0.095214844
35,0.09472656
36,-0.16894531
37,-0.14746094
38,0.123535156
39,0.051757812
40,0.37304688
41,0.107910156
42,0.34375
43,0.12207031
44,0.09082031
45,0.390625
46,-0.109375
47,-0.037353516
48,-0.10449219
49,0.30664062
50,-0.44921875
51,-0.06542969
52,0.06347656
53,-0.08154297
54,-0.048828125
55,0.17480469
56,-0.42773438
57,0.08886719
58,-0.037353516
59,-0.0010070801
60,0.18554688
61,0.0625
62,0.13574219
63,-0.010314941
64,0.24902344
65,-0.057128906
66,-0.016967773
67,-0.29296875
68,-0.0859375
69,0.01373291
70,-0.23632812
71,0.044921875
72,0.034179688
73,-0.107910156
74,-0.025756836
75,0.045166016
76,0.047607422
77,0.16015625
78,0.002670288
79,0.14746094
80,-0.16015625
81,0.0032348633
82,-0.026855469
83,-0.15820312
84,-0.037597656
85,-0.40625
86,-0.12988281
87,0.375
88,0.111328125
89,0.16894531
90,-0.037109375
91,0.015380859
92,-0.47851562
93,-0.026733398
94,-0.234375
95,-0.083496094
96,0.14257812
97,-0.006713867
98,0.20117188
99,0.09423828
100,0.14746094
101,0.37109375
102,-0.20996094
103,-0.37695312
104,0.11230469
105,0.13867188
106,0.20214844
107,-0.12988281
108,-0.22949219
109,0.15039062
110,-0.14160156
111,0.044189453
112,-0.18066406
113,-0.13183594
114,-0.07763672
115,0.31835938
116,-0.119140625
117,0.040771484
118,0.24023438
119,0.0703125
120,-0.0049743652
121,-0.15820312
122,-0.034179688
123,-0.11279297
124,-0.13085938
125,0.13671875
126,0.05078125
127,-0.029052734
128,-0.59765625
129,-0.16308594
130,-0.23242188
131,0.31835938
132,-0.009887695
133,-0.084472656
134,0.11230469
135,-0.17382812
136,-0.28320312
137,-0.27929688
138,-0.12451172
139,-0.12597656
140,-0.083984375
141,-0.11230469
142,0.08691406
143,0.17675781
144,0.09423828
145,-0.0087890625
146,0.055419922
147,0.009277344
148,-0.26953125
149,0.061279297
150,0.36523438
151,-0.25195312
152,-0.27148438
153,-0.056396484
154,0.34570312
155,0.09814453
156,-0.41210938
157,0.26367188
158,0.027832031
159,0.18164062
160,-0.032958984
161,0.35546875
162,0.06542969
163,0.061035156
164,0.23535156
165,-0.083984375
166,-0.111816406
167,-0.0099487305
168,0.27148438
169,0.14355469
170,-0.33007812
171,0.15136719
172,0.109375
173,-0.17285156
174,0.06933594
175,-0.16894531
176,0.111816406
177,-0.30859375
178,-0.1796875
179,-0.039794922
180,-0.3125
181,-0.24121094
182,-0.15136719
183,-0.035888672
184,0.18945312
185,-0.091308594
186,0.11425781
187,-0.035888672
188,0.13867188
189,-0.04345703
190,-0.11767578
191,0.03857422
192,-0.02355957
193,-0.24609375
194,-0.27148438
195,0.24707031
196,-0.1328125
197,-0.14453125
198,-0.096191406
199,-0.24023438
200,0.22949219
201,0.005126953
202,-0.34179688
203,-0.11621094
204,-0.17578125
205,-0.10986328
206,-0.008056641
207,-0.22167969
208,-0.27539062
209,-0.12402344
210,0.118652344
211,-0.19042969
212,-0.26953125
213,0.064941406
214,-0.053955078
215,0.048583984
216,-0.24804688
217,0.11816406
218,-0.22460938
219,-0.24902344
220,-0.12890625
221,-0.016113281
222,-0.103515625
223,-0.075683594
224,-0.046142578
225,-0.110839844
226,0.20800781
227,0.28710938
228,0.38867188
229,0.11621094
230,-0.140625
231,0.08984375
232,0.08935547
233,-0.04711914
234,0.059570312
235,0.25585938
236,0.00491333
237,0.034179688
238,0.19726562
239,-0.044189453
240,-0.061035156
241,-0.14550781
242,-0.25390625
243,0.028076172
244,-0.09863281
245,0.038085938
246,-0.16113281
247,-0.23242188
248,0.05517578
249,-0.02734375
250,0.13769531
251,-0.111816406
252,-0.018188477
253,0.03857422
254,0.16113281
255,0.084472656
256,0.20214844
257,0.028686523
258,-0.1640625
259,0.05053711
260,0.22363281
261,0.32421875
262,0.017089844
263,0.1953125
264,0.39453125
265,-0.19042969
266,-0.375
267,-0.07714844
268,-0.0859375
269,0.06640625
270,-0.27539062
271,0.45507812
272,0.051757812
273,-0.29492188
274,-0.11376953
275,0.27929688
276,-0.24707031
277,0.03515625
278,0.11328125
279,0.19921875
280,0.14941406
281,-0.15234375
282,0.020996094
283,0.0859375
284,0.001701355
285,-0.22949219
286,-0.07324219
287,0.13476562
288,0.115722656
289,-0.23730469
290,0.03955078
291,-0.28125
292,-0.15917969
293,-0.119628906
294,0.234375
295,0.06933594
296,0.080566406
297,0.05810547
298,0.19921875
299,-0.16699219
