,Guernsey
0,-0.25976562
1,-0.017333984
2,-0.30273438
3,-0.16699219
4,-0.095214844
5,-0.16308594
6,0.051513672
7,-0.15136719
8,0.051757812
9,0.41601562
10,0.19433594
11,-0.015197754
12,-0.14160156
13,0.12402344
14,0.01940918
15,0.12792969
16,0.05517578
17,0.4453125
18,0.038330078
19,0.29492188
20,0.091796875
21,-0.34765625
22,0.03955078
23,0.25
24,-0.055664062
25,0.22851562
26,-0.09326172
27,0.24609375
28,0.20214844
29,0.26367188
30,0.11425781
31,0.05834961
32,0.1015625
33,-0.29882812
34,0.049316406
35,-0.040283203
36,0.016357422
37,-0.15917969
38,0.17578125
39,0.07324219
40,-0.010314941
41,0.119628906
42,-0.37695312
43,0.21679688
44,-0.17480469
45,-0.03173828
46,-0.0703125
47,0.007019043
48,-0.055664062
49,-0.038085938
50,-0.071777344
51,0.013000488
52,0.0010604858
53,0.018676758
54,-0.19140625
55,-0.014160156
56,-0.41210938
57,-0.034179688
58,-0.13574219
59,-0.13378906
60,-0.09326172
61,-0.27539062
62,-0.030517578
63,-0.26367188
64,-0.095703125
65,-0.025878906
66,-0.07714844
67,-0.13476562
68,-0.21777344
69,0.03564453
70,-0.11328125
71,-0.2734375
72,0.05126953
73,-0.052734375
74,0.2421875
75,-0.026611328
76,-0.0625
77,-0.024414062
78,0.1484375
79,-0.23339844
80,0.111816406
81,-0.46289062
82,-0.05102539
83,0.13574219
84,0.033203125
85,0.42382812
86,-0.20703125
87,0.028198242
88,0.203125
89,0.109375
90,0.27148438
91,0.055664062
92,-0.17382812
93,0.1171875
94,0.063964844
95,0.24414062
96,0.36914062
97,-0.25195312
98,0.0047912598
99,-0.15527344
100,0.010009766
101,0.39453125
102,0.11621094
103,0.27539062
104,0.02722168
105,-0.19042969
106,0.044677734
107,0.33984375
108,-0.125
109,-0.20996094
110,0.021606445
111,0.099121094
112,-0.4375
113,0.31640625
114,-0.14648438
115,-0.01940918
116,-0.008483887
117,-0.1328125
118,0.17773438
119,-0.010864258
120,-0.19726562
121,-0.22753906
122,0.16015625
123,0.0134887695
124,0.0859375
125,-0.10205078
126,-0.19042969
127,0.056152344
128,-0.23339844
129,0.42578125
130,-0.20898438
131,0.11230469
132,-0.26367188
133,0.0051879883
134,-0.23339844
135,-0.29101562
136,-0.23046875
137,0.017089844
138,-0.10888672
139,0.119140625
140,-0.10107422
141,-0.04296875
142,0.23632812
143,-0.21679688
144,0.13378906
145,0.19335938
146,-0.14453125
147,-0.15917969
148,0.033447266
149,0.16113281
150,0.064941406
151,-0.15039062
152,0.16796875
153,-0.033935547
154,-0.04248047
155,-0.091308594
156,0.024780273
157,0.06640625
158,0.123046875
159,0.34179688
160,-0.27929688
161,0.23144531
162,0.171875
163,-0.022216797
164,0.04248047
165,-0.4609375
166,-0.20898438
167,0.16210938
168,0.06542969
169,0.1953125
170,-0.21289062
171,0.045166016
172,0.056884766
173,-0.13183594
174,-0.17773438
175,-0.19921875
176,0.3046875
177,-0.18847656
178,-0.125
179,-0.031982422
180,0.19140625
181,0.03491211
182,0.13574219
183,0.099121094
184,-0.044921875
185,-0.20703125
186,0.25976562
187,-0.020874023
188,0.061035156
189,0.012512207
190,-0.20898438
191,0.045166016
192,0.06225586
193,0.16796875
194,0.10498047
195,0.2578125
196,0.07519531
197,-0.13769531
198,-0.049560547
199,-0.099121094
200,0.265625
201,-0.40625
202,0.027954102
203,-0.13964844
204,-0.06298828
205,0.10253906
206,-0.08935547
207,0.29882812
208,0.016357422
209,-0.003692627
210,-0.14355469
211,-0.2265625
212,0.14648438
213,-0.106933594
214,0.06933594
215,-0.16992188
216,0.20019531
217,-0.21484375
218,0.42382812
219,-0.059570312
220,0.014526367
221,-0.0008049011
222,0.01940918
223,-0.24316406
224,-0.40820312
225,0.079589844
226,0.21582031
227,-0.11230469
228,-0.023803711
229,-0.21484375
230,-0.25390625
231,-0.16015625
232,0.11816406
233,-0.16699219
234,-0.18359375
235,-0.14941406
236,0.08496094
237,-0.024536133
238,0.18164062
239,-0.020629883
240,0.13867188
241,-0.28515625
242,0.21582031
243,0.018432617
244,-0.083496094
245,-0.00013542175
246,0.13671875
247,0.16015625
248,0.09472656
249,-0.052001953
250,-0.103515625
251,0.13378906
252,-0.037841797
253,0.11230469
254,0.20410156
255,0.13867188
256,0.09375
257,0.33203125
258,0.039794922
259,-0.0006942749
260,0.27929688
261,0.2890625
262,0.18457031
263,-0.140625
264,0.036376953
265,0.072265625
266,-0.24023438
267,0.05834961
268,-0.13769531
269,-0.0063171387
270,-0.011291504
271,0.2109375
272,0.1640625
273,0.15917969
274,0.001373291
275,-0.022338867
276,0.12988281
277,-0.056152344
278,-0.25585938
279,0.012634277
280,-0.27734375
281,-0.18847656
282,0.20996094
283,0.09082031
284,0.19140625
285,0.22851562
286,-0.38085938
287,-0.10644531
288,-0.084472656
289,0.30273438
290,-0.08984375
291,0.02709961
292,-0.026855469
293,0.0625
294,-0.23925781
295,0.15136719
296,-0.05517578
297,-0.11669922
298,-0.075683594
299,-0.09765625
