,Belize
0,0.017456055
1,-0.3125
2,-0.13183594
3,0.006072998
4,-0.025024414
5,0.06347656
6,0.09277344
7,-0.09667969
8,-0.14550781
9,-0.09765625
10,0.27148438
11,-0.17773438
12,0.14160156
13,0.18945312
14,0.38867188
15,0.12597656
16,-0.18261719
17,0.32421875
18,0.0021514893
19,0.35742188
20,0.14453125
21,-0.20605469
22,0.12695312
23,0.42773438
24,0.18261719
25,0.042236328
26,0.037841797
27,-0.18945312
28,-0.104003906
29,0.34179688
30,0.1640625
31,-0.29296875
32,0.030029297
33,0.026245117
34,0.037353516
35,-0.17382812
36,-0.22070312
37,-0.15429688
38,0.09082031
39,-0.28515625
40,-0.26953125
41,0.18359375
42,0.17578125
43,0.21289062
44,-0.08984375
45,-0.103027344
46,-0.092285156
47,-0.234375
48,0.022705078
49,-0.057861328
50,0.06298828
51,-0.15625
52,0.4296875
53,-0.25
54,-0.15332031
55,0.14453125
56,-0.33984375
57,0.140625
58,0.055419922
59,-0.26757812
60,-0.00092315674
61,0.008117676
62,-0.11816406
63,0.1015625
64,-0.013000488
65,-0.36132812
66,-0.14355469
67,0.05102539
68,-0.123046875
69,-0.34765625
70,-0.4140625
71,-0.091796875
72,-0.012939453
73,-0.036865234
74,-0.03100586
75,-0.018188477
76,0.16601562
77,-0.21972656
78,0.15722656
79,0.087402344
80,-0.16601562
81,-0.08154297
82,-0.234375
83,-0.41015625
84,-0.15820312
85,-0.11767578
86,-0.17871094
87,0.006713867
88,0.09863281
89,0.011291504
90,0.25390625
91,0.11621094
92,-0.09765625
93,-0.23339844
94,-0.23046875
95,0.12597656
96,0.30859375
97,-0.028686523
98,-0.043701172
99,0.19628906
100,-0.08642578
101,0.3203125
102,0.047607422
103,-0.34570312
104,0.140625
105,-0.14941406
106,0.13769531
107,-0.26171875
108,0.013122559
109,0.0019836426
110,-0.390625
111,0.24121094
112,-0.30664062
113,0.14453125
114,-0.079589844
115,0.05883789
116,0.08105469
117,-0.091796875
118,0.07470703
119,0.05834961
120,-0.122558594
121,-0.44921875
122,0.0057373047
123,0.0095825195
124,-0.095214844
125,0.3046875
126,-0.32421875
127,0.083984375
128,-0.14648438
129,0.390625
130,-0.115722656
131,0.061767578
132,0.009277344
133,-0.22558594
134,-0.1875
135,-0.084472656
136,-0.43164062
137,0.14941406
138,-0.032958984
139,0.067871094
140,-0.09472656
141,-0.06347656
142,0.05517578
143,-0.2109375
144,0.28515625
145,0.43554688
146,0.07128906
147,-0.08886719
148,0.16113281
149,0.19726562
150,0.2265625
151,-0.27929688
152,-0.29882812
153,0.079589844
154,0.13085938
155,-3.9339066e-05
156,-0.23925781
157,-0.059570312
158,0.09814453
159,0.26367188
160,-0.13964844
161,0.27148438
162,0.04321289
163,0.09814453
164,-0.00031852722
165,-0.13867188
166,-0.10986328
167,-0.02709961
168,0.071777344
169,-0.15429688
170,-0.022583008
171,0.30859375
172,0.16796875
173,-0.106933594
174,-0.109375
175,-0.095214844
176,0.22949219
177,-0.125
178,-0.07421875
179,-0.21386719
180,-0.15136719
181,-0.27734375
182,0.0047302246
183,-0.072753906
184,-0.27148438
185,-0.22070312
186,0.12988281
187,-0.03125
188,0.203125
189,0.13476562
190,-0.044921875
191,-0.109375
192,0.13867188
193,-0.0047912598
194,-0.072265625
195,0.31640625
196,-0.045898438
197,0.011657715
198,0.05810547
199,-0.01965332
200,0.14160156
201,-0.13867188
202,0.17285156
203,0.123046875
204,-0.11230469
205,0.20996094
206,-0.21679688
207,-0.06640625
208,-0.119140625
209,0.04272461
210,0.033691406
211,-0.103515625
212,0.016479492
213,0.16699219
214,-0.109375
215,0.033203125
216,0.015014648
217,-0.08691406
218,-0.048828125
219,0.10498047
220,-0.07128906
221,-0.07714844
222,-0.23046875
223,-0.05126953
224,0.119628906
225,-0.05053711
226,0.27539062
227,0.34765625
228,0.109375
229,0.06591797
230,-0.18847656
231,-0.114746094
232,-0.064453125
233,-0.18261719
234,0.047851562
235,0.18164062
236,0.13964844
237,-0.17773438
238,0.34375
239,0.14355469
240,0.0013885498
241,-0.09814453
242,-0.0859375
243,-0.013916016
244,-0.15332031
245,0.052001953
246,0.091796875
247,0.013061523
248,0.0625
249,-0.14453125
250,0.1796875
251,-0.17089844
252,0.1640625
253,0.20410156
254,0.09814453
255,-0.15722656
256,0.13964844
257,0.026611328
258,0.12597656
259,-0.125
260,0.44726562
261,-0.051757812
262,0.25976562
263,-0.16113281
264,-0.06933594
265,-0.10546875
266,-0.31640625
267,0.16503906
268,0.020019531
269,-0.037353516
270,-0.171875
271,0.35351562
272,0.13769531
273,0.12695312
274,0.022338867
275,0.12988281
276,-0.012634277
277,0.09814453
278,-0.26171875
279,0.14746094
280,0.25585938
281,-0.17675781
282,0.16503906
283,-0.061279297
284,0.15820312
285,-0.17871094
286,-0.20800781
287,-0.01373291
288,-0.12695312
289,0.15917969
290,0.012878418
291,-0.16699219
292,-0.35546875
293,-0.17578125
294,0.05859375
295,0.23535156
296,-0.22753906
297,-0.080078125
298,0.1875
299,0.032958984
