,Samoa
0,0.13769531
1,-0.17285156
2,0.2265625
3,-0.23632812
4,-0.008666992
5,-0.04321289
6,-0.36328125
7,0.1640625
8,0.14257812
9,0.23046875
10,0.4453125
11,0.018554688
12,0.15722656
13,0.18457031
14,0.021484375
15,0.28710938
16,-0.2578125
17,0.28515625
18,0.024902344
19,0.31054688
20,-0.20703125
21,-0.52734375
22,0.067871094
23,-0.171875
24,0.055419922
25,0.09326172
26,-0.12207031
27,-0.1953125
28,0.4609375
29,0.12158203
30,0.265625
31,-0.10986328
32,-0.33984375
33,-0.080078125
34,0.30664062
35,-0.119628906
36,-0.024536133
37,0.22167969
38,-0.26367188
39,0.22558594
40,0.12451172
41,0.13574219
42,0.26171875
43,0.106933594
44,-0.10888672
45,0.359375
46,-0.080078125
47,0.017822266
48,0.2265625
49,-0.068847656
50,0.20996094
51,-0.28710938
52,0.19042969
53,-0.3203125
54,-0.14550781
55,2.3655593e-07
56,-0.5078125
57,-0.29882812
58,0.045166016
59,-0.25585938
60,-0.6796875
61,-0.16992188
62,-0.23632812
63,-0.34375
64,0.1328125
65,-0.068847656
66,0.19726562
67,0.03955078
68,0.19824219
69,-0.10986328
70,-0.265625
71,-0.48242188
72,-0.375
73,0.24414062
74,0.06542969
75,-0.45703125
76,-0.022827148
77,-0.20605469
78,0.24023438
79,0.23632812
80,-0.040039062
81,-0.15527344
82,-0.09375
83,-0.17382812
84,-0.02319336
85,-0.1484375
86,0.022705078
87,-0.15625
88,-0.11035156
89,-0.0058288574
90,-0.08300781
91,0.04711914
92,-0.3203125
93,-0.075683594
94,-0.08251953
95,-0.021118164
96,0.25
97,-0.12207031
98,0.047851562
99,0.00015354156
100,-0.1796875
101,0.31640625
102,0.35351562
103,-0.002090454
104,0.38476562
105,-0.017333984
106,-0.0036010742
107,-0.18554688
108,0.2265625
109,0.40625
110,-0.034423828
111,0.12011719
112,0.0007972717
113,0.06738281
114,-0.17382812
115,0.13183594
116,0.28320312
117,0.13769531
118,0.18066406
119,0.0069274902
120,-0.49023438
121,-0.19042969
122,-0.04345703
123,0.21386719
124,0.095214844
125,0.46679688
126,-0.28320312
127,0.123535156
128,-0.25390625
129,0.27148438
130,-0.05859375
131,0.011108398
132,-0.08642578
133,-0.18261719
134,-0.09765625
135,-0.11230469
136,-0.45507812
137,0.16015625
138,-0.13476562
139,-0.0015258789
140,-0.087890625
141,-0.27734375
142,0.3359375
143,0.18652344
144,0.25976562
145,0.12597656
146,-0.28125
147,0.02331543
148,-0.0054626465
149,0.14746094
150,0.055419922
151,-0.36914062
152,0.111816406
153,0.1484375
154,0.12890625
155,-0.5546875
156,-0.19433594
157,-0.19335938
158,-0.12792969
159,0.032714844
160,0.1015625
161,0.049316406
162,0.32617188
163,-0.0073547363
164,-0.1328125
165,-0.515625
166,0.28515625
167,0.19140625
168,0.33007812
169,-0.08496094
170,-0.05834961
171,0.38085938
172,0.17382812
173,-0.07714844
174,-0.06298828
175,-0.2578125
176,0.23046875
177,0.09716797
178,0.09472656
179,0.62890625
180,-0.123535156
181,-0.40234375
182,0.024902344
183,0.068359375
184,-0.083984375
185,0.041259766
186,-0.087890625
187,-0.25390625
188,0.055664062
189,0.16894531
190,0.011230469
191,0.01965332
192,0.20996094
193,-0.16601562
194,0.25976562
195,0.39453125
196,0.026000977
197,0.18945312
198,-0.24804688
199,-0.27539062
200,-0.0076293945
201,0.03564453
202,0.025024414
203,-0.21582031
204,-0.15136719
205,-0.19238281
206,0.25390625
207,-0.047851562
208,0.19628906
209,-0.38085938
210,-0.096191406
211,-0.016357422
212,-0.19140625
213,-0.08154297
214,0.12988281
215,-0.087890625
216,0.25390625
217,0.027832031
218,-0.11328125
219,-0.25390625
220,-0.09472656
221,-0.05493164
222,-0.059326172
223,-0.09375
224,-0.1796875
225,0.3359375
226,0.1171875
227,0.27734375
228,0.11376953
229,-0.084472656
230,-0.31445312
231,0.036376953
232,0.13964844
233,0.038085938
234,0.0024414062
235,0.11230469
236,-0.00982666
237,0.19628906
238,0.020874023
239,0.19726562
240,0.13574219
241,0.037841797
242,0.0134887695
243,-0.064941406
244,-0.099121094
245,-0.080078125
246,-0.1875
247,0.34375
248,-0.14746094
249,-0.16210938
250,-0.2890625
251,0.34570312
252,0.37695312
253,-0.234375
254,-0.024047852
255,0.08154297
256,0.15039062
257,-0.096191406
258,0.21777344
259,0.078125
260,0.22851562
261,0.17480469
262,-0.18554688
263,-0.04296875
264,-0.19726562
265,-0.17480469
266,-0.08154297
267,0.16699219
268,0.123535156
269,-0.15429688
270,-0.26171875
271,0.041503906
272,-0.03515625
273,0.13378906
274,-0.025390625
275,0.42382812
276,0.22363281
277,0.008728027
278,0.021728516
279,-0.0044555664
280,-0.31640625
281,0.037353516
282,0.11328125
283,-0.10498047
284,-0.07714844
285,0.21386719
286,0.09277344
287,0.083496094
288,0.055419922
289,0.26171875
290,0.28710938
291,-0.11425781
292,-0.17089844
293,-0.059570312
294,-0.060302734
295,0.32617188
296,-0.0033874512
297,-0.37890625
298,0.20214844
299,-0.013671875
