,Guam
0,0.026000977
1,-0.13574219
2,-0.110839844
3,0.0022277832
4,-0.29296875
5,-0.49804688
6,-0.24804688
7,0.23144531
8,0.109375
9,0.07128906
10,0.13867188
11,0.026367188
12,0.21972656
13,0.17773438
14,0.12597656
15,0.13671875
16,0.0087890625
17,0.20996094
18,0.16894531
19,0.30664062
20,0.18066406
21,-0.114746094
22,0.020507812
23,0.004425049
24,-0.072265625
25,0.15429688
26,-0.059570312
27,-0.14355469
28,-0.50390625
29,0.13574219
30,0.20898438
31,-0.17480469
32,-0.20703125
33,-0.25
34,0.30078125
35,-0.23828125
36,-0.04736328
37,-0.0703125
38,-0.0039978027
39,-0.052734375
40,-0.28320312
41,0.21972656
42,0.064941406
43,0.09472656
44,-0.1796875
45,0.15917969
46,0.056884766
47,0.0036010742
48,0.067871094
49,-0.048828125
50,0.03564453
51,-0.018066406
52,0.0029449463
53,-0.16308594
54,-0.2734375
55,0.35351562
56,-0.122558594
57,0.123535156
58,0.19042969
59,-0.34960938
60,-0.23144531
61,-0.16308594
62,-0.21289062
63,0.20019531
64,0.29101562
65,0.099121094
66,0.25
67,0.09716797
68,-0.125
69,-0.096191406
70,-0.24414062
71,-0.265625
72,-0.171875
73,0.19335938
74,-0.1484375
75,-0.32617188
76,0.25
77,-0.052490234
78,0.2578125
79,0.038330078
80,0.06542969
81,-0.13867188
82,-0.27148438
83,-0.14160156
84,-0.25390625
85,-0.22949219
86,-0.33984375
87,0.08886719
88,0.21484375
89,-0.0033111572
90,0.27539062
91,-0.096191406
92,-0.15136719
93,-0.06689453
94,-0.10986328
95,0.296875
96,0.3984375
97,0.26953125
98,0.24414062
99,0.15820312
100,0.20800781
101,0.27734375
102,0.05883789
103,0.05444336
104,0.018798828
105,-0.03857422
106,0.123535156
107,-0.37695312
108,0.18457031
109,0.35351562
110,-0.04272461
111,-0.045166016
112,-0.0037841797
113,0.010314941
114,-0.26367188
115,0.359375
116,-0.076171875
117,-0.38867188
118,0.013061523
119,0.095214844
120,-0.44140625
121,-0.1640625
122,-0.008483887
123,0.12695312
124,0.1328125
125,0.28710938
126,-0.13085938
127,0.29296875
128,-0.19921875
129,0.20214844
130,0.016967773
131,-0.16796875
132,-0.103515625
133,-0.13476562
134,-0.40234375
135,-0.08251953
136,-0.50390625
137,-0.19726562
138,-0.03491211
139,-0.052978516
140,-0.33984375
141,0.026489258
142,0.026611328
143,0.09033203
144,-0.032226562
145,0.025024414
146,-0.3828125
147,0.12695312
148,0.06542969
149,0.37109375
150,0.21777344
151,-0.106933594
152,-0.03491211
153,-0.049804688
154,-0.0002193451
155,-0.072753906
156,0.08984375
157,-0.51171875
158,0.028076172
159,-0.05029297
160,0.03564453
161,0.07714844
162,0.045654297
163,0.22265625
164,-0.04345703
165,-0.38671875
166,0.3203125
167,0.2890625
168,0.4453125
169,0.23339844
170,0.035888672
171,0.265625
172,0.21386719
173,0.33203125
174,-0.22265625
175,-0.091308594
176,0.29492188
177,-0.19238281
178,0.076660156
179,-0.09375
180,-0.063964844
181,-0.53125
182,0.104003906
183,-0.15234375
184,-0.16699219
185,-0.048828125
186,0.05029297
187,-0.36132812
188,0.29296875
189,0.064941406
190,0.08496094
191,-0.1640625
192,0.3515625
193,-0.044189453
194,0.021118164
195,0.25585938
196,0.265625
197,-0.18945312
198,-0.10253906
199,-0.45703125
200,0.02758789
201,0.032714844
202,-0.1875
203,-0.08251953
204,-0.29882812
205,0.015075684
206,-0.3046875
207,-0.26367188
208,-0.2578125
209,0.022583008
210,-0.203125
211,0.21386719
212,-0.16210938
213,-0.064453125
214,0.032958984
215,0.19921875
216,-0.0071105957
217,0.24023438
218,-0.103027344
219,0.14355469
220,-0.061279297
221,-0.2265625
222,-0.14941406
223,-0.36914062
224,0.12597656
225,-0.13769531
226,-0.103515625
227,0.27539062
228,0.22851562
229,-0.20117188
230,-0.01361084
231,-0.18261719
232,-0.118652344
233,-0.036376953
234,0.17773438
235,0.16210938
236,0.014343262
237,0.076660156
238,0.03515625
239,0.15625
240,-0.19335938
241,0.029052734
242,-0.14648438
243,-0.13671875
244,-0.203125
245,-0.24609375
246,-0.01940918
247,0.111328125
248,0.3203125
249,0.12597656
250,-0.060302734
251,0.115722656
252,0.047607422
253,-0.18554688
254,0.087890625
255,-0.34960938
256,0.20507812
257,0.22070312
258,-0.17382812
259,-0.16308594
260,0.43554688
261,0.046875
262,-0.03466797
263,-0.4453125
264,0.008972168
265,-0.40039062
266,-0.05102539
267,-0.23046875
268,0.14257812
269,0.040283203
270,-0.0546875
271,0.14355469
272,0.06738281
273,0.32226562
274,0.01940918
275,0.064941406
276,-0.08251953
277,0.08935547
278,-0.119628906
279,0.33203125
280,-0.34765625
281,-0.118652344
282,0.30078125
283,0.21484375
284,0.014770508
285,-0.29101562
286,-0.055908203
287,0.15429688
288,-0.13476562
289,-0.16308594
290,0.14453125
291,0.17089844
292,0.037841797
293,-0.109375
294,0.06640625
295,-0.04296875
296,-0.4140625
297,0.0019989014
298,-0.020019531
299,0.16796875
