,Tunisia
0,0.16113281
1,0.13867188
2,0.111328125
3,0.068847656
4,-0.091308594
5,-0.18554688
6,-0.09716797
7,-0.40039062
8,-0.29492188
9,0.08105469
10,-0.033691406
11,-0.25585938
12,0.14746094
13,-0.14355469
14,0.24316406
15,0.0703125
16,-0.0234375
17,0.036132812
18,0.06542969
19,0.13574219
20,0.17382812
21,-0.19824219
22,0.15917969
23,-0.08886719
24,0.12792969
25,-0.020263672
26,0.07324219
27,-0.09863281
28,0.17480469
29,-0.026000977
30,-0.40039062
31,-0.2421875
32,-0.27539062
33,0.018432617
34,-0.38867188
35,0.15820312
36,-0.33007812
37,0.15039062
38,0.04345703
39,0.14746094
40,0.09326172
41,0.26757812
42,0.13085938
43,0.04272461
44,0.13085938
45,-0.06689453
46,-0.38476562
47,-0.0051574707
48,-0.012329102
49,0.03857422
50,-0.22851562
51,-0.06591797
52,-0.20410156
53,0.17285156
54,-0.11425781
55,0.22949219
56,-0.32421875
57,0.24609375
58,-0.45117188
59,-0.18945312
60,-0.15917969
61,-0.078125
62,0.025024414
63,0.020263672
64,-0.119140625
65,-0.4140625
66,-0.091308594
67,-0.27539062
68,0.3125
69,-0.17773438
70,-0.40820312
71,-0.057861328
72,0.024902344
73,-0.114746094
74,0.10058594
75,-0.24511719
76,0.028320312
77,0.02709961
78,-0.033691406
79,0.076660156
80,-0.21679688
81,-0.27148438
82,-0.13671875
83,-0.15527344
84,0.24511719
85,0.026733398
86,-0.29296875
87,0.07763672
88,-0.25976562
89,0.20117188
90,0.15332031
91,-0.14453125
92,-0.5703125
93,0.053466797
94,0.09033203
95,-0.5
96,0.107910156
97,-0.296875
98,0.00044250488
99,-0.006225586
100,-0.2421875
101,0.087402344
102,-0.21777344
103,0.18945312
104,-0.20703125
105,0.03930664
106,-0.022216797
107,-0.15625
108,-0.11279297
109,0.018066406
110,0.19921875
111,0.16015625
112,0.10888672
113,-0.234375
114,0.03125
115,-0.23046875
116,0.20214844
117,0.13183594
118,0.34570312
119,-0.0047302246
120,-0.19824219
121,-0.13476562
122,-0.036376953
123,0.048339844
124,0.34960938
125,0.1328125
126,-0.3984375
127,0.001045227
128,-0.515625
129,0.17773438
130,0.048583984
131,0.22363281
132,0.06347656
133,0.01574707
134,0.079589844
135,-0.10888672
136,-0.0546875
137,0.103027344
138,-0.0703125
139,0.4140625
140,0.16699219
141,-0.064453125
142,0.23730469
143,0.12451172
144,0.328125
145,0.13476562
146,0.034423828
147,0.064453125
148,0.21484375
149,-0.17773438
150,0.029907227
151,-0.08886719
152,-0.15820312
153,0.004638672
154,0.22070312
155,-0.08984375
156,-0.25195312
157,0.080566406
158,0.23535156
159,0.23046875
160,-0.18359375
161,0.28320312
162,-0.19335938
163,-0.03466797
164,0.1796875
165,-0.15332031
166,0.06738281
167,0.22851562
168,0.10205078
169,0.16601562
170,-0.10644531
171,0.24023438
172,-0.13476562
173,0.08935547
174,-0.15917969
175,-0.30273438
176,0.24804688
177,-0.41601562
178,0.019165039
179,-0.26953125
180,-0.18359375
181,-0.18554688
182,-0.19824219
183,-0.20800781
184,-0.026367188
185,0.12695312
186,0.09375
187,-0.15429688
188,-0.29296875
189,0.20410156
190,0.084472656
191,0.05834961
192,-0.2109375
193,0.037353516
194,-0.26171875
195,0.31640625
196,-0.21972656
197,0.0625
198,-0.078125
199,-0.30859375
200,-0.029785156
201,-0.13769531
202,0.037597656
203,-0.34179688
204,-0.21386719
205,-0.25
206,-0.109375
207,0.07128906
208,-0.16113281
209,-0.19921875
210,-0.087890625
211,0.17089844
212,-0.032470703
213,0.30273438
214,-0.049316406
215,-0.14453125
216,0.14746094
217,0.010375977
218,0.008300781
219,-0.23730469
220,-0.25390625
221,0.008056641
222,-0.021484375
223,-0.14746094
224,-0.021606445
225,-0.046875
226,0.31445312
227,0.33984375
228,0.4765625
229,-0.07080078
230,0.009643555
231,0.17773438
232,0.24316406
233,-0.12597656
234,-0.028564453
235,0.10839844
236,0.01159668
237,0.17578125
238,-0.21386719
239,0.021484375
240,0.36132812
241,-0.14160156
242,0.025512695
243,0.1953125
244,0.045166016
245,0.1796875
246,-0.27539062
247,-0.18945312
248,-0.30078125
249,-0.14746094
250,0.18164062
251,0.33789062
252,-0.122558594
253,0.22753906
254,0.25390625
255,0.18847656
256,-0.045410156
257,0.15136719
258,0.25195312
259,-0.046142578
260,-0.017089844
261,0.4375
262,0.08984375
263,0.33203125
264,0.25195312
265,-0.1328125
266,-0.1953125
267,-0.16601562
268,-0.009338379
269,0.27734375
270,0.24023438
271,0.2890625
272,0.030883789
273,-0.14941406
274,0.056152344
275,0.24316406
276,0.07861328
277,-0.29492188
278,0.012756348
279,-0.22167969
280,-0.19042969
281,-0.12792969
282,-0.06298828
283,0.00680542
284,-0.063964844
285,0.09033203
286,-0.1171875
287,-0.13183594
288,-0.22070312
289,0.025268555
290,-0.037353516
291,-0.125
292,-0.06201172
293,-0.24023438
294,0.080078125
295,0.37695312
296,0.13085938
297,-0.096191406
298,-0.20214844
299,0.26757812
