,Oman
0,-0.033447266
1,0.025390625
2,-0.30078125
3,0.03564453
4,0.068847656
5,-0.12207031
6,-0.044433594
7,-0.34765625
8,-0.071777344
9,0.018310547
10,-0.1328125
11,-0.34375
12,0.17578125
13,-0.14648438
14,-0.049804688
15,-0.1484375
16,-0.022705078
17,-0.11621094
18,-0.029541016
19,0.265625
20,-0.107421875
21,-0.22167969
22,0.008666992
23,0.13671875
24,0.35546875
25,0.16210938
26,-0.18847656
27,0.04736328
28,-0.017333984
29,0.049316406
30,-0.34960938
31,-0.15625
32,-0.1484375
33,0.05078125
34,-0.06201172
35,-0.059326172
36,-0.17871094
37,-0.18164062
38,0.15234375
39,0.08105469
40,0.10986328
41,0.11376953
42,-0.19824219
43,0.25390625
44,-0.0625
45,-0.07128906
46,-0.35742188
47,0.010803223
48,-0.01574707
49,-0.12890625
50,-0.19238281
51,0.09082031
52,0.0859375
53,0.06640625
54,-0.032226562
55,0.1484375
56,-0.2734375
57,0.18652344
58,0.036376953
59,-0.10449219
60,-0.28320312
61,-0.20605469
62,0.08154297
63,0.0053100586
64,-0.10107422
65,0.038085938
66,0.07470703
67,-0.32226562
68,-0.107910156
69,-0.021118164
70,-0.2890625
71,-0.005706787
72,0.07714844
73,0.0055236816
74,-0.07910156
75,-0.41210938
76,0.15527344
77,0.17773438
78,0.09765625
79,0.088378906
80,-0.234375
81,-0.23144531
82,-0.13574219
83,0.1875
84,0.05126953
85,-0.11035156
86,-0.453125
87,-0.11376953
88,-0.09863281
89,0.30273438
90,0.33789062
91,-0.18652344
92,-0.38671875
93,0.016723633
94,0.01953125
95,-0.09814453
96,0.053222656
97,0.09277344
98,0.104003906
99,-0.09033203
100,0.15820312
101,0.04638672
102,-0.025634766
103,0.23046875
104,-0.04711914
105,-0.075683594
106,0.25585938
107,-0.19824219
108,0.14160156
109,0.07763672
110,0.06298828
111,0.10107422
112,0.06689453
113,-0.234375
114,0.0859375
115,0.14160156
116,-0.014099121
117,-0.05517578
118,0.22949219
119,-0.041259766
120,-0.064941406
121,0.104003906
122,0.078125
123,0.19921875
124,-0.12695312
125,-0.083984375
126,-0.28710938
127,-0.11669922
128,-0.2578125
129,0.017700195
130,-0.265625
131,0.45507812
132,0.13378906
133,-0.41796875
134,0.010131836
135,-0.14941406
136,-0.07080078
137,-0.10253906
138,-0.31054688
139,0.3046875
140,0.22558594
141,-0.103027344
142,-0.016113281
143,-0.21777344
144,0.012634277
145,0.14453125
146,-0.17871094
147,-0.0030975342
148,0.13183594
149,0.012878418
150,0.16210938
151,-0.14257812
152,0.06347656
153,-0.07861328
154,0.29492188
155,-0.11767578
156,-0.18359375
157,-0.16210938
158,0.17480469
159,0.19921875
160,-0.3046875
161,0.14160156
162,0.091308594
163,0.068847656
164,0.087890625
165,-0.072753906
166,0.03540039
167,0.099121094
168,-0.014404297
169,0.24902344
170,-0.09423828
171,0.29296875
172,-0.039794922
173,-0.01586914
174,0.06689453
175,-0.28320312
176,0.45507812
177,-0.26367188
178,-0.04638672
179,-0.19628906
180,0.014282227
181,-0.17871094
182,-0.34179688
183,-0.072753906
184,-0.14453125
185,0.0011367798
186,0.32617188
187,-0.18652344
188,0.08496094
189,0.19726562
190,-0.26953125
191,0.07324219
192,-0.09472656
193,-0.1484375
194,-0.2578125
195,0.21582031
196,0.091308594
197,0.26367188
198,-0.020996094
199,-0.23535156
200,-0.091308594
201,-0.1328125
202,0.0049438477
203,-0.42578125
204,0.12451172
205,0.016601562
206,-0.12988281
207,-0.26367188
208,0.11230469
209,-0.12792969
210,0.06738281
211,0.104003906
212,-0.17480469
213,0.011962891
214,0.20898438
215,0.03564453
216,0.1953125
217,0.13964844
218,-0.067871094
219,-0.09423828
220,0.25976562
221,0.0013580322
222,-0.033203125
223,-0.21875
224,-0.13671875
225,-0.0012817383
226,0.044921875
227,0.16699219
228,0.10644531
229,-0.2578125
230,-0.24414062
231,0.00051498413
232,0.07373047
233,-0.18457031
234,0.119140625
235,0.234375
236,0.18359375
237,0.009765625
238,0.14453125
239,0.07519531
240,0.056640625
241,0.07373047
242,-0.106933594
243,0.14453125
244,0.09472656
245,-0.055664062
246,-0.16113281
247,-0.026123047
248,0.015991211
249,-0.05078125
250,0.20214844
251,-0.021728516
252,0.021484375
253,0.08154297
254,0.12451172
255,0.15917969
256,-0.051513672
257,0.110839844
258,-0.028442383
259,-0.061523438
260,0.31054688
261,0.2265625
262,0.0066223145
263,0.096191406
264,0.23828125
265,-0.01953125
266,-0.19824219
267,-0.39648438
268,0.30664062
269,0.35546875
270,-0.20019531
271,-0.012878418
272,-0.1640625
273,-0.110839844
274,0.06298828
275,0.15429688
276,0.045410156
277,-0.024780273
278,-0.1484375
279,0.032958984
280,-0.029785156
281,-0.25585938
282,-0.08251953
283,0.048339844
284,0.07324219
285,-0.15039062
286,-0.053222656
287,-0.12695312
288,0.0033416748
289,0.17773438
290,0.3203125
291,-0.25390625
292,0.084472656
293,-0.328125
294,-0.03491211
295,0.22167969
296,-0.1328125
297,0.036865234
298,-0.05053711
299,0.27929688
