,Tanzania
0,0.0390625
1,0.12109375
2,-0.072265625
3,0.100097656
4,0.004486084
5,-0.018554688
6,0.030761719
7,-0.20898438
8,-0.29101562
9,-0.20019531
10,0.15625
11,-0.030761719
12,0.052978516
13,0.053955078
14,0.2578125
15,0.2578125
16,-0.31054688
17,0.10107422
18,-0.12011719
19,0.23925781
20,-0.07470703
21,0.011047363
22,0.01928711
23,0.039794922
24,0.234375
25,0.109375
26,-0.016235352
27,0.01574707
28,0.01928711
29,-0.0071105957
30,-0.06689453
31,-0.43164062
32,0.024658203
33,-0.16503906
34,-0.13964844
35,-0.10107422
36,-0.38085938
37,0.046142578
38,0.19042969
39,-0.04711914
40,-0.19433594
41,0.020019531
42,-0.010131836
43,0.34765625
44,-0.12695312
45,-0.08496094
46,-0.20117188
47,-0.032958984
48,0.087890625
49,-0.052734375
50,0.0003604889
51,-0.40234375
52,0.11425781
53,-0.25195312
54,0.013366699
55,0.115722656
56,-0.4765625
57,0.095703125
58,-0.076660156
59,-0.03491211
60,0.03491211
61,-0.37695312
62,0.13378906
63,0.22558594
64,-0.049072266
65,-0.10253906
66,0.08691406
67,-0.26953125
68,0.06982422
69,-0.0115356445
70,-0.27539062
71,-0.076660156
72,0.10888672
73,0.19433594
74,-0.11767578
75,-0.19140625
76,-0.010314941
77,0.17675781
78,-0.045410156
79,0.23730469
80,-0.2265625
81,-0.053710938
82,-0.13574219
83,-0.052246094
84,-0.09863281
85,-0.18945312
86,-0.125
87,-0.08691406
88,0.00793457
89,0.087890625
90,0.12890625
91,0.18554688
92,-0.26757812
93,0.103027344
94,0.107910156
95,-0.06542969
96,0.106933594
97,-0.17871094
98,0.22265625
99,-0.07470703
100,-0.16992188
101,-0.096191406
102,0.15625
103,0.029052734
104,-0.14355469
105,0.12988281
106,0.23632812
107,-0.22167969
108,0.018066406
109,0.16113281
110,-0.076660156
111,0.1171875
112,-0.23046875
113,0.080078125
114,-0.002532959
115,-0.047607422
116,0.1328125
117,-0.004211426
118,0.21679688
119,0.040283203
120,-0.061035156
121,-0.043945312
122,-0.20703125
123,0.028442383
124,-0.27929688
125,0.18652344
126,-0.24804688
127,-0.029174805
128,-0.33007812
129,0.13867188
130,-0.119628906
131,0.063964844
132,-0.025512695
133,-0.21679688
134,-0.22363281
135,-0.17285156
136,-0.13671875
137,-0.061523438
138,-0.03125
139,0.19726562
140,0.059326172
141,-0.037109375
142,0.20507812
143,0.029052734
144,0.044677734
145,0.23632812
146,-0.091796875
147,0.0027618408
148,0.296875
149,-0.08251953
150,0.009094238
151,-0.20214844
152,-0.13964844
153,0.046875
154,0.30273438
155,-0.19628906
156,-0.20019531
157,0.18261719
158,-0.11279297
159,0.14257812
160,-0.27539062
161,0.10205078
162,0.03955078
163,0.09716797
164,-0.0087890625
165,0.10205078
166,0.14746094
167,-0.0625
168,0.05419922
169,0.14453125
170,-0.16503906
171,0.3359375
172,0.040527344
173,-0.04638672
174,-0.15332031
175,-0.08544922
176,0.17773438
177,-0.27539062
178,0.11767578
179,-0.29492188
180,-0.2421875
181,-0.08886719
182,-0.15820312
183,0.043945312
184,0.048828125
185,0.10595703
186,0.06347656
187,-0.13671875
188,0.0039978027
189,0.12060547
190,-0.13964844
191,-0.27148438
192,-0.26171875
193,0.15234375
194,-0.14746094
195,0.57421875
196,0.26367188
197,-0.24707031
198,-0.072753906
199,-0.17480469
200,0.05834961
201,-0.16992188
202,0.42382812
203,-0.1796875
204,-0.014831543
205,0.04321289
206,0.22070312
207,-0.046142578
208,-0.06298828
209,-0.0024414062
210,-0.22558594
211,-0.11035156
212,-0.084472656
213,0.14257812
214,-0.028930664
215,0.00289917
216,-0.045166016
217,0.043701172
218,0.15332031
219,-0.1640625
220,-0.17089844
221,0.019165039
222,-0.14453125
223,0.21289062
224,0.21289062
225,-0.0017700195
226,-0.068359375
227,0.016723633
228,0.23730469
229,-0.14160156
230,0.030883789
231,0.10595703
232,-0.021362305
233,0.025268555
234,0.021118164
235,0.3203125
236,-0.119140625
237,0.2578125
238,-0.020385742
239,-0.09423828
240,-0.036132812
241,-0.27734375
242,0.16601562
243,0.049560547
244,0.11816406
245,-0.08984375
246,-0.22363281
247,-0.19433594
248,0.17089844
249,-0.171875
250,0.1875
251,0.37304688
252,0.2109375
253,0.08984375
254,0.21386719
255,-0.0048217773
256,0.13574219
257,0.21777344
258,-0.072753906
259,-0.13769531
260,-0.014160156
261,-0.024291992
262,0.27929688
263,0.18457031
264,0.08203125
265,-0.017333984
266,-0.51171875
267,0.049316406
268,0.040771484
269,0.22558594
270,-0.04321289
271,0.09033203
272,0.123535156
273,0.107421875
274,0.18945312
275,-0.118652344
276,-0.029052734
277,-0.092285156
278,0.14648438
279,-0.064453125
280,0.20410156
281,-0.34960938
282,0.09082031
283,-0.390625
284,-0.09082031
285,-0.17675781
286,-0.13476562
287,-0.16699219
288,0.104003906
289,0.038330078
290,-0.076171875
291,0.061523438
292,-0.19628906
293,-0.12792969
294,-0.36328125
295,0.22070312
296,-0.20605469
297,-0.13769531
298,0.008117676
299,0.118652344
