,日本
0,0.087890625
1,-0.067871094
2,0.033691406
3,-0.044189453
4,-0.049072266
5,0.03564453
6,0.10058594
7,0.011962891
8,0.080078125
9,0.15527344
10,-0.10205078
11,0.09033203
12,-0.12988281
13,0.13671875
14,-0.15722656
15,-0.0146484375
16,0.0146484375
17,0.05859375
18,-0.15039062
19,0.022705078
20,-0.03540039
21,0.064941406
22,0.21582031
23,0.067871094
24,-0.123046875
25,-0.17578125
26,0.15039062
27,0.08154297
28,-0.06591797
29,-0.09472656
30,-0.099121094
31,-0.064453125
32,-0.08300781
33,-0.106933594
34,-0.09765625
35,-0.12988281
36,0.047851562
37,0.01928711
38,0.11279297
39,-0.00592041
40,-0.0050354004
41,-0.03857422
42,0.0068359375
43,0.16894531
44,0.045410156
45,-0.15917969
46,-0.15039062
47,-0.099121094
48,0.0034179688
49,0.011230469
50,-0.18164062
51,0.14355469
52,0.27148438
53,0.05029297
54,-0.119628906
55,0.28320312
56,-0.09375
57,-0.061767578
58,0.23339844
59,-0.17578125
60,-0.08105469
61,0.19628906
62,-0.01586914
63,0.052978516
64,0.026123047
65,-0.040771484
66,0.07714844
67,-0.052001953
68,0.20605469
69,0.16210938
70,0.015991211
71,0.05834961
72,-0.041748047
73,0.020263672
74,-0.17578125
75,-0.1796875
76,-0.095703125
77,-0.091308594
78,0.027709961
79,0.053710938
80,0.10253906
81,-0.05834961
82,-0.060302734
83,-0.026123047
84,0.09863281
85,0.052001953
86,0.012512207
87,0.033691406
88,0.0625
89,0.059814453
90,-0.19238281
91,-0.09472656
92,-0.004699707
93,0.18945312
94,0.075683594
95,-0.010437012
96,0.020141602
97,-0.030883789
98,0.07128906
99,-0.0065612793
100,0.06738281
101,0.0390625
102,-0.012084961
103,-0.020507812
104,0.014953613
105,0.3125
106,-0.020629883
107,0.14746094
108,0.061279297
109,0.13867188
110,-0.072265625
111,-0.067871094
112,0.22070312
113,-0.030761719
114,-0.12695312
115,0.061523438
116,-0.18164062
117,-0.11425781
118,0.13671875
119,-0.12695312
120,0.087890625
121,0.007446289
122,-0.26367188
123,-0.0003604889
124,0.17480469
125,0.140625
126,-0.2734375
127,0.24023438
128,0.13183594
129,-0.011291504
130,-0.053955078
131,0.15039062
132,0.14941406
133,0.014953613
134,-0.15136719
135,0.119628906
136,-0.029296875
137,-0.16308594
138,0.060302734
139,0.02355957
140,0.099121094
141,0.031982422
142,0.030151367
143,0.076660156
144,0.03564453
145,0.0154418945
146,0.0049743652
147,0.14941406
148,-0.028808594
149,-0.16992188
150,0.17578125
151,-0.14160156
152,0.012207031
153,0.011413574
154,0.092285156
155,-0.19726562
156,-0.14355469
157,0.027709961
158,0.05883789
159,-0.0703125
160,0.009643555
161,0.031982422
162,0.05078125
163,-0.072753906
164,-0.04638672
165,-0.05883789
166,0.103515625
167,0.03857422
168,-0.19238281
169,0.07763672
170,-0.006225586
171,0.060302734
172,0.032714844
173,0.026000977
174,-0.05883789
175,0.044921875
176,0.14648438
177,0.00077056885
178,0.051513672
179,-0.25390625
180,-0.10107422
181,0.01953125
182,0.020385742
183,-0.10058594
184,-0.04248047
185,0.12011719
186,0.06933594
187,-0.21386719
188,-0.0703125
189,0.012207031
190,-0.15917969
191,0.033447266
192,-0.19042969
193,-0.053222656
194,0.22851562
195,0.07519531
196,-0.013244629
197,-0.019042969
198,0.03857422
199,-0.26953125
200,-0.0025024414
201,-0.026733398
202,0.00680542
203,-0.013244629
204,-0.109375
205,-0.20019531
206,0.083984375
207,-0.08642578
208,-0.18359375
209,-0.11425781
210,-0.09277344
211,-0.06640625
212,-0.028442383
213,0.1953125
214,-0.004699707
215,0.080566406
216,-0.111816406
217,0.003829956
218,0.07128906
219,-0.019042969
220,-0.027709961
221,0.09667969
222,-0.06347656
223,0.13769531
224,-0.01977539
225,-0.036621094
226,-0.12988281
227,-0.032714844
228,-0.041748047
229,0.012634277
230,0.060546875
231,0.059814453
232,-0.18066406
233,0.083984375
234,0.07421875
235,0.036132812
236,-0.020141602
237,0.06591797
238,0.017089844
239,0.00982666
240,-0.006378174
241,-0.07128906
242,-0.020385742
243,0.10449219
244,0.052001953
245,-0.10839844
246,-0.072265625
247,0.24707031
248,-0.08105469
249,-0.125
250,0.014465332
251,0.006652832
252,0.039794922
253,-0.0054016113
254,0.018188477
255,-0.050048828
256,-0.045166016
257,-0.06347656
258,-0.03466797
259,-0.025390625
260,0.15625
261,0.12109375
262,0.140625
263,-0.14257812
264,-0.10058594
265,0.045410156
266,-0.01928711
267,-0.087890625
268,0.14257812
269,-0.05444336
270,-0.13476562
271,0.044677734
272,-0.096191406
273,0.07421875
274,0.16699219
275,0.1015625
276,-0.1953125
277,0.107421875
278,-0.057128906
279,0.14160156
280,-0.08154297
281,0.16503906
282,-0.08105469
283,-0.07861328
284,0.19238281
285,0.002319336
286,0.10498047
287,0.091796875
288,0.018188477
289,0.11328125
290,-0.03564453
291,0.05834961
292,-0.076171875
293,0.10986328
294,-0.048339844
295,-0.15917969
296,-0.17773438
297,-0.05859375
298,0.099121094
299,0.2109375
