,Kosovo
0,0.1875
1,-0.20507812
2,0.056396484
3,0.2734375
4,-0.171875
5,-0.25585938
6,0.37304688
7,-0.33007812
8,-0.16210938
9,0.18359375
10,0.088378906
11,0.19335938
12,0.07128906
13,-0.038085938
14,0.026367188
15,-0.067871094
16,-0.375
17,-0.18945312
18,-0.07763672
19,-0.30273438
20,0.13574219
21,0.15039062
22,0.3984375
23,0.140625
24,0.006011963
25,0.09863281
26,-0.10986328
27,0.15332031
28,0.33984375
29,0.092285156
30,-0.040283203
31,-0.18359375
32,-0.21679688
33,-0.075683594
34,0.08935547
35,-0.24511719
36,0.06738281
37,0.3828125
38,-0.11230469
39,-0.21972656
40,0.22265625
41,0.19140625
42,0.28515625
43,0.09375
44,0.100097656
45,0.1484375
46,0.009094238
47,0.20898438
48,0.083496094
49,0.546875
50,-0.09716797
51,-0.30273438
52,-0.34960938
53,0.19726562
54,-0.60546875
55,-0.10205078
56,-0.30664062
57,-0.13574219
58,-0.3359375
59,-0.13769531
60,0.23144531
61,0.09326172
62,0.22949219
63,-0.041015625
64,-0.022949219
65,0.22070312
66,0.14550781
67,-0.23730469
68,-0.25195312
69,-0.41992188
70,-0.0546875
71,0.072265625
72,-0.009033203
73,-0.008300781
74,-0.23828125
75,-0.67578125
76,0.27539062
77,0.12695312
78,0.04663086
79,0.06298828
80,-0.12597656
81,-0.2890625
82,-0.11376953
83,0.14941406
84,-0.00047302246
85,-0.18457031
86,0.18847656
87,-0.16113281
88,0.091308594
89,-0.013183594
90,-0.14648438
91,-0.37695312
92,-0.26171875
93,0.10595703
94,-0.12792969
95,-0.15820312
96,0.059814453
97,0.007293701
98,0.20800781
99,-0.31640625
100,-0.07763672
101,0.3515625
102,0.15917969
103,-0.13867188
104,0.100097656
105,-0.020751953
106,-0.19921875
107,0.03881836
108,-0.20703125
109,0.04296875
110,0.1484375
111,0.08886719
112,-0.18359375
113,-0.024291992
114,-0.036865234
115,-0.061767578
116,0.19433594
117,0.19433594
118,0.23730469
119,0.0859375
120,-0.25
121,0.17578125
122,-0.42773438
123,-0.055908203
124,0.07519531
125,0.041015625
126,-0.32226562
127,-0.053955078
128,-0.51171875
129,0.03515625
130,0.11328125
131,-0.020263672
132,-0.25195312
133,0.099121094
134,-0.18457031
135,0.024291992
136,-0.13085938
137,-0.10498047
138,0.49023438
139,-0.05419922
140,-0.12109375
141,-0.115234375
142,0.13476562
143,0.08642578
144,0.13964844
145,0.16015625
146,0.12695312
147,0.20410156
148,0.28320312
149,0.12451172
150,0.48046875
151,-0.079589844
152,0.13085938
153,-0.12792969
154,0.21582031
155,-0.046142578
156,0.09667969
157,-0.125
158,0.234375
159,0.29492188
160,-0.34960938
161,0.17480469
162,0.08203125
163,-0.095703125
164,0.08984375
165,0.09765625
166,-0.119140625
167,0.328125
168,0.17773438
169,0.3984375
170,-0.10205078
171,-0.18164062
172,0.05810547
173,0.048583984
174,-0.11767578
175,-0.16601562
176,-0.015258789
177,0.08203125
178,-0.04345703
179,-0.35546875
180,-0.16601562
181,-0.17871094
182,0.00041770935
183,0.045898438
184,-0.16210938
185,0.16894531
186,-0.04711914
187,0.26953125
188,-0.06542969
189,0.234375
190,-0.076660156
191,0.0048828125
192,0.25585938
193,-0.24121094
194,0.24511719
195,-0.1640625
196,-0.006286621
197,-0.043945312
198,0.21289062
199,-0.0859375
200,0.022705078
201,0.16113281
202,0.014038086
203,-0.10253906
204,0.080078125
205,-0.1640625
206,0.09423828
207,-0.47460938
208,-0.017578125
209,-0.14941406
210,-0.1796875
211,-0.17578125
212,-0.125
213,0.23925781
214,-0.23144531
215,0.06640625
216,-0.024902344
217,0.04272461
218,0.021606445
219,-0.43164062
220,-0.20507812
221,-0.27148438
222,0.056640625
223,-0.028808594
224,0.045166016
225,-0.041748047
226,-0.15429688
227,0.10205078
228,0.41796875
229,-0.3359375
230,0.140625
231,-0.05908203
232,0.096191406
233,-0.076660156
234,0.359375
235,0.080078125
236,-0.1796875
237,0.1484375
238,0.1015625
239,0.032714844
240,0.3359375
241,-0.107421875
242,0.13378906
243,0.12011719
244,0.29296875
245,0.10644531
246,-0.18652344
247,0.04638672
248,0.34960938
249,-0.25585938
250,-0.017822266
251,-0.016235352
252,0.13574219
253,0.28125
254,0.2578125
255,-0.07763672
256,0.53515625
257,0.057617188
258,0.27929688
259,-0.080078125
260,0.1640625
261,0.15136719
262,0.43554688
263,-0.0072631836
264,0.15722656
265,0.079589844
266,0.061035156
267,-0.34179688
268,-0.578125
269,-0.33007812
270,0.032714844
271,0.035888672
272,0.29492188
273,0.1328125
274,-0.05126953
275,-0.06591797
276,0.5703125
277,0.05102539
278,-0.24707031
279,-0.23144531
280,-0.096191406
281,0.39453125
282,0.06347656
283,0.038330078
284,0.06347656
285,-0.2734375
286,-0.19140625
287,0.06347656
288,0.041503906
289,0.20507812
290,-0.072753906
291,0.25976562
292,-0.30664062
293,0.035888672
294,0.14257812
295,0.44335938
296,-0.42578125
297,-0.009277344
298,0.39648438
299,0.11279297
