,Togo
0,0.029541016
1,0.0012588501
2,0.296875
3,0.095703125
4,-0.05517578
5,-0.27148438
6,-0.20117188
7,-0.71875
8,-0.28320312
9,-0.25
10,0.24023438
11,0.055908203
12,-0.09326172
13,-0.40820312
14,0.24511719
15,0.3203125
16,-0.030151367
17,0.171875
18,-0.15820312
19,0.1796875
20,0.24023438
21,-0.17089844
22,-0.0054626465
23,0.106933594
24,0.049072266
25,-0.03930664
26,0.20605469
27,-0.48242188
28,0.22851562
29,0.05834961
30,-0.30273438
31,-0.31640625
32,-0.26367188
33,-0.16796875
34,-0.125
35,0.2578125
36,0.02746582
37,0.23144531
38,-0.040039062
39,0.22558594
40,-0.14257812
41,-0.056884766
42,0.02734375
43,0.20800781
44,0.10058594
45,0.025756836
46,-0.17578125
47,-0.09033203
48,0.087890625
49,0.22167969
50,-0.07470703
51,-0.17285156
52,-0.11035156
53,-0.26953125
54,-0.3203125
55,0.040527344
56,-0.4140625
57,-0.20996094
58,0.008911133
59,-0.25195312
60,-0.16015625
61,0.05029297
62,0.16308594
63,0.17285156
64,0.21679688
65,-0.41796875
66,0.15917969
67,-0.14550781
68,-0.06933594
69,0.16699219
70,-0.13085938
71,0.060302734
72,0.059814453
73,-0.17675781
74,-0.18554688
75,0.09423828
76,-0.2109375
77,-0.13085938
78,0.32226562
79,-0.083984375
80,-0.17089844
81,-0.50390625
82,-0.049316406
83,0.123535156
84,0.24902344
85,-0.040527344
86,0.11669922
87,0.16601562
88,-0.032714844
89,0.014526367
90,0.19238281
91,0.0126953125
92,-0.08203125
93,0.09716797
94,0.122558594
95,-0.17773438
96,-0.053466797
97,-0.34570312
98,0.122558594
99,0.07421875
100,-0.068359375
101,-0.06542969
102,0.006500244
103,0.23632812
104,-0.21386719
105,0.087890625
106,0.421875
107,-0.56640625
108,0.18066406
109,0.032714844
110,-0.13378906
111,-0.008605957
112,-0.013244629
113,-0.13769531
114,-0.16796875
115,-0.17285156
116,-0.10546875
117,0.203125
118,0.44335938
119,0.10839844
120,-0.26367188
121,0.010437012
122,-0.25195312
123,-0.0015640259
124,-0.06591797
125,0.21875
126,-0.36523438
127,0.07910156
128,-0.2578125
129,0.11035156
130,0.104003906
131,0.21777344
132,-0.23242188
133,-0.06542969
134,-0.080078125
135,-0.08203125
136,-0.059326172
137,0.012756348
138,-0.040771484
139,0.109375
140,-0.23730469
141,-0.026367188
142,0.13183594
143,0.17578125
144,0.22363281
145,0.21484375
146,-0.005584717
147,-0.328125
148,0.15527344
149,-0.12890625
150,-0.2109375
151,0.021972656
152,0.13085938
153,-0.40820312
154,0.07714844
155,-0.234375
156,0.029541016
157,0.453125
158,0.16894531
159,0.072753906
160,-0.23144531
161,0.040771484
162,0.19628906
163,8.2969666e-05
164,0.08203125
165,-0.51953125
166,0.036132812
167,-0.016967773
168,0.18164062
169,0.5546875
170,-0.21289062
171,0.5859375
172,-0.32617188
173,-0.087402344
174,-0.16601562
175,-0.027832031
176,0.023803711
177,-0.3203125
178,0.20898438
179,-0.27539062
180,-0.12109375
181,-0.35742188
182,-0.02331543
183,-0.022949219
184,-0.057861328
185,0.21972656
186,-0.0119018555
187,-0.08544922
188,0.003540039
189,0.21972656
190,-0.047851562
191,-0.13769531
192,-0.2109375
193,-0.035888672
194,0.026733398
195,0.15234375
196,-0.05078125
197,0.12988281
198,-0.39648438
199,-0.20019531
200,0.08496094
201,-0.06982422
202,-0.022094727
203,0.072753906
204,0.07861328
205,-0.5
206,0.13964844
207,-0.125
208,-0.3515625
209,-0.10644531
210,-0.27539062
211,0.10498047
212,0.021118164
213,0.46875
214,-0.3984375
215,-0.17871094
216,-0.095214844
217,-0.06591797
218,-0.38085938
219,-0.18359375
220,-0.028808594
221,-0.22558594
222,0.13378906
223,0.009521484
224,0.07763672
225,0.21484375
226,0.114746094
227,0.067871094
228,0.37304688
229,-0.2578125
230,0.12988281
231,0.044433594
232,0.234375
233,0.048583984
234,-0.016113281
235,0.12792969
236,0.21777344
237,0.359375
238,-0.18847656
239,0.009460449
240,0.18457031
241,-0.32617188
242,-0.029174805
243,0.04296875
244,-0.12597656
245,-0.07861328
246,-0.6015625
247,-0.1640625
248,-0.11279297
249,-0.2734375
250,0.06689453
251,0.28515625
252,0.29882812
253,-0.022583008
254,0.15039062
255,0.083496094
256,-0.09082031
257,-0.10546875
258,0.36914062
259,0.11767578
260,0.1015625
261,0.14648438
262,0.17578125
263,0.2734375
264,-0.0076904297
265,0.041748047
266,-0.63671875
267,-0.008178711
268,-0.25
269,0.33203125
270,0.06591797
271,-0.091796875
272,0.0546875
273,0.035888672
274,0.33789062
275,-0.06982422
276,0.083984375
277,0.2421875
278,-0.008361816
279,0.076660156
280,-0.22363281
281,-0.43359375
282,-0.020263672
283,0.09863281
284,-0.23730469
285,-0.11669922
286,-0.1484375
287,0.030273438
288,-0.05444336
289,-0.24316406
290,-0.1640625
291,0.087890625
292,0.11816406
293,-0.28320312
294,-0.15917969
295,0.24609375
296,-0.2734375
297,0.018066406
298,-0.16015625
299,0.16503906
