,Gabon
0,0.017089844
1,0.080566406
2,0.100097656
3,0.15039062
4,-0.09326172
5,-0.051757812
6,-0.13574219
7,-0.5234375
8,-0.19042969
9,-0.23535156
10,0.19726562
11,0.05810547
12,-0.103515625
13,-0.033447266
14,0.0012588501
15,0.36523438
16,-0.16308594
17,0.067871094
18,-0.15136719
19,0.5
20,0.18945312
21,-0.59765625
22,0.013366699
23,0.12060547
24,0.09033203
25,0.0009384155
26,-0.1953125
27,-0.42578125
28,0.11279297
29,0.099609375
30,-0.19042969
31,-0.045410156
32,-0.31835938
33,-0.30859375
34,-0.25195312
35,0.05859375
36,-0.36523438
37,0.13378906
38,0.072265625
39,0.20800781
40,0.07324219
41,0.045898438
42,0.15429688
43,0.39453125
44,0.09277344
45,0.115722656
46,-0.19921875
47,-0.109375
48,-0.0023345947
49,-0.025146484
50,-0.106933594
51,-0.421875
52,0.010803223
53,0.033447266
54,-0.140625
55,0.06640625
56,-0.62109375
57,-0.25195312
58,-0.016113281
59,-0.008605957
60,-0.06933594
61,0.07910156
62,0.22070312
63,-0.024902344
64,-0.084472656
65,-0.15429688
66,0.009460449
67,-0.15429688
68,0.026489258
69,0.030029297
70,-0.01159668
71,-0.11328125
72,-0.119628906
73,-0.06542969
74,-0.0703125
75,-0.022216797
76,-0.06591797
77,-0.107421875
78,0.040527344
79,0.33203125
80,-0.29101562
81,-0.28710938
82,-0.0035247803
83,0.23242188
84,0.5078125
85,-0.0703125
86,-0.19726562
87,0.12158203
88,-0.28125
89,0.1875
90,0.22070312
91,0.104003906
92,-0.234375
93,0.23535156
94,-0.05859375
95,-0.18554688
96,0.091796875
97,-0.34765625
98,-0.035888672
99,-0.109375
100,0.052490234
101,-0.114746094
102,-0.118652344
103,-0.2578125
104,-0.1953125
105,0.01953125
106,0.17675781
107,-0.37109375
108,-0.043945312
109,0.30859375
110,0.024658203
111,0.041992188
112,-0.032958984
113,-0.17675781
114,-0.21582031
115,-0.052490234
116,0.011230469
117,0.23730469
118,0.1875
119,-0.06689453
120,-0.10644531
121,0.025146484
122,-0.24707031
123,0.018066406
124,-0.047851562
125,0.16601562
126,-0.26171875
127,-0.041748047
128,-0.28125
129,-0.038330078
130,0.032226562
131,0.17480469
132,-0.078125
133,-0.12402344
134,-0.18847656
135,-0.11376953
136,-0.23046875
137,0.021118164
138,-0.0062561035
139,0.23535156
140,0.012878418
141,-0.1875
142,0.14648438
143,0.076171875
144,0.12060547
145,0.1796875
146,-0.14648438
147,-0.14257812
148,0.17480469
149,-0.24121094
150,0.020996094
151,0.13867188
152,-0.10498047
153,0.20898438
154,0.38085938
155,-0.17285156
156,-0.10839844
157,0.43164062
158,-0.0014572144
159,0.046142578
160,-0.265625
161,0.3046875
162,-0.061767578
163,0.109375
164,0.28125
165,-0.060546875
166,-0.29296875
167,0.1484375
168,-0.049072266
169,0.19921875
170,-0.096191406
171,0.45703125
172,0.071777344
173,-0.05517578
174,-0.07128906
175,-0.13183594
176,0.12597656
177,-0.28320312
178,0.29101562
179,-0.31054688
180,-0.1640625
181,-0.07470703
182,-0.19433594
183,-0.051513672
184,0.040771484
185,0.1640625
186,0.091308594
187,-0.16699219
188,0.09082031
189,0.03515625
190,-0.14550781
191,-0.12207031
192,-0.28710938
193,0.14453125
194,-0.2578125
195,0.40429688
196,-0.0077819824
197,0.09716797
198,-0.28710938
199,-0.11767578
200,0.22070312
201,-0.044921875
202,-0.16601562
203,-0.23632812
204,-0.045166016
205,-0.075683594
206,0.12109375
207,-0.0703125
208,-0.15039062
209,-0.080566406
210,-0.32226562
211,0.06933594
212,-0.15625
213,0.24902344
214,-0.029785156
215,0.083984375
216,-0.046142578
217,-0.20703125
218,0.12988281
219,-0.12011719
220,-0.14941406
221,0.083984375
222,-0.12890625
223,0.014526367
224,0.0017852783
225,0.16113281
226,0.12597656
227,0.31054688
228,0.6875
229,0.018676758
230,0.107421875
231,0.02709961
232,0.1328125
233,-0.2109375
234,0.12402344
235,0.38671875
236,0.037109375
237,0.08642578
238,-0.1640625
239,-0.06640625
240,0.29882812
241,-0.29492188
242,0.08300781
243,0.048095703
244,0.072753906
245,-0.0546875
246,-0.265625
247,0.008544922
248,-0.09667969
249,-0.17089844
250,0.064453125
251,0.16601562
252,0.35351562
253,0.059570312
254,0.21875
255,0.17382812
256,-0.12451172
257,-0.11816406
258,0.052490234
259,-0.07470703
260,0.20703125
261,0.45117188
262,0.20507812
263,0.37890625
264,0.18066406
265,0.033691406
266,-0.52734375
267,-0.118652344
268,-0.27148438
269,0.23535156
270,-0.15332031
271,-0.03564453
272,-0.0703125
273,-0.028686523
274,0.041259766
275,0.22070312
276,-0.23632812
277,0.07714844
278,-0.12109375
279,0.063964844
280,0.008850098
281,-0.328125
282,0.0049743652
283,0.048583984
284,-0.15527344
285,-0.13378906
286,-0.28710938
287,-0.011291504
288,0.06591797
289,-0.08642578
290,-0.072753906
291,-0.018066406
292,-0.08251953
293,-0.060791016
294,-0.14941406
295,0.32421875
296,-0.13964844
297,-0.0028839111
298,-0.15039062
299,0.018310547
