,Barbados
0,-0.18164062
1,-0.26953125
2,-0.087402344
3,-0.023925781
4,0.1328125
5,-0.010437012
6,-0.21289062
7,-0.08544922
8,-0.13574219
9,-0.16699219
10,-0.016235352
11,-0.091796875
12,0.28710938
13,0.028198242
14,0.41796875
15,0.27929688
16,-0.014343262
17,0.31445312
18,0.028686523
19,0.28320312
20,-0.034179688
21,-0.24023438
22,0.21679688
23,-0.037353516
24,0.16113281
25,0.45117188
26,0.20214844
27,-0.044921875
28,-0.056640625
29,0.33007812
30,0.0234375
31,-0.2421875
32,-0.15234375
33,0.110839844
34,0.114746094
35,0.016113281
36,-0.23828125
37,-0.14941406
38,0.026489258
39,-0.13378906
40,-0.18945312
41,0.22265625
42,0.30273438
43,0.43945312
44,0.014404297
45,-0.10107422
46,-0.23046875
47,-0.25585938
48,0.12597656
49,0.059326172
50,0.1953125
51,0.008056641
52,0.14160156
53,-0.12695312
54,-0.016723633
55,0.13964844
56,-0.26171875
57,-0.10058594
58,-0.2265625
59,-0.06933594
60,-0.013061523
61,-0.07763672
62,-0.08984375
63,-0.026977539
64,0.08642578
65,-0.036865234
66,-0.18457031
67,-0.064941406
68,-0.0023956299
69,-0.23535156
70,-0.25976562
71,-0.33984375
72,-0.04736328
73,0.07421875
74,-0.13574219
75,-0.07763672
76,0.06689453
77,-0.044189453
78,0.115234375
79,0.07421875
80,-0.25
81,0.041503906
82,-0.125
83,-0.07373047
84,0.00074005127
85,0.09863281
86,0.091796875
87,0.21679688
88,0.24414062
89,0.15136719
90,0.41796875
91,0.08691406
92,-0.29882812
93,-0.16992188
94,-0.110839844
95,0.12597656
96,0.40429688
97,-0.24511719
98,-0.024047852
99,-0.068359375
100,0.0002670288
101,0.30078125
102,0.16308594
103,-0.19140625
104,-0.022216797
105,-0.2265625
106,0.19824219
107,-0.13476562
108,0.049804688
109,0.15136719
110,-0.4296875
111,0.21191406
112,-0.18066406
113,0.16503906
114,0.11376953
115,-0.025756836
116,0.08105469
117,-0.23632812
118,0.41992188
119,0.15917969
120,-0.20507812
121,-0.2421875
122,0.29492188
123,-0.107910156
124,0.029174805
125,0.20410156
126,0.02355957
127,0.048339844
128,-0.26757812
129,0.5078125
130,-0.13769531
131,0.22363281
132,-0.24511719
133,-0.30273438
134,-0.19726562
135,-0.21289062
136,-0.29882812
137,0.24414062
138,0.071777344
139,-0.056396484
140,0.061035156
141,0.16308594
142,0.028564453
143,-0.26953125
144,0.083496094
145,0.26367188
146,-0.06689453
147,-0.06542969
148,0.13867188
149,0.28710938
150,-0.064941406
151,-0.2890625
152,0.020385742
153,-0.05810547
154,0.07421875
155,-0.076171875
156,-0.3125
157,-0.10888672
158,0.26367188
159,-0.05126953
160,-0.41992188
161,0.25
162,0.08544922
163,-0.00680542
164,0.078125
165,-0.21875
166,-0.18554688
167,-0.017822266
168,-0.041503906
169,0.122558594
170,0.05908203
171,0.359375
172,0.06347656
173,-0.16796875
174,-0.29882812
175,0.07373047
176,0.25976562
177,-0.23730469
178,-0.18554688
179,-0.010437012
180,-0.029052734
181,0.099609375
182,0.15820312
183,-0.021850586
184,-0.13964844
185,-0.053955078
186,0.16113281
187,-0.28320312
188,0.27539062
189,0.03466797
190,-0.018188477
191,-0.07421875
192,-0.19824219
193,0.0032653809
194,-0.088378906
195,0.53125
196,0.026123047
197,0.122558594
198,-0.0068969727
199,-0.16601562
200,0.27539062
201,-0.31445312
202,-0.06542969
203,-0.10546875
204,-0.18847656
205,0.23046875
206,-0.055419922
207,0.12402344
208,-0.03881836
209,0.07714844
210,-0.04296875
211,-0.29492188
212,-0.047851562
213,0.11230469
214,-0.056396484
215,0.04248047
216,0.05834961
217,-0.064941406
218,-0.05053711
219,0.051757812
220,-0.22949219
221,0.0703125
222,-0.20605469
223,-0.030151367
224,-0.025512695
225,0.1328125
226,0.140625
227,-0.061767578
228,0.25585938
229,-0.08886719
230,-0.19433594
231,-0.140625
232,0.19726562
233,-0.10546875
234,0.06738281
235,0.23730469
236,0.14648438
237,-0.13964844
238,0.26171875
239,0.057861328
240,-0.030151367
241,0.030761719
242,-0.08154297
243,-0.27929688
244,-0.035888672
245,-0.048095703
246,0.07128906
247,0.052246094
248,0.24023438
249,-0.0010375977
250,0.23144531
251,0.14550781
252,0.23535156
253,-0.12109375
254,0.24511719
255,0.18554688
256,0.07714844
257,0.20605469
258,0.07470703
259,0.0029449463
260,0.31835938
261,0.1328125
262,0.075683594
263,0.11669922
264,0.21191406
265,-0.31835938
266,-0.27929688
267,0.099121094
268,-0.03149414
269,0.04711914
270,-0.21484375
271,0.4140625
272,0.17089844
273,0.1484375
274,0.03149414
275,-0.06689453
276,0.13769531
277,-0.09765625
278,0.07080078
279,0.14160156
280,-0.0038909912
281,-0.20703125
282,-0.0059509277
283,-0.29101562
284,-0.02355957
285,-0.27929688
286,-0.24121094
287,0.032470703
288,-0.15234375
289,0.20019531
290,-0.0019683838
291,0.017822266
292,-0.047851562
293,-0.09472656
294,-0.359375
295,0.100097656
296,-0.14746094
297,-0.06689453
298,0.034179688
299,0.045410156
